"","SVSPP","YEAR","N","strat.biomass","biomass.var","biomass.SE","strat.abund","abund.var","abund.SE","tot.biomass","tot.bio.var","tot.bio.SE","tot.abundance","tot.abund.var","tot.abund.SE","RPATH","SCINAME","Fall.q","biomass.t_area"
"1",0,1968,40,0,0,0,0.0228438197550027,0.00354545431958457,0.0595437177171914,0,0,0,21422,3117798126.0509,55837.2467628097,NA,"UNIDENTIFIED FISH",0.175,0
"2",0,1969,38,0,0,0,0.0433843745028673,0.00172447927952059,0.0415268501035244,0,0,0,40684,1516470889.61306,38941.8911920448,NA,"UNIDENTIFIED FISH",0.175,0
"3",0,1971,46,0,0,0,0.116716204959477,0.00825242558518126,0.0908428620486016,0,0,0,109451,7257009879.58784,85188.085314719,NA,"UNIDENTIFIED FISH",0.175,0
"4",0,1983,37,0.000952431109294294,6.15686778192802e-06,0.00248130364565243,0.0209462209704443,0.00128127388965376,0.0357948863617942,893.144279751407,5414220.32341614,2326.84772243826,19642,1126725370.5834,33566.7301145553,NA,"UNIDENTIFIED FISH",0.175,0.00014173081983546
"5",0,1985,34,0.00190486221858859,2.81765489988622e-05,0.00530815872020253,0.0190486221858859,0.00281765489988622,0.0530815872020253,1786.28855950281,24777865.8949207,4977.73702548866,17863,2477786589.49207,49777.3702548866,NA,"UNIDENTIFIED FISH",0.175,0.000283461639670921
"6",0,1986,38,0,0,0,0.00952431109294294,0.000590304370110034,0.0242961801547081,0,0,0,8931,519101275.332287,22783.794138209,NA,"UNIDENTIFIED FISH",0.175,0
"7",0,1989,33,0,0,0,0.0228438197550027,0,0,0,0,0,21422,0,0,NA,"UNIDENTIFIED FISH",0.175,0
"8",0,1995,31,0,0,0,0.0418924419408886,0,0,0,0,0,39285,0,0,NA,"UNIDENTIFIED FISH",0.175,0
"9",0,1997,33,0,0,0,0.0228438197550027,0,0,0,0,0,21422,0,0,NA,"UNIDENTIFIED FISH",0.175,0
"10",0,1998,33,0,0,0,0.0241302516001898,0.00116819839412863,0.0341789173925774,0,0,0,22628,1027289152.74719,32051.3518084213,NA,"UNIDENTIFIED FISH",0.175,0
"11",1,1965,29,0,0,0,0.00761460658500091,0.000649871959231104,0.0254925863582161,0,0,0,7141,571483763.158785,23905.7265766758,"OtherDemersals","MYXINE GLUTINOSA",0.145,0
"12",1,1966,34,0.00571095493875068,0.000126430655414871,0.0112441387137864,0.0447388401177262,0.00376583455868729,0.0613663960053651,5355.46002822461,111180465.180569,10544.2147730672,41954,3311595883.56188,57546.4671683838,"OtherDemersals","MYXINE GLUTINOSA",0.145,0.00102567437836758
"13",1,1967,43,0,0,0,0.04391783027258,0.00509619803168129,0.0713876602199658,0,0,0,41184,4481489603.5727,66943.928802937,"OtherDemersals","MYXINE GLUTINOSA",0.145,0
"14",1,1969,38,0,0,0,0.0190486221858859,0.00236121748044014,0.0485923603094163,0,0,0,17863,2076405101.32915,45567.588276418,"OtherDemersals","MYXINE GLUTINOSA",0.145,0
"15",1,1972,44,0,0,0,0.0152352660316936,0.000725783284794848,0.0269403653426387,0,0,0,14287,638238589.833977,25263.3843701508,"OtherDemersals","MYXINE GLUTINOSA",0.145,0
"16",1,1974,37,0.0513985944487561,0.0134781390070844,0.116095387535786,0.909957592630992,4.04943198612846,2.01232005062029,48199.1402540215,11852392599.3961,108868.694303717,853315,3560985509863.01,1887057.36793109,"OtherDemersals","MYXINE GLUTINOSA",0.145,0.00923106940530822
"17",1,1976,42,0.00304584263400036,5.85516737703738e-05,0.00765190654480135,0.0380730329250046,0.0091486990266209,0.0956488318100169,2856.24534838646,51489113.1864321,7175.59148686937,35703,8045173935.38002,89694.8935858671,"OtherDemersals","MYXINE GLUTINOSA",0.145,0.000547026335129376
"18",1,1977,37,0.00342657296325041,5.99028400314861e-05,0.00773969250238574,0.0342657296325041,0.00599028400314861,0.0773969250238574,3213.27601693477,52677300.4417604,7257.91295358111,32133,5267730044.17605,72579.1295358111,"OtherDemersals","MYXINE GLUTINOSA",0.145,0.000615404627020548
"19",1,1981,37,0.00228438197550027,2.66234844584383e-05,0.0051597950015905,0.0456876395100055,0.0106493937833753,0.10319590003181,2142.18401128985,23412133.5296713,4838.60863572074,42844,9364853411.86852,96772.1727144148,"OtherDemersals","MYXINE GLUTINOSA",0.145,0.000410269751347032
"20",1,1983,37,0.00285729332788288,6.15686778192802e-06,0.00248130364565243,0.0190486221858859,0,0,2679.43283925422,5414220.32341614,2326.84772243826,17863,0,0,"OtherDemersals","MYXINE GLUTINOSA",0.145,0.000513163313197357
"21",1,1985,34,0.00190486221858859,2.81765489988622e-05,0.00530815872020253,0.00952431109294294,0.000704413724971554,0.0265407936010127,1786.28855950281,24777865.8949207,4977.73702548866,8931,619446647.373017,24888.6851274433,"OtherDemersals","MYXINE GLUTINOSA",0.145,0.000342108875464905
"22",1,1992,33,0.00285729332788288,6.6510574791254e-05,0.00815540157142823,0.0476215554647147,0.0184751596642372,0.135923359523804,2679.43283925422,58488003.7238887,7647.74500907874,44657,16246667701.0802,127462.416817979,"OtherDemersals","MYXINE GLUTINOSA",0.145,0.000513163313197357
"23",1,2002,32,0.00159906738285019,0,0,0.0228438197550027,0,0,1499.52880790289,0,0,21422,0,0,"OtherDemersals","MYXINE GLUTINOSA",0.145,0.000287188825942922
"24",1,2004,33,0.000914333864922522,0,0,0.0190486221858859,0,0,857.418508561351,0,0,17863,0,0,"OtherDemersals","MYXINE GLUTINOSA",0.145,0.000164212260223154
"25",1,2010,45,0.00363132294019525,1.09966562841531e-05,0.00331612066791199,0.0514167530338316,0.00144404827521462,0.0380006351948835,3405.28073927423,9670228.76762818,3109.69914423054,48216,1269865749.36854,35635.1757308497,"OtherDemersals","MYXINE GLUTINOSA",0.145,0.000652177252190239
"26",1,2014,42,0.0051240793680033,0.000164409730215559,0.0128222357728892,0.0571458665576576,0.0191830366682569,0.13850283992849,4805.11622506257,144578466.556203,12024.0786156862,53589,16869159883.37,129881.330003084,"OtherDemersals","MYXINE GLUTINOSA",0.145,0.000920272875000593
"27",1,2016,40,0.000880307673836342,1.97197872163493e-06,0.00140427159824406,0.0139731376799419,0.000496845230948585,0.0222900253689534,825.510376168587,1734116.70514656,1316.85865040503,13103,436915269.626243,20902.5182603973,"OtherDemersals","MYXINE GLUTINOSA",0.145,0.000158101234525205
"28",1,2018,42,0.000514312799018919,2.20806848386725e-06,0.00148595709354855,0.00634954072862863,0.000336544502951875,0.0183451493030685,482.29791106576,1941729.0876279,1393.45939575859,5954,295950173.392456,17203.2024167728,"OtherDemersals","MYXINE GLUTINOSA",0.145,9.23693963755242e-05
"29",1,2019,43,0.00106604492190013,6.92356813093893e-06,0.00263126740012089,0.00761460658500091,0.00035324327198668,0.0187947671437206,999.685871935262,6088440.5208629,2467.47654920222,7141,310634720.452189,17624.8324943016,"OtherDemersals","MYXINE GLUTINOSA",0.145,0.000191459217295282
"30",1,2021,42,0.00319228759472939,6.56311478787645e-05,0.00810130531943862,0.0520613916854013,0.0168566286057067,0.129833079782106,2993.57441890628,57714654.152125,7597.01613478114,48821,14823365453.6455,121751.244156458,"OtherDemersals","MYXINE GLUTINOSA",0.145,0.000573327513421226
"31",3,1979,51,0.71136210222097,0.63244560544986,0.795264487733395,0.0165433047028133,0.000342047379907983,0.0184945229705441,667081.310375675,556159393341.653,745760.949193274,15514,300789287.907871,17343.2778882157,"Sharks","CARCHARHINUS OBSCURUS",0.199,0.0930907273635063
"32",3,1986,38,0.878867573754833,0.764622185207267,0.874426775211777,0.0292955857918278,0.000849580205785852,0.0291475591737259,824159.9192825,672392703808.828,819995.551090875,27472,747103004.232031,27333.1850363625,"Sharks","CARCHARHINUS OBSCURUS",0.199,0.115010936682741
"33",4,1993,33,2.8774998086909,10.2920104571266,3.20811634095876,0.028774998086909,0.00102920104571266,0.0320811634095876,2646981.05932969,8709059934549.19,2951111.64386392,26470,870905993.454919,29511.1164386392,"Rays","DASYATIS CENTROURA",0.144,0.510468641853875
"34",4,1994,34,3.28110560868471,12.0406283128881,3.46996085178034,0.0292955857918278,0.00095987151729019,0.0309817933194673,3076863.69865467,10588275861581.7,3253963.10083285,27472,844090869.067422,29053.2419717219,"Rays","DASYATIS CENTROURA",0.144,0.593371239996512
"35",4,2001,33,3.19447865130409,9.74626997849595,3.12190166060623,0.034722594035914,0.0011514969256257,0.0339337137022417,2995629.08682631,8570665290224.72,2927569.86086152,32561,1012602231.83184,31821.4115311034,"Rays","DASYATIS CENTROURA",0.144,0.577705195910027
"36",4,2010,45,1.0008594827552,0.48147073551625,0.693880923153426,0.0540129240558662,0.00112293433115817,0.0335102123412874,938558.089015074,423395260982.181,650688.297867866,50651,987484885.653071,31424.2722374452,"Rays","DASYATIS CENTROURA",0.144,0.18100034048669
"37",4,2014,42,5.21387672349439,12.0210540959918,3.46713918036063,0.0843538845413251,0.00350650087684692,0.0592157147794986,4889323.88439984,10571062706014.8,3251317.07251305,79103,3083543285.95895,55529.6613168039,"Rays","DASYATIS CENTROURA",0.144,0.94290305329398
"38",4,2015,42,2.40956193137783,5.89056217887198,2.42704803802314,0.0256336375678493,0.000666654841429604,0.0258196599789696,2259571.77869952,5180036764604.34,2275969.41205376,24038,586242277.569527,24212.4405537634,"Rays","DASYATIS CENTROURA",0.144,0.435757004372438
"39",4,2019,43,1.06945589630615,0.8215079218289,0.906370741931192,0.034722594035914,0.000865984906633602,0.0294276214912725,1002884.52037229,722416826826.928,849951.073195939,32561,761528953.89919,27595.8140648032,"Rays","DASYATIS CENTROURA",0.144,0.193405652543792
"40",6,1989,33,69.445188071828,4605.98770250281,67.8674274044833,0.034722594035914,0.0011514969256257,0.0339337137022417,65122371.4527459,4050408927327370,63642823.0622069,32561,1012602231.83184,31821.4115311034,"Sharks","CETORHINUS MAXIMUS",0.175,10.3341053678315
"41",6,2011,40,132.346437622506,14153.7776681943,118.969650197831,0.0330866094056265,0.000884611104262146,0.0297424125494578,124108150.767567,12446535059463966,111564040.17184,31027,777908441.216498,27891.01004296,"Sharks","CETORHINUS MAXIMUS",0.175,19.694410360492
"42",6,2012,43,31.8996378622125,1132.22092162027,33.648490629154,0.022785455615866,0.000577663735520544,0.0240346361636814,29913952.6258093,995651318423108,31553942.9932791,21367,507985366.542402,22538.5307094851,"Sharks","CETORHINUS MAXIMUS",0.175,4.7469699199721
"43",8,1998,33,0,0,0,0.0190486221858859,0,0,0,0,0,17863,0,0,"Sharks","ETMOPTERUS PRINCEPS",0.144,0
"44",9,1988,31,2.2564841671184,2.85780661752631,1.69050484102422,0.06526131801802,0.0023346033571851,0.0483177333614182,2075715.46416786,2418265043265.08,1555077.18241413,60033,1975532442.93936,44446.962133979,"Sharks","CARCHARHINUS PLUMBEUS",0.199,0.289664632112454
"45",9,1990,33,1.86843585696279,1.52491148534349,1.23487306446594,0.0933137656195695,0.00280487294061749,0.0529610511660927,1752129.66212876,1340975159413.28,1158004.81838949,87505,2466546402.74501,49664.3373331912,"Sharks","CARCHARHINUS PLUMBEUS",0.199,0.244508461181269
"46",9,1996,33,1.08586132200854,2.36560174811047,1.53805128266598,0.0241302516001898,0.00116819839412863,0.0341789173925774,1018268.74289504,2080260534313.06,1442310.83137896,22628,1027289152.74719,32051.3518084213,"Sharks","CARCHARHINUS PLUMBEUS",0.199,0.142098686401872
"47",9,2015,42,0.815980959843979,0.49041412242207,0.700295739257401,0.034722594035914,0.000888029194064408,0.0297998186918043,765187.864569764,431259887747.075,656703.805186992,32561,780914237.658804,27944.8427739145,"Sharks","CARCHARHINUS PLUMBEUS",0.199,0.106781427952782
"48",11,2009,46,0.000412720147360861,1.23607739336666e-06,0.00111179017506302,0.0126990814572573,0.00117025078661932,0.0342089284634775,387.029187892277,1086980.52021271,1042.58357948546,11909,1029093983.63334,32079.4947533987,"Sharks","SELACHIMORPHA",0.175,6.14166885953662e-05
"49",12,1967,43,0.613046688034081,0.347070393086067,0.589126805608153,0.216051696223465,0.0431068042413171,0.207621781712125,574885.82354674,305206420287,552454.903396648,202603,37907219038.5375,194697.763311594,"Sharks","CARCHARIAS TAURUS",0.199,0.0802249120647615
