Year ,Month,Day,Hour,Minute,Second,Cruise,Station,Bot.depth [m],Cast,Niskin_Bottle#,Longitude,Latitude,Pressure [db],Depth [m],Temp [°C],Salinity,pH_CTD,Flouresence,PAR%,Density [g/L],pTemp [°C],Sigma_Density [g/L],DO [mg/L],DO [umol/kg],DO_solubility [mg/L],DO_solubility [umol/kg],DO%,Flag_TA,TA [umol/kg],Flag_DIC,DIC [umol/kg],Flag_pH_Spec,pH_Spec [25 degC],pH_from_DIC-TA [25 degC],pH_from_DIC-TA_in situ ,fCO2 [uatm],pCO2 [uatm],HCO3 [umol/kg SW],CO3 [umol/kg SW],CO2 [umol/kg SW],B-Alk [umol/kg SW],OH [umol/kg SW],P-Alk [umol/kg SW],Si-Alk [umol/kg SW],Revelle_factor,ΩCa,ΩAr,pH_from_SpecpH-TA_in situ 
2022,5,13,1,32,12,NYOS2205,LIS_ARIG,17,1,3,-73.5825,40.9591,2.037,2.021,12.1719,25.8148,8.07,1.3009,1.00E+05,1019.4468,12.1717,23.9124,9.8289,301.3,9.12986,279.87192,107.656,2,1949.7,2,1817.7,2,7.839,7.858,8.048,362.9,364.3,1701.6,100.5,15.6,45.3,1.7,0.0,0.0,14.046,2.52,1.57,8.028
2022,5,13,1,31,56,NYOS2205,LIS_ARIG,17,1,2,-73.5825,40.9591,6.583,6.532,11.5617,25.7749,8.079,1.3108,9.80E+04,1019.5411,11.5609,23.9992,10.0085,306.783,9.25248,283.61051,108.171,2,1950.0,2,1825.2,2,7.810,7.838,8.036,373.4,374.8,1712.7,96.1,16.4,43.6,1.6,0.0,0.0,14.426,2.41,1.50,8.007
2022,5,13,1,30,40,NYOS2205,LIS_ARIG,17,1,1,-73.5825,40.9591,14.312,14.2,10.2987,25.8414,7.995,1.7221,9.80E+04,1019.8317,10.2973,24.2815,9.0378,276.962,9.50684,291.33444,95.067,2,1954.5,2,1840.6,2,7.769,7.804,8.020,388.2,389.7,1733.5,89.3,17.8,41.1,1.3,0.0,0.0,15.058,2.23,1.38,7.983
2022,5,13,2,43,24,NYOS2205,LIS_WLIS,20,2,3,-73.7296,40.8803,1.826,1.812,11.8683,24.8517,8.115,3.5345,1.00E+05,1018.7528,11.8681,23.2327,10.0248,307.514,9.24529,283.60324,108.431,2,1919.9,2,1785.0,2,7.856,7.885,8.080,332.0,333.2,1668.4,102.1,14.5,45.5,1.7,0.0,0.0,13.865,2.58,1.59,8.050
2022,5,13,2,42,6,NYOS2205,LIS_WLIS,20,2,2,-73.7296,40.8803,9.592,9.518,11.5816,25.0932,8.082,3.1486,1.00E+05,1019.0233,11.5805,23.4723,9.4984,291.3,9.28843,284.8609,102.261,2,1933.2,2,1807.1,2,7.827,7.854,8.052,357.8,359.1,1694.4,96.9,15.8,43.4,1.6,0.0,0.0,14.348,2.44,1.51,8.025
2022,5,13,2,40,45,NYOS2205,LIS_WLIS,20,2,1,-73.7296,40.8803,17.128,16.995,11.5212,25.2969,8.075,2.5061,1.00E+05,1019.2256,11.5192,23.6401,9.4618,290.129,9.28859,284.81889,101.864,2,1935.7,2,1805.8,2,7.814,7.861,8.061,349.1,350.4,1691.4,99.0,15.4,44.6,1.6,0.0,0.0,14.154,2.48,1.54,8.012
2022,5,13,7,54,24,NYOS2205,7.1,21,3,3,-73.7953,40.5027,2.567,2.547,10.7165,31.706,8.032,1.3162,8.98E+04,1024.2723,10.7162,28.724,9.0802,277.04,9.07472,276.87177,100.061,2,2174.8,2,2025.0,2,7.788,7.798,8.009,421.4,423.0,1893.5,113.1,18.4,53.7,1.5,0.0,0.0,13.698,2.75,1.74,7.999
2022,5,13,7,53,10,NYOS2205,7.1,21,3,2,-73.7953,40.5027,9.39,9.317,10.1447,32.01,8.029,1.4615,1.00E+05,1024.6367,10.1437,29.0677,8.9875,274.123,9.17009,279.69044,98.009,2,2182.3,2,2029.3,2,7.787,7.801,8.021,408.2,409.7,1896.5,114.7,18.1,55.0,1.5,0.0,0.0,13.595,2.78,1.76,8.007
2022,5,13,7,51,22,NYOS2205,7.1,21,3,1,-73.7953,40.5027,18.145,18.004,9.7176,32.1842,8,1.1583,8.37E+04,1024.8827,9.7156,29.282,8.7334,266.317,9.24577,281.942,94.458,2,2187.0,2,2046.3,2,7.756,7.768,7.993,438.8,440.5,1919.1,107.4,19.8,51.8,1.3,0.0,0.0,14.119,2.59,1.64,7.980
2022,5,13,11,53,53,NYOS2205,7.2,39.5,4,4,-73.6515,40.1088,2.32,2.302,9.6238,32.3324,8.052,1.3979,3.37E+01,1024.9417,9.6235,29.4136,9.2023,280.58,9.25601,282.21821,99.419,2,2195.3,2,2041.3,2,7.783,7.798,8.027,403.5,405.1,1907.7,115.3,18.2,55.6,1.4,0.0,0.0,13.589,2.79,1.76,8.011
