Year ,Month,Day,Hour,Minute,Second,Cruise,Station,Bot.depth [m],Cast,Niskin_Bottle#,Longitude,Latitude,Pressure [db],Depth [m],Temp [°C],Salinity,pH_CTD,Flouresence,PAR%,Density [g/L],pTemp [°C],Sigma_Density [g/L],DO [mg/L],DO [umol/kg],DO_solubility [mg/L],DO_solubility [umol/kg],DO%,Flag_TA,TA [umol/kg],Flag_DIC,DIC [umol/kg],Flag_pH_Spec,pH_Spec [25 degC],pH_from_DIC-TA [25 degC],pH_from_DIC-TA_in situ ,fCO2 [uatm],pCO2 [uatm],HCO3 [umol/kg SW],CO3 [umol/kg SW],CO2 [umol/kg SW],B-Alk [umol/kg SW],OH [umol/kg SW],P-Alk [umol/kg SW],Si-Alk [umol/kg SW],Revelle_factor,ΩCa,ΩAr,pH_from_SpecpH-TA_in situ 
2023,5,15,1,24,2,NYOS2305,LIS_ARIG,17,C01,3,-73.58153,40.95944,1.983,1.967,15.0265,25.5274,8.17,1.6649,3.88E+04,1018.6868,15.0262,23.0974,11.0342,338.5,8.61838,264.38993,128.031,2,1927.1,2,1734.4,,7.943675969,8.024,8.175,258.3,259.2,1585.2,139.1,10.2,60.8,3,0,0,11.458,3.51,2.19,8.088274605
2023,5,15,1,22,58,NYOS2305,LIS_ARIG,17,C01,2,-73.58153,40.95944,5.909,5.863,12.5275,26.1998,7.941,2.0895,3.88E+04,1019.6993,12.5267,24.1373,9.3482,286.499,9.03923,277.02995,103.418,2,1945.6,2,1842.2,,7.758561468,7.767,7.947,467.1,468.8,1738.8,83.6,19.9,38.2,1.4,0,0,15.47,2.09,1.3,7.940973146
2023,5,15,1,21,42,NYOS2305,LIS_ARIG,17,C01,1,-73.58153,40.95944,13.991,13.882,10.9205,26.6164,7.776,1.3499,1.02E+04,1020.3336,10.919,24.7658,7.9042,242.102,9.33202,285.83585,84.7,2,1955.8,2,1867.4,,7.697576644,7.712,7.914,505.7,507.6,1770,74.8,22.6,35.1,1.1,0,0,16.378,1.86,1.16,7.90465574
2023,5,15,9,30,14,NYOS2305,8.1,14,C02,3,-73.40337,40.56975,2.726,2.705,13.3936,30.4967,8.02,0.7052,1.26E+01,1022.8427,13.3933,27.2475,8.9121,272.291,8.64176,264.03078,103.128,2,2117.3,2,1938.4,,7.88898937,7.891,8.064,361,362.4,1793.1,130.8,14.6,60.5,2.2,0,0,12.398,3.2,2.03,8.058221174
2023,5,15,9,28,49,NYOS2305,8.1,14,C02,2,-73.40337,40.56975,7.118,7.063,10.325,31.4744,7.884,0.8883,1.71E+00,1024.1789,10.3242,28.6201,8.2636,252.153,9.16553,279.67355,90.16,2,2140.1,2,2010.2,,7.696324489,7.753,7.968,461.3,463.1,1889.3,100.5,20.4,48.5,1.3,0,0,14.47,2.44,1.54,7.911825073
2023,5,15,9,27,24,NYOS2305,8.1,14,C02,1,-73.40337,40.56975,14.334,14.223,10.039,31.5365,7.863,1.2033,1.27E-11,1024.3076,10.0374,28.7218,8.1261,247.934,9.21916,281.28389,88.144,2,2143.5,2,2021.4,,7.738896986,7.731,7.949,484,485.8,1903.8,96,21.6,46.6,1.2,0,0,14.84,2.33,1.47,7.959812397
2023,5,15,12,26,34,NYOS2305,8.2,34.25,C03,4,-73.22178,40.29786,2.519,2.499,13.8501,30.8734,8.034,0.313,1.27E+01,1023.042,13.8498,27.4362,9.0196,275.52,8.54101,260.90159,105.603,2,2122.3,2,1934.2,,7.903917322,7.907,8.073,352.2,353.5,1783.6,136.5,14,63.2,2.3,0,0,12.07,3.34,2.12,8.066234352
2023,5,15,12,25,28,NYOS2305,8.2,34.25,C03,3,-73.22178,40.29786,10.112,10.034,13.7232,30.897,8.026,0.6836,2.84E+00,1023.1197,13.7218,27.4824,9.0444,276.268,8.562,261.53151,105.635,2,2123.7,2,1936.5,,7.900008208,7.904,8.072,352.8,354.1,1786.4,136,14.1,63.1,2.3,0,0,12.105,3.32,2.11,8.064245231
2023,5,15,12,23,50,NYOS2305,8.2,34.25,C03,2,-73.22178,40.29786,21.829,21.66,9.7282,31.9195,7.935,0.9412,4.32E-01,1024.6911,9.7258,29.0754,9.2008,280.627,9.25936,282.4138,99.367,2,2162.2,2,2012.2,,7.80102961,7.797,8.023,401.6,403.2,1881.9,112.2,18.1,54.5,1.4,0,0,13.665,2.71,1.71,8.026591598
2023,5,15,12,22,10,NYOS2305,8.2,34.25,C03,1,-73.22178,40.29786,32.371,32.119,7.1121,32.4667,7.796,0.1568,8.49E-02,1025.5576,7.1092,29.9481,8.1505,248.395,9.78482,298.20272,83.298,2,2196.2,2,2088.2,,7.675145703,7.676,7.936,502.9,504.9,1975.4,88.1,24.7,43.8,0.9,0,0,15.714,2.12,1.33,7.941813241
