Year,Month,Day,Hour,Minute,Second,Cruise,Station,Bot.depth [m],Cast,Niskin_Bottle#,Longitude,Latitude,Pressure [db],Depth [m],Temp [°C],Salinity,pH_CTD,Flouresence,PAR%,Density [g/L],pTemp [°C],Sigma_Density [g/L],DO [mg/L],DO [umol/kg],DO_solubility [mg/L],DO_solubility [umol/kg],DO%,Flag_TA,TA [umol/kg],Flag_DIC,DIC [umol/kg],Flag_pH_Spec,pH_Spec [25 degC],pH_from_DIC-TA [25 degC],pH_from_DIC-TA_in situ,fCO2 [uatm],pCO2 [uatm],HCO3 [umol/kg SW],CO3 [umol/kg SW],CO2 [umol/kg SW],B-Alk [umol/kg SW],OH [umol/kg SW],P-Alk [umol/kg SW],Si-Alk [umol/kg SW],Revelle_factor,ΩCa,ΩAr,pH_from_SpecpH-TA_in situ
2023,10,2,21,35,6,NYOS2309,LIS_ARIG,16,C01,3,-73.57986,40.96164,2.29,2.272,19.8697,25.9614,7.848,2.6418,1.32E+01,1017.9254,19.8693,22.246,8.8781,272.56,7.82057,240.09488,113.522,2,1872.2,2,1775.6,,7.766252007,7.756,7.829,624.4,626.6,1673.8,80.4,21.3,35.4,2.1,0,0,15.213,2.05,1.29,7.839403149
2023,10,2,21,33,26,NYOS2309,LIS_ARIG,16,C01,2,-73.57986,40.96164,6.662,6.61,18.8163,26.0836,7.654,0.7705,7.96E-01,1018.2946,18.8152,22.6128,7.143,219.219,7.97211,244.66293,89.601,2,1869.2,2,1816.2,,7.626206444,7.601,7.683,892.7,895.7,1727.5,57.3,31.4,25.7,1.4,0,0,17.473,1.45,0.92,7.71469576
2023,10,2,21,31,28,NYOS2309,LIS_ARIG,16,C01,1,-73.57986,40.96164,13.364,13.26,18.7997,26.1997,7.612,0.5871,2.37E-02,1018.4168,18.7974,22.705,6.803,208.764,7.96911,244.54875,85.367,2,1868.8,2,1827.4,,7.60388492,7.555,7.636,1001,1004.4,1740.3,52,35.2,23.4,1.3,0,0,17.918,1.31,0.83,7.692616835
2023,10,3,6,41,34,NYOS2309,8.1,15.68,C02,3,-73.405,40.5699,2.296,2.278,18.3912,30.4744,7.898,1.4404,1.84E+04,1021.7254,18.3908,26.0417,8.1808,250.219,7.82871,239.45089,104.497,2,2062.1,2,1899,,7.871920335,7.861,7.957,469.8,471.5,1761.1,121.5,16.3,55.2,2.7,0,0,12.642,2.99,1.92,7.966630771
2023,10,3,6,40,37,NYOS2309,8.1,15.68,C02,2,-73.405,40.5699,7.282,7.226,18.1557,30.5059,7.871,1.4374,1.43E+04,1021.8284,18.1545,26.1266,7.8596,240.378,7.86238,240.46155,99.965,2,2067.3,2,1923.1,,7.826022619,7.811,7.91,532.4,534.3,1794.3,110.2,18.6,50.1,2.4,0,0,13.401,2.71,1.74,7.92418729
2023,10,3,6,39,33,NYOS2309,8.1,15.68,C02,1,-73.405,40.5699,13.708,13.602,18.0825,30.804,7.818,1.1567,6.12E+03,1022.1022,18.0802,26.3715,6.8876,210.599,7.85929,240.30931,87.637,2,2082,2,1943.7,,7.799723698,7.79,7.89,563.5,565.4,1816.9,107.1,19.7,48.8,2.3,0,0,13.669,2.63,1.68,7.898963182
2023,10,3,9,32,26,NYOS2309,8.2,34,C03,4,-73.22255,40.2999,2.673,2.653,18.7857,32.2442,8.008,0.5926,3.27E+04,1022.9816,18.7853,27.2783,7.4877,228.74,7.68878,234.88246,97.385,2,2175.7,2,1945.5,,7.979090252,7.971,8.063,367.2,368.5,1767.7,165.2,12.5,73.7,3.8,0,0,10.875,4.02,2.59,8.068026781
2023,10,3,9,32,26,NYOS2309,8.2,34,C03,4,-73.22255,40.2999,2.673,2.653,18.7857,32.2442,8.008,0.5926,3.27E+04,1022.9816,18.7853,27.2783,7.4877,228.74,7.68878,234.88246,97.385,2,2177.2,2,1947.7,,7.977591773,7.969,8.062,369.1,370.4,1770.3,164.9,12.6,73.5,3.7,0,0,10.897,4.01,2.59,8.065463186
2023,10,3,9,31,1,NYOS2309,8.2,34,C03,3,-73.22255,40.2999,10.145,10.066,18.7772,32.2453,8.007,0.6184,1.43E+04,1023.0174,18.7754,27.2817,7.4826,228.582,7.68997,234.91808,97.303,2,2177.3,2,1944.2,,7.980579396,7.976,8.069,361.8,363,1764.8,167.1,12.3,74.5,3.8,0,0,10.808,4.06,2.62,8.069640166
2023,10,3,9,29,36,NYOS2309,8.2,34,C03,2,-73.22255,40.2999,19.964,19.809,18.671,32.2585,7.994,0.83,1.02E+04,1023.097,18.6676,27.3203,7.196,219.821,7.70473,235.3604,93.398,2,2177.7,2,1955.1,,7.967997974,7.955,8.048,382.1,383.4,1781.6,160.5,13,71.6,3.6,0,0,11.077,3.9,2.51,8.058611644
