Year ,Month,Day,Hour,Minute,Second,Cruise,Station,Bot.depth [m],Cast,Niskin_Bottle#,Longitude,Latitude,Pressure [db],Depth [m],Temp [°C],Salinity,pH_CTD,Flouresence,PAR%,Density [g/L],pTemp [°C],Sigma_Density [g/L],DO [mg/L],DO [umol/kg],DO_solubility [mg/L],DO_solubility [umol/kg],DO%,Bottle ID,Flag_TA,TA [umol/kg],Flag_DIC,DIC [umol/kg],Flag_pH_Spec,pH_Spec [25 degC],pH_from_DIC-TA [25 degC],pH_from_DIC-TA_in situ ,fCO2 [uatm],pCO2 [uatm],HCO3 [umol/kg SW],CO3 [umol/kg SW],CO2 [umol/kg SW],B-Alk [umol/kg SW],OH [umol/kg SW],P-Alk [umol/kg SW],Si-Alk [umol/kg SW],Revelle_factor,ΩCa,ΩAr,pH_from_SpecpH-TA_in situ 
2024,4,26,1,40,0,NYOS2404,LIS_ARIG,16.45,C01,1,-73.57784,40.95998,12.909,12.809,9.0008,23.525,7.909,1.9508,5.06E-11,1018.2092,8.9997,18.1497,8.8626,272.023,9.93363,304.8964,89.218,NYOS2404C001,,1826.138424,,1742.047927,,,7.753259863,7.986237109,403.4888949,405.0687036,1652.531192,69.95679839,19.55993671,32.67609844,1.028035962,0,0,16.63601319,1.766592893,1.080027246,
2024,4,26,1,40,0,NYOS2404,LIS_ARIG,16.45,C01,2,-73.57784,40.95998,8.178,8.115,10.0989,23.189,8.061,4.2165,5.06E-11,1017.7714,10.0981,17.7339,10.1297,311.041,9.71229,298.22451,104.298,NYOS2404C002,,1822.58471,,1727.224088,,,7.798043296,8.016800344,376.0311614,377.4825644,1632.901265,76.72058727,17.60223582,35.02995963,1.222095871,0,0,15.88636362,1.94532775,1.18941469,
2024,4,26,1,40,0,NYOS2404,LIS_ARIG,16.45,C01,3,-73.57784,40.95998,2.042,2.026,10.4732,22.8219,8.216,6.6741,2.31E-01,1017.4026,10.473,17.3932,11.2719,346.229,9.65447,296.54855,116.753,NYOS2404C003,,1813.274981,,1667.40471,,,7.963712025,8.184191755,244.2007802,245.1387775,1548.710022,107.3809372,11.31375022,47.96053456,1.849203966,0,0,13.07244469,2.732575771,1.668563054,
2024,4,26,7,22,0,NYOS2404,HR1,22,C02,1,-73.8392,40.4301,18.873,18.727,8.3541,30.4412,7.96,0.9489,2.53E-11,1023.7323,8.3523,23.6459,8.9233,272.415,9.63859,294.25238,92.579,NYOS2404C004,,2099.646825,,1978.285795,,,7.747056167,7.992497297,426.3874808,428.0711141,1863.784215,94.20181974,20.29976073,46.35850713,1.110844287,0,0,14.88894934,2.294103713,1.440706732,
2024,4,26,7,22,0,NYOS2404,HR1,22,C02,2,-73.8392,40.4301,15.301,15.183,8.9798,29.4318,8.006,1.0391,2.53E-11,1022.8347,8.9783,22.7648,8.9777,274.312,9.56633,292.29779,93.847,NYOS2404C005,,2066.521948,,1936.73217,,,7.786978977,8.024565783,390.5813928,392.111083,1819.502201,98.91869805,18.31127098,47.93853962,1.253449651,0,0,14.42663311,2.423858482,1.51883568,
2024,4,26,7,22,0,NYOS2404,HR1,22,C02,3,-73.8392,40.4301,10.158,10.08,9.6824,28.8078,8.104,1.0306,2.53E-11,1022.2177,9.6814,22.1714,9.9166,303.177,9.45581,289.08865,104.873,NYOS2404C006,,2051.500667,,1884.878497,,,7.893503958,8.124744553,301.023835,302.1920332,1749.840897,121.2042297,13.83336974,57.58232899,1.676632822,0,0,12.79702999,2.983604331,1.867694374,
2024,4,26,7,22,0,NYOS2404,HR1,22,C02,4,-73.8392,40.4301,2.028,2.012,9.8705,28.2038,8.126,1.0347,1.10E+01,1021.6805,9.8703,21.6713,10.0309,306.821,9.45313,289.14823,106.112,NYOS2404C007,,2030.194667,,1862.935355,,,7.906521316,8.135449306,291.6969179,292.8261546,1727.990142,121.5778292,13.36738422,57.3247119,1.731617696,0,0,12.72277833,3.007128366,1.878781476,
2024,4,26,8,44,0,NYOS2404,HR2,25,C03,1,-73.71878,40.44712,21.917,21.747,7.3498,31.0793,7.868,0.5065,2.53E-11,1024.3866,7.3478,24.2859,8.0567,245.807,9.82055,299.61995,82.04,NYOS2404C008,,2122.02363,,2030.412117,,,7.651366717,7.906251252,531.6743783,533.8015794,1926.4033,77.90456155,26.10425481,38.9942652,0.8296037363,0,0,16.42820766,1.88946239,1.187007878,
2024,4,26,8,44,0,NYOS2404,HR2,25,C03,2,-73.71878,40.44712,15.557,15.437,8.3408,30.4824,7.97,0.9352,2.53E-11,1023.7513,8.3393,23.6801,9.0048,274.895,9.63889,294.2518,93.422,NYOS2404C009,,2097.485202,,1971.025271,,,7.760827898,8.007385083,409.9825305,411.601669,1854.47504,97.02730365,19.5229272,47.81711172,1.148473322,0,0,14.63374203,2.363880006,1.484618445,
2024,4,26,8,44,0,NYOS2404,HR2,25,C03,3,-73.71878,40.44712,10.229,10.15,9.8384,28.1801,8.132,1.1054,2.53E-11,1021.7046,9.8374,21.658,10.1815,311.431,9.46128,289.40128,107.612,NYOS2404C010,,2029.13387,,1859.158671,,,7.913748304,8.143139238,285.4520697,286.5575923,1722.846744,123.2149404,13.09698682,58.10730561,1.757271952,0,0,12.61594988,3.043305085,1.901300334,
