Year ,Month,Day,Hour,Minute,Second,Cruise,Station,Bot.depth [m],Cast,Niskin_Bottle#,Longitude,Latitude,Pressure [db],Depth [m],Temp [°C],Salinity,pH_CTD,Flouresence,PAR%,Density [g/L],pTemp [°C],Sigma_Density [g/L],DO [mg/L],DO [umol/kg],DO_solubility [mg/L],DO_solubility [umol/kg],DO%,Bottle ID,Flag_TA,TA [umol/kg],Flag_DIC,DIC [umol/kg],Flag_pH_Spec,pH_Spec [25 degC],pH_from_DIC-TA [25 degC],pH_from_DIC-TA_in situ ,fCO2 [uatm],pCO2 [uatm],HCO3 [umol/kg SW],CO3 [umol/kg SW],CO2 [umol/kg SW],B-Alk [umol/kg SW],OH [umol/kg SW],P-Alk [umol/kg SW],Si-Alk [umol/kg SW],Revelle_factor,ΩCa,ΩAr,pH_from_SpecpH-TA_in situ 
2024,7,8,1,36,7,NYOS2407,LIS_ARIG,16,C01,3,-73.5843,40.9582,2.065,2.049,22.4645,25.3775,7.927,2.0363,4.66E+01,1016.8089,22.4641,16.7999,9.9648,306.26,7.48166,229.94206,133.19,C003,,1863.362554,,1716.583812,,7.933053685,7.918181652,7.954325041,453.2501295,454.7462243,1591.357413,110.7656337,14.46076583,46.91069687,3.574500578,0,0,12.7446251,2.841324368,1.804251285,7.96888915
2024,7,8,1,34,20,NYOS2407,LIS_ARIG,16,C01,2,-73.5843,40.9582,6.916,6.862,18.5971,25.5952,7.571,3.3936,4.34E-11,1017.976,18.5959,17.9456,5.9708,183.301,8.02894,246.48464,74.366,C002,,1887.628073,,1866.574514,,7.484971588,7.482902491,7.563112046,1214.238508,1218.443776,1779.644895,43.84213642,43.0874825,19.30094049,1.025833065,0,0,18.61370897,1.112176305,0.7000744156,7.576666521
2024,7,8,1,32,40,NYOS2407,LIS_ARIG,16,C01,1,-73.5843,40.9582,14.054,13.945,16.8849,26.2911,7.585,1.9724,4.81E-11,1018.9313,16.8828,18.8691,3.3931,104.072,8.26551,253.51727,41.051,C001,,1913.233321,,1885.404122,,7.317003735,7.500893241,7.60491554,1095.663901,1099.541069,1798.089731,46.59877302,40.71561812,20.99477162,0.976587607,0,0,18.58591688,1.172932104,0.7376245216,7.433904884
2024,7,8,7,51,20,NYOS2407,HR1,23,C02,4,-73.8382,40.4267,1.823,1.809,20.1893,29.3896,7.986,1.5974,2.64E+01,1020.4479,20.189,20.4399,8.5155,260.784,7.61821,233.30372,111.779,C007,,2048.337761,,1869.615451,,7.943286655,7.915299092,7.986009188,438.330229,439.8184208,1723.033866,132.015746,14.56583899,57.88638401,3.396563229,0,0,12.06297895,3.285798136,2.107173528,8.011805998
2024,7,8,7,49,58,NYOS2407,HR1,23,C02,3,-73.8382,40.4267,10.057,9.979,15.203,30.6195,7.888,2.9652,2.53E-11,1022.5992,15.2016,22.5546,8.8487,270.426,8.32337,254.37157,106.312,C006,,2101.43655,,1941.903222,,7.874975846,7.844839566,7.989055487,437.9389468,439.5220147,1806.067109,119.1276854,16.70842799,54.93737395,2.18716999,0,0,13.00498983,2.916162065,1.855641148,8.016928592
2024,7,8,7,48,14,NYOS2407,HR1,23,C02,2,-73.8382,40.4267,15.247,15.129,11.0235,30.7777,7.751,2.144,2.53E-11,1023.5547,11.0217,23.4859,5.7198,174.646,9.0683,276.88536,63.075,C005,,2119.991776,,2080.702206,,7.531078151,7.488703021,7.675402487,960.3614244,964.0240604,1984.721158,54.23275946,41.74828852,26.1207905,0.705860517,0,0,18.41900369,1.320719241,0.8339267893,7.736567832
2024,7,8,7,46,38,NYOS2407,HR1,23,C02,1,-73.8382,40.4267,21.202,21.037,10.1424,30.9986,7.826,2.0144,2.53E-11,1023.9024,10.1401,23.8064,5.8464,178.455,9.23011,281.73796,63.341,C004,,2128.70726,,2091.285831,,7.535951054,7.480033471,7.678471031,950.9608304,954.6292707,1995.448815,53.33838497,42.49863125,25.94997064,0.6531053206,0,0,18.52435455,1.2953888,0.8172340633,7.755074527
2024,7,8,9,9,15,NYOS2407,HR2,25,C03,4,-73.717,40.4455,1.8,1.786,20.8101,29.042,8.009,1.3952,9.80E+04,1020.0228,20.8098,20.015,8.4364,258.468,7.54701,231.21951,111.785,C012,,2033.13541,,1851.740436,,7.949882859,7.928705593,7.990299801,431.8081117,433.2628943,1703.902789,133.7064693,14.13117801,58.22320298,3.606920271,0,0,11.92292025,3.339890922,2.142728727,8.009434048
2024,7,8,9,7,33,NYOS2407,HR2,25,C03,3,-73.717,40.4455,10.296,10.216,12.4228,30.9917,7.904,2.9148,1.95E-11,1023.446,12.4215,23.3998,8.9426,273.07,8.79087,268.4372,101.726,C011,,2110.430611,,1956.330662,,7.848234777,7.825302683,8.011534776,411.1297612,412.6696864,1824.450192,114.8160567,17.06441405,54.59254252,1.765708214,0,0,13.30531882,2.797522031,1.771977987,8.032245144
2024,7,8,9,7,33,NYOS2407,HR2,25,C03,3,-73.717,40.4455,10.296,10.216,12.4228,30.9917,7.904,2.9148,1.95E-11,1023.446,12.4215,23.3998,8.9426,273.07,8.79087,268.4372,101.726,C010,,2109.475489,,1958.592235,,7.840198847,7.817300663,8.0032403,419.9373334,421.5102482,1828.281669,112.8805831,17.42998247,53.71048245,1.732305406,0,0,13.43197552,2.75036373,1.742107455,8.024209214
2024,7,8,9,6,4,NYOS2407,HR2,25,C03,2,-73.717,40.4455,15.365,15.246,9.6809,31.1511,7.821,1.3853,2.41E-11,1024.0696,9.6793,23.9999,6.0249,183.867,9.31484,284.27035,64.68,C009,,2132.388457,,2090.07641,,7.542017581,7.494520765,7.701279567,898.4731833,901.9600011,1994.003173,55.33631291,40.73692381,27.0748256,0.6581387831,0,0,18.40858064,1.343984368,0.8475272358,7.768316021
2024,7,8,9,4,38,NYOS2407,HR2,25,C03,1,-73.717,40.4455,23.246,23.066,9.5975,31.1676,7.89,0.8716,2.48E-11,1024.1318,9.595,24.0262,6.0001,183.107,9.33099,284.75589,64.303,C008,,2137.611778,,2091.4697,,7.530612063,7.506763864,7.715563686,868.4841793,871.8582752,1994.910449,57.07614519,39.48310541,27.89368128,0.6750062151,0,0,18.30547019,1.384065553,0.8728016918,7.758209626
2024,7,8,19,5,29,NYOS2407,8.1,19,C04,3,-73.404,40.5522,2.232,2.215,23.1369,30.134,7.901,1.0386,6.29E+01,1020.219,23.1365,20.2094,8.7339,267.53,7.19152,220.28632,121.446,C015,,2062.826067,,1849.209722,,7.96450579,7.98206788,8.009495611,411.3826916,412.7293975,1682.036653,154.6014867,12.57158223,66.83947685,4.756959509,0,0,10.95495346,3.850421669,2.49480231,7.990778137
2024,7,8,19,4,29,NYOS2407,8.1,19,C04,2,-73.404,40.5522,6.714,6.663,18.5344,30.1894,7.79,2.795,6.99E+00,1021.4926,18.5333,21.4632,7.9886,244.401,7.82079,239.26766,102.146,C014,,2059.988106,,1911.791608,,7.801085723,7.826912168,7.92071323,518.4011009,520.1978884,1781.125553,112.6942727,17.97178226,50.94102672,2.545238015,0,0,13.22712571,2.779799287,1.780048584,7.893698476
2024,7,8,19,3,7,NYOS2407,8.1,19,C04,1,-73.404,40.5522,18.26,18.118,13.1218,30.7508,7.797,0.8895,4.17E-02,1023.162,13.1193,23.0804,6.2434,190.706,8.67675,265.035,71.955,C013,,2110.018438,,2033.372949,,7.631743804,7.610322649,7.775473221,753.230675,756.0267626,1930.638547,72.11224861,30.62215278,34.07762932,1.094884183,0,0,16.81205006,1.75791863,1.11434559,7.805103138
2024,7,8,21,52,5,NYOS2407,8.2,35.06,C05,4,-73.2192,40.3023,2.088,2.072,24.018,30.2287,8.027,0.3218,3.44E+01,1020.0377,24.0175,20.0288,7.4125,227.096,7.07728,216.82534,104.737,C019,,2086.021127,,1888.039398,,7.957274035,7.942857294,7.95716543,479.1182641,480.6698443,1728.000238,145.7380335,14.30112648,61.98458448,4.571512607,0,0,11.44744378,3.634314391,2.361338062,7.971080567
2024,7,8,21,51,0,NYOS2407,8.2,35.06,C05,3,-73.2192,40.3023,7.291,7.235,21.9983,30.4313,7.962,0.6466,9.24E+00,1020.7829,21.9969,20.7514,7.9367,242.982,7.3262,224.29252,108.333,C018,,2092.639691,,1886.767787,,7.982820526,7.956591895,8.000625555,426.2378774,427.6529254,1723.329145,150.0334913,13.40515003,65.02279557,4.230968656,0,0,11.27855824,3.716959641,2.403186823,8.025312035
2024,7,8,21,49,42,NYOS2407,8.2,35.06,C05,2,-73.2192,40.3023,14.993,14.877,10.8731,31.0832,7.884,1.6136,1.40E+00,1023.8171,10.8714,23.7494,8.5243,260.207,9.08005,277.17286,93.879,C017,,2127.998871,,2002.12106,,7.770864156,7.748467669,7.955235647,477.2086129,479.0321417,1883.132158,98.17838201,20.81051986,47.19022978,1.331036142,0,0,14.62681842,2.386700717,1.507895415,7.97867508
2024,7,8,21,47,43,NYOS2407,8.2,35.06,C05,1,-73.2192,40.3023,33.185,32.928,8.0816,31.5252,7.872,0.1357,4.70E-02,1024.6866,8.0784,24.5348,6.3756,194.469,9.62999,293.73467,66.206,C016,,2153.199557,,2115.122862,,7.522092784,7.476356833,7.704166712,889.780456,893.3064004,2019.180614,53.45311091,42.48913713,26.5663834,0.566508887,0,0,18.63966186,1.290745739,0.8128597708,7.773437834
2024,7,9,0,16,13,NYOS2407,8.3,42.49,C06,4,-73.0703,40.0823,1.883,1.869,23.9678,30.1608,8.161,0.3579,3.19E+01,1020.0001,23.9674,19.992,7.4071,226.938,7.08625,217.10785,104.528,C024,,2083.731977,,1871.145665,,7.981455055,7.976263346,7.991395302,436.4883798,437.9027766,1703.221211,154.8741606,13.05029356,65.85521489,4.917651614,0,0,11.03254889,3.863788963,2.509529876,7.995969831
2024,7,9,0,14,48,NYOS2407,8.3,42.49,C06,3,-73.0703,40.0823,11.137,11.052,22.3166,30.3689,8.109,1.1926,3.23E+00,1020.6648,22.3144,20.6168,7.7355,236.854,7.28719,223.12759,106.152,C023,,2094.062632,,1882.07193,,7.981888632,7.970537817,8.009794021,416.1421571,417.5182724,1715.006874,154.0843104,12.98074616,66.45333996,4.443786591,0,0,11.10857593,3.819266883,2.471100126,8.019833425
2024,7,9,0,12,58,NYOS2407,8.3,42.49,C06,2,-73.0703,40.0823,20.912,20.751,11.4219,30.8697,8.012,1.8373,5.63E-12,1023.582,11.4194,23.4878,6.6805,203.979,8.98597,274.3711,74.344,C022,,2121.164348,,2036.956536,,7.646747527,7.631537421,7.823061055,666.9494105,669.4799637,1932.76669,75.58425074,28.60559504,36.21030418,1.03419412,0,0,16.58591222,1.838228448,1.161915347,7.846100242
2024,7,9,0,10,49,NYOS2407,8.3,42.49,C06,1,-73.0703,40.0823,40.149,39.838,7.1075,31.6617,8.113,0.0888,4.60E-12,1024.9608,7.104,24.7764,6.5137,198.636,9.83773,300.00049,66.212,C021,,2147.806035,,2115.427146,,7.476843981,7.456389679,7.696139506,898.9529117,902.5610518,2020.403868,50.6644652,44.35881266,25.58978579,0.5039969448,0,0,18.8262907,1.220756941,0.7680101912,7.743584472
2024,7,9,0,10,49,NYOS2407,8.3,42.49,C06,1,-73.0703,40.0823,40.149,39.838,7.1075,31.6617,8.113,0.0888,4.60E-12,1024.9608,7.104,24.7764,6.5137,198.636,9.83773,300.00049,66.212,C020,,2147.496016,,2119.250085,,7.486357828,7.442795791,7.681028118,932.5362255,936.2791594,2024.210025,49.02408026,46.01598058,24.77234202,0.4867618306,0,0,18.906924,1.181231974,0.7431439986,7.753098319
2024,7,9,2,49,25,NYOS2407,8.4,60.51,C07,5,-72.9083,39.8407,1.882,1.868,23.7136,30.0223,8.043,0.6523,7.18E+00,1019.9687,23.7132,19.9606,7.6336,233.885,7.12352,218.25662,107.161,C029,,2071.451199,,1874.767576,,7.956093105,7.944909607,7.963698825,468.3698401,469.8922817,1716.115368,144.5455562,14.10665174,61.75785667,4.497968088,0,0,11.45452847,3.607760908,2.340512702,7.974197926
2024,7,9,2,47,54,NYOS2407,8.4,60.51,C07,4,-72.9083,39.8407,9.892,9.816,17.5088,30.7814,8.001,2.0936,1.71E-11,1022.2046,17.5072,22.1612,8.768,268.064,7.94724,242.97037,110.328,C028,,2113.563867,,1927.542548,,7.911292418,7.904329271,8.014965296,411.9786041,413.4250361,1776.48177,136.3969547,14.66382244,61.39505618,2.902998145,0,0,12.03861371,3.344746187,2.140444643,8.01897441
2024,7,9,2,46,24,NYOS2407,8.4,60.51,C07,3,-72.9083,39.8407,20.559,20.401,8.6817,31.9719,7.975,0.4978,1.69E-11,1024.8903,8.6796,24.7966,10.6269,324.059,9.47332,288.88201,112.177,C027,,2181.438166,,2023.114582,,7.824749457,7.814743555,8.058985984,369.1944301,370.6459993,1888.739143,117.146689,17.22874963,57.04209004,1.372467287,0,0,13.42577097,2.828981729,1.785018704,8.06666303
2024,7,9,2,44,54,NYOS2407,8.4,60.51,C07,2,-72.9083,39.8407,35.473,35.199,6.8566,31.9665,7.93,0.0619,1.79E-11,1025.2122,6.8535,25.0491,7.8826,240.315,9.87504,301.05818,79.823,C026,,2179.45804,,2093.555196,,7.627788389,7.61997485,7.880007339,577.9518215,580.2792284,1988.904697,75.93222349,28.71827548,37.94937212,0.7529794232,0,0,16.80444398,1.828303025,1.150651061,7.898511649
2024,7,9,2,42,38,NYOS2407,8.4,60.51,C07,1,-72.9083,39.8407,59.748,59.282,7.0618,32.1545,7.965,0.0493,1.74E-11,1025.4447,7.0565,25.1704,8.5426,260.405,9.81625,299.23031,87.025,C025,,2187.708563,,2090.457908,,7.665471878,7.650289926,7.908720024,538.1625868,540.3239168,1981.905653,82.03078941,26.52146515,40.92800017,0.8259262182,0,0,16.24970004,1.96396225,1.237325793,7.932937277
2024,7,9,5,20,26,NYOS2407,8.5,67,C08,5,-72.744,39.5998,1.876,1.862,23.8896,29.9716,8.117,0.6392,2.81E+01,1019.8798,23.8892,19.8717,7.6261,233.676,7.10364,217.6666,107.355,C035,,2070.994864,,1868.781978,,7.963100853,7.958069559,7.974306586,455.2734494,456.7501315,1707.039508,148.0893122,13.65315824,63.11005539,4.677513415,0,0,11.28997769,3.699103173,2.400572992,7.978719387
2024,7,9,5,18,21,NYOS2407,8.5,67,C08,4,-72.744,39.5998,9.991,9.914,21.5913,30.8887,8.046,1.2409,1.77E-11,1021.2524,21.5894,21.2092,7.852,240.283,7.36039,225.23834,106.679,C034,,2143.292714,,1924.5626,,7.974466656,7.970401454,8.020537073,411.8578652,413.232069,1752.303082,159.19556,13.0639584,68.30186183,4.306394878,0,0,11.07809713,3.926330264,2.53932386,8.022786214
2024,7,9,5,16,54,NYOS2407,8.5,67,C08,3,-72.744,39.5998,20.094,19.94,7.9632,31.9532,8.026,1.0199,1.69E-11,1024.9793,7.9613,24.8874,9.3713,285.746,9.62896,293.60223,97.324,C033,,2178.906581,,2053.543942,,7.749840549,7.731258724,7.982508873,448.5152322,450.2953291,1934.412648,97.68003051,21.45126377,48.07625883,1.068241121,0,0,14.86007028,2.359148974,1.486829417,8.003051189
2024,7,9,5,15,30,NYOS2407,8.5,67,C08,2,-72.744,39.5998,35.245,34.973,7.3049,32.1228,8.032,0.3034,1.76E-11,1025.2741,7.3017,25.1124,9.2637,282.404,9.76362,297.64297,94.88,C032,,2188.447616,,2071.861774,,7.717439561,7.704652793,7.964081489,469.778708,471.6593773,1956.238215,92.66248521,22.96107326,45.93563008,0.9598892094,0,0,15.31324189,2.229399825,1.40452607,7.981051547
2024,7,9,5,13,37,NYOS2407,8.5,67,C08,1,-72.744,39.5998,65.724,65.212,9.3401,33.0766,8.031,0.0274,1.74E-11,1025.8572,9.3331,25.5595,8.2301,250.786,9.26944,282.45457,88.788,C031,,n/a,,n/a,,7.757338163,,,,,,,,,,,,,,,7.988950088
2024,7,9,5,13,37,NYOS2407,8.5,67,C08,1,-72.744,39.5998,65.724,65.212,9.3401,33.0766,8.031,0.0274,1.74E-11,1025.8572,9.3331,25.5595,8.2301,250.786,9.26944,282.45457,88.788,C030,,2229.222044,,2087.4864,,7.75491662,7.754982452,7.984641292,452.6622239,454.42674,1958.646683,108.3103996,20.52931715,52.70172228,1.263421027,0,0,14.17456893,2.577910995,1.633373933,7.986528545
2024,7,9,7,51,40,NYOS2407,8.6,122,C09,7,-72.5895,39.356,2.603,2.583,24.2056,30.7597,8.18,0.2124,6.59E+00,1020.3863,24.2051,20.3751,7.1502,218.984,7.03273,215.38731,101.67,C043,,2116.109762,,1896.299074,,7.982333761,7.978504061,7.990113455,442.1387212,443.5672615,1723.195511,160.0066064,13.09695656,67.84397139,5.067522989,0,0,10.9146217,3.975528074,2.588671259,7.993495665
2024,7,9,7,50,16,NYOS2407,8.6,122,C09,6,-72.5895,39.356,14.776,14.663,24.6993,34.2689,8.14,0.0817,2.03E-11,1022.9434,24.6962,22.8806,6.6393,202.841,6.83438,208.79978,97.146,C042,,2288.208448,,2014.295768,,8.011828941,8.011194778,8.015143103,431.6112692,432.997403,1804.912496,196.9882036,12.39506858,83.33786859,5.991558655,0,0,10.06691734,4.757936227,3.129766761,8.016046994
2024,7,9,7,48,44,NYOS2407,8.6,122,C09,5,-72.5895,39.356,29.407,29.181,21.4887,35.0545,8.047,0.4092,1.77E-11,1024.5292,21.483,24.4029,7.4155,226.217,7.19651,219.53659,103.043,C041,,2317.211597,,2052.50499,,7.998338914,7.980553642,8.031767242,415.9028823,417.2923453,1849.448878,190.1186949,12.93741737,82.81528736,4.719554574,0,0,10.35802473,4.53213268,2.95850134,8.048130196
2024,7,9,7,48,44,NYOS2407,8.6,122,C09,5,-72.5895,39.356,29.407,29.181,21.4887,35.0545,8.047,0.4092,1.77E-11,1024.5292,21.483,24.4029,7.4155,226.217,7.19651,219.53659,103.043,C040,,2316.781551,,2048.117183,,7.997318157,7.987751814,8.039014505,407.5529855,408.914553,1842.815016,192.6244884,12.67767861,83.92793955,4.798972651,0,0,10.27565115,4.591866883,2.99749484,8.047109439
2024,7,9,7,46,54,NYOS2407,8.6,122,C09,4,-72.5895,39.356,50.353,49.964,9.3486,33.4117,8.046,-0.0255,1.71E-11,1026.0479,9.3432,25.8198,7.0616,215.122,9.24771,281.72085,76.36,C039,,2246.633934,,2122.276159,,7.720641431,7.704938335,7.932474307,521.487327,523.5199041,1999.886797,98.79108573,23.59827654,48.05119942,1.125701286,0,0,14.95085744,2.353555122,1.492009586,7.952120675
2024,7,9,7,45,4,NYOS2407,8.6,122,C09,3,-72.5895,39.356,75.209,74.623,11.048,34.1834,8.039,-0.0455,1.89E-11,1026.4699,11.0388,26.1326,6.9895,212.864,8.86953,270.11769,78.804,C038,,2280.287588,,2123.456328,,7.78996346,7.773229026,7.97714461,470.6072994,472.4015375,1984.783544,118.6256688,20.04711535,56.75980083,1.503679675,0,0,13.60706038,2.801321524,1.784202205,7.995075245
2024,7,9,7,43,22,NYOS2407,8.6,122,C09,2,-72.5895,39.356,100.838,100.047,11.925,34.8089,8.015,-0.0666,1.71E-11,1026.9073,11.912,26.4574,6.376,194.118,8.67222,264.02515,73.522,C037,,2307.320523,,2140.180427,,7.79236731,7.786938961,7.977045443,474.1891222,475.9766607,1995.164193,125.4490964,19.56713848,59.6078355,1.661081897,0,0,13.24743255,2.938208552,1.876939787,7.983994764
2024,7,9,7,41,6,NYOS2407,8.6,122,C09,1,-72.5895,39.356,122.158,121.193,11.9802,35.1933,8.005,-0.0559,1.76E-11,1027.2905,11.9643,26.7461,5.3639,163.256,8.64121,263.00731,62.073,C036,,2323.462276,,2171.550723,,7.756389353,7.745513728,7.932401013,534.0141273,536.0257552,2032.825854,116.775991,21.94887809,55.57801457,1.51837352,0,0,13.8340425,2.718063896,1.737939141,7.947170853
2024,7,9,10,39,39,NYOS2407,8.7,873,C10,8,-72.428,39.1148,2.482,2.463,26.3559,34.4422,8.201,-0.0386,3.37E+01,1022.5121,26.3553,22.5016,6.3217,193.209,6.63897,202.90504,95.221,C052,,2296.923131,,2018.725916,,8.025949467,8.015324289,7.995216039,456.7213247,458.1588127,1805.71894,200.4347156,12.57226027,83.70105835,6.644049912,0,0,9.974505396,4.857197598,3.211852796,8.007034855
2024,7,9,10,38,49,NYOS2407,8.7,873,C10,7,-72.428,39.1148,6.71,6.659,26.2495,34.6951,8.201,-0.0524,1.84E+01,1022.7543,26.248,22.7259,6.3353,193.581,6.6413,202.93161,95.392,C051,,2317.313869,,2028.280092,,8.034692262,8.028011663,8.009292141,441.9897344,443.3826539,1808.280251,207.8170051,12.18283655,86.57808485,6.831544239,0,0,9.823357546,5.021427608,3.321033565,8.01725572
