Year ,Month,Day,Hour,Minute,Second,Cruise,Station,Bot.depth [m],Cast,Niskin_Bottle#,Longitude,Latitude,Pressure [db],Depth [m],Temp [°C],Salinity,pH_CTD,Flouresence,PAR%,Density [g/L],pTemp [°C],Sigma_Density [g/L],DO [mg/L],DO [umol/kg],DO_solubility [mg/L],DO_solubility [umol/kg],DO%,Bottle ID,Flag_TA,TA [umol/kg],Flag_DIC,DIC [umol/kg],Flag_pH_Spec,pH_Spec [25 degC],pH_from_DIC-TA [25 degC],pH_from_DIC-TA_in situ ,fCO2 [uatm],pCO2 [uatm],HCO3 [umol/kg SW],CO3 [umol/kg SW],CO2 [umol/kg SW],B-Alk [umol/kg SW],OH [umol/kg SW],P-Alk [umol/kg SW],Si-Alk [umol/kg SW],Revelle_factor,ΩCa,ΩAr,pH_from_SpecpH-TA_in situ 
2024,9,,,,,NYOS2409,LIS_ARIG,15,C01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,9,,,,,NYOS2409,LIS_ARIG,15,C01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,9,,,,,NYOS2409,LIS_ARIG,15,C01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,9,,,,,NYOS2409,HR01,23,C02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,9,,,,,NYOS2409,HR01,23,C02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,9,,,,,NYOS2409,HR01,23,C02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,9,,,,,NYOS2409,HR01,23,C02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,9,,,,,NYOS2409,HR02,24,C03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,9,,,,,NYOS2409,HR02,24,C03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,9,,,,,NYOS2409,HR02,24,C03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,9,,,,,NYOS2409,HR02,24,C03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,9,,,,,NYOS2409,HR02,24,C03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,9,,,,,NYOS2409,8.1,15,C04,3,-73.4064,40.56926667,2.145,2.128,21.2844,30.9473,8.17,1.3145,1.13E+01,1021.3453,21.284,21.336,7.7842,238.179,7.39883,226.38636,105.209,C015,,2116.976382,,1911.704365,,,7.944695076,7.999466083,430.6706413,432.1130848,1748.196851,149.7368854,13.770628,65.32500698,3.990982965,0,0,11.36761884,3.693868704,2.387219429,
2024,9,,,,,NYOS2409,8.1,15,C04,2,-73.4064,40.56926667,7.219,7.164,21.2829,30.9473,8.17,1.373,1.69E-11,1021.3679,21.2816,21.3367,7.7879,238.29,7.39902,226.39216,105.255,C014,,2115.319156,,1919.75577,,,7.923493224,7.977923317,455.8123009,457.3389797,1761.560297,143.62035,14.57512368,62.73014745,3.798762211,0,0,11.64751598,3.540240131,2.288057286,
2024,9,,,,,NYOS2409,8.1,15,C04,1,-73.4064,40.56926667,13.674,13.568,21.092,30.946,8.135,1.7276,1.69E-11,1021.4462,21.0895,21.387,7.2524,221.894,7.42477,227.16876,97.678,C013,,2124.105885,,1922.903688,,,7.934770424,7.99192393,440.5154885,441.9944268,1761.415842,147.3282597,14.15958616,64.18696834,3.856964175,0,0,11.51339767,3.62686848,2.343024758,
2024,9,,,,,NYOS2409,8.2,34,C05,4,-73.22715,40.3023,2.208,2.191,20.8849,31.359,8.167,0.1269,1.69E-11,1021.765,20.8845,21.7554,7.2174,220.745,7.43476,227.39255,97.077,C019,,2132.799895,,1935.374286,,,7.919690901,7.980199258,455.2640096,456.7963934,1775.837026,144.8530867,14.68417419,63.55874508,3.708646453,0,0,11.63858469,3.560449261,2.301241093,
