,,,,
Year,Pounds,Metric Tons,Dollars,Collection
1950,"142,914,500","64,826","15,625,114",Commercial
1951,"138,886,500","62,999","15,241,981",Commercial
1952,"141,384,900","64,132","13,639,356",Commercial
1953,"138,386,700","62,772","9,729,078",Commercial
1954,"139,271,800","63,173","8,423,007",Commercial
1955,"134,870,200","61,177","9,819,861",Commercial
1956,"154,910,700","70,267","9,573,211",Commercial
1957,"158,564,200","71,924","9,252,668",Commercial
1958,"98,013,200","44,458","8,271,523",Commercial
1959,"115,669,700","52,467","8,965,310",Commercial
1960,"126,521,500","57,390","8,885,755",Commercial
1961,"124,907,900","56,658","9,319,113",Commercial
1962,"225,759,300","102,404","10,201,097",Commercial
1963,"191,255,700","86,753","9,718,247",Commercial
1964,"197,022,100","89,369","10,790,481",Commercial
1965,"147,462,500","66,889","12,387,307",Commercial
1966,"64,113,100","29,082","11,348,654",Commercial
1967,"37,509,300","17,014","12,582,555",Commercial
1968,"59,487,900","26,984","14,326,099",Commercial
1969,"41,387,400","18,773","14,040,235",Commercial
1970,"32,484,100","14,735","16,116,637",Commercial
1971,"36,852,794","16,716","18,710,512",Commercial
1972,"37,498,751","17,009","22,152,783",Commercial
1973,"36,899,796","16,738","22,084,073",Commercial
1974,"35,471,804","16,090","25,475,239",Commercial
1975,"38,026,604","17,249","28,503,780",Commercial
1976,"35,182,589","15,959","32,604,336",Commercial
1977,"33,517,919","15,204","30,846,583",Commercial
1978,"36,718,658","16,655","33,989,533",Commercial
1979,"38,956,655","17,671","39,259,906",Commercial
1980,"41,624,195","18,881","45,403,557",Commercial
1981,"37,634,555","17,071","45,838,291",Commercial
1982,"36,805,590","16,695","45,800,496",Commercial
1983,"39,095,799","17,734","38,546,089",Commercial
1984,"40,161,341","18,217","40,315,061",Commercial
1985,"41,333,509","18,749","38,790,024",Commercial
1986,"44,314,603","20,101","45,753,389",Commercial
1987,"41,093,478","18,640","53,560,951",Commercial
1988,"38,666,875","17,539","54,446,909",Commercial
1989,"41,027,993","18,610","54,653,280",Commercial
1990,"46,481,940","21,084","55,344,118",Commercial
1991,"51,661,768","23,434","53,783,543",Commercial
1992,"53,056,046","24,066","57,637,395",Commercial
1993,"59,612,447","27,040","61,312,436",Commercial
1994,"56,210,243","25,497","66,898,300",Commercial
1995,"57,900,420","26,263","80,012,577",Commercial
1996,"60,537,886","27,460","85,050,927",Commercial
1997,"60,055,433","27,241","88,047,744",Commercial
1998,"56,504,653","25,630","81,832,507",Commercial
1999,"49,542,372","22,472","74,865,046",Commercial
2000,"44,821,769","20,331","61,309,305",Commercial
2001,"42,506,384","19,281","55,265,915",Commercial
2002,"38,640,186","17,527","51,395,378",Commercial
2003,"39,444,547","17,892","51,662,152",Commercial
2004,"35,236,266","15,983","46,950,338",Commercial
2005,"39,092,157","17,732","56,462,778",Commercial
2006,"33,317,223","15,113","58,519,860",Commercial
2007,"35,877,095","16,274","60,381,244",Commercial
2008,"34,100,145","15,468","56,673,708",Commercial
2009,"34,178,096","15,503","48,072,412",Commercial
2010,"33,682,429","15,278","49,843,902",Commercial
2011,"32,029,450","14,528","50,632,789",Commercial
2012,"36,828,557","16,705","55,063,146",Commercial
2013,"34,015,873","15,429","57,322,282",Commercial
2014,"27,550,462","12,497","56,800,349",Commercial
2015,"30,154,992","13,678","69,170,361",Commercial
2016,"30,208,711","13,703","52,581,740",Commercial
2017,"25,151,252","11,409","46,788,413",Commercial
2018,"22,848,078","10,364","46,878,810",Commercial
2019,"23,571,513","10,692","42,175,878",Commercial
2020,"23,154,145","10,503","34,297,865",Commercial
2021,"23,274,727","10,557","40,107,558",Commercial
2022,"19,152,116","8,687","38,850,775",Commercial
2023,"17,104,568","7,759","28,338,420",Commercial
2024,"15,958,462","7,239","36,062,644",Commercial
