,,,,,,,
Year,NMFS Name,Pounds,Metric Tons,Dollars,Deflated Dollars,Confidentiality,Collection
1950,ALEWIFE,"103,700",47,"3,134","31,340",Public,Commercial
1950,ANCHOVIES **,"159,300",72,"33,000","330,000",Public,Commercial
1950,"BASS, BLACK SEA","1,897,500",861,"353,975","3,539,750",Public,Commercial
1950,"BASS, ROCK","3,400",2,640,"6,400",Public,Commercial
1950,"BASS, STRIPED","517,100",235,"127,965","1,279,650",Public,Commercial
1950,"BASS, WHITE","10,300",5,"1,085","10,850",Public,Commercial
1950,BLUEFISH,"127,400",58,"26,345","263,450",Public,Commercial
1950,"BONITO, ATLANTIC","3,100",1,455,"4,550",Public,Commercial
1950,BOWFIN,"1,400",1,70,700,Public,Commercial
1950,BURBOT,"14,100",6,422,"4,220",Public,Commercial
1950,"CARP, COMMON","65,500",30,"4,942","49,420",Public,Commercial
1950,"CATFISHES, FORKTAIL **","82,300",37,"15,638","156,380",Public,Commercial
1950,"CATFISHES-BULLHEADS, OTHER **","60,600",27,"5,895","58,950",Public,Commercial
1950,CHUBS **,"10,800",5,"4,314","43,140",Public,Commercial
1950,"CLAM, SOFT","32,800",15,"14,315","143,150",Public,Commercial
1950,"CLAM, SURF, ATLANTIC","3,285,600","1,490","330,975","3,309,750",Public,Commercial
1950,"CLAMS, QUAHOG, MERCENARIA **","7,721,300","3,502","2,808,816","28,088,160",Public,Commercial
1950,"COD, ATLANTIC","2,528,500","1,147","286,432","2,864,320",Public,Commercial
1950,"CONCHS, TRUE **","75,500",34,"21,472","214,720",Public,Commercial
1950,"CRAB, BLUE","8,300",4,"2,335","23,350",Public,Commercial
1950,CUNNER,"1,800",1,50,500,Public,Commercial
1950,CUSK,100,0,4,40,Public,Commercial
1950,"DRUM, FRESHWATER","1,500",1,75,750,Public,Commercial
1950,"EEL, AMERICAN","272,600",124,"51,953","519,530",Public,Commercial
1950,"EEL, CONGER","20,100",9,435,"4,350",Public,Commercial
1950,"FLOUNDER, AMERICAN PLAICE","75,500",34,"6,029","60,290",Public,Commercial
1950,"FLOUNDER, SUMMER","3,838,000","1,741","680,538","6,805,380",Public,Commercial
1950,"FLOUNDER, WINTER","2,185,800",991,"218,085","2,180,850",Public,Commercial
1950,"FLOUNDER, WITCH","15,500",7,750,"7,500",Public,Commercial
1950,"FLOUNDER, YELLOWTAIL","1,236,200",561,"139,606","1,396,060",Public,Commercial
1950,GOOSEFISH,"53,800",24,"3,202","32,020",Public,Commercial
1950,HADDOCK,"788,200",358,"62,066","620,660",Public,Commercial
1950,"HAKE, RED","281,100",128,"5,780","57,800",Public,Commercial
1950,"HAKE, SILVER","1,362,700",618,"70,596","705,960",Public,Commercial
1950,"HAKE, WHITE","49,300",22,"3,375","33,750",Public,Commercial
1950,"HALIBUT, ATLANTIC","2,500",1,500,"5,000",Public,Commercial
1950,HARVESTFISHES **,"1,056,100",479,"130,915","1,309,150",Public,Commercial
1950,"HERRING, ATLANTIC","139,300",63,"2,293","22,930",Public,Commercial
1950,"HERRING, LAKE OR CISCO","4,500",2,"1,807","18,070",Public,Commercial
1950,KINGFISHES **,"19,300",9,"2,830","28,300",Public,Commercial
1950,"LANCE, AMERICAN SAND","7,000",3,240,"2,400",Public,Commercial
1950,"LOBSTER, AMERICAN","203,200",92,"82,640","826,400",Public,Commercial
1950,"MACKEREL, ATLANTIC","322,800",146,"52,547","525,470",Public,Commercial
1950,MENHADENS **,"82,510,400","37,426","694,529","6,945,290",Public,Commercial
1950,"MUSSEL, SEA","68,400",31,"13,540","135,400",Public,Commercial
1950,"OYSTER, EASTERN","8,786,800","3,986","5,799,688","57,996,880",Public,Commercial
1950,"PERCH, WHITE","58,400",26,"6,711","67,110",Public,Commercial
1950,"PERCH, YELLOW","13,600",6,"2,835","28,350",Public,Commercial
1950,PIKES **,500,0,155,"1,550",Public,Commercial
1950,POLLOCK,"36,400",17,"1,858","18,580",Public,Commercial
1950,PORGIES **,"10,021,800","4,546","792,763","7,927,630",Public,Commercial
1950,"PUFFER, NORTHERN","788,900",358,"54,308","543,080",Public,Commercial
1950,"SCALLOP, BAY","27,000",12,"32,000","320,000",Public,Commercial
1950,"SCALLOP, SEA","4,806,200","2,180","2,189,715","21,897,150",Public,Commercial
1950,SEAROBINS **,"36,900",17,745,"7,450",Public,Commercial
1950,"SHAD, AMERICAN","627,500",285,"104,560","1,045,600",Public,Commercial
1950,"SHARKS, CHONDRICHTHYES (CLASS) **","30,400",14,"1,297","12,970",Public,Commercial
1950,"SHARKS, DOGFISH **","37,200",17,"1,829","18,290",Public,Commercial
1950,"SILVERSIDES, ATHERINIDAE (FAMILY) **","330,600",150,"22,685","226,850",Public,Commercial
1950,"SKATES, RAJIDAE (FAMILY) **","37,200",17,"1,955","19,550",Public,Commercial
1950,"SMELT, RAINBOW",100,0,13,130,Public,Commercial
1950,SPOT,"1,000",0,40,400,Public,Commercial
1950,"SQUIDS, LOLIGINIDAE **","635,700",288,"44,500","445,000",Public,Commercial
1950,STURGEONS **,"14,500",7,"3,832","38,320",Public,Commercial
1950,SUCKERS **,"18,000",8,"1,684","16,840",Public,Commercial
1950,SUNFISHES **,"5,600",3,642,"6,420",Public,Commercial
1950,SWORDFISH,"23,900",11,"11,775","117,750",Public,Commercial
1950,TAUTOG,"8,800",4,460,"4,600",Public,Commercial
1950,"TILEFISH, GOLDEN","1,046,800",475,"84,700","847,000",Public,Commercial
1950,"TUNA, BLUEFIN","118,300",54,"14,590","145,900",Public,Commercial
1950,"TUNA, LITTLE TUNNY","14,100",6,"1,727","17,270",Public,Commercial
1950,"VERTEBRATES, JAWED","3,605,000","1,635","61,083","610,830",Public,Commercial
1950,WALLEYE,"229,500",104,"52,377","523,770",Public,Commercial
1950,WEAKFISH,"142,200",65,"27,550","275,500",Public,Commercial
1950,"WHITEFISH, LAKE","176,000",80,"40,097","400,970",Public,Commercial
1950,"WOLFFISH, ATLANTIC","11,400",5,330,"3,300",Public,Commercial
1951,ALEWIFE,"74,800",34,"1,364","12,748",Public,Commercial
1951,"BASS, BLACK SEA","2,791,700","1,266","454,084","4,243,776",Public,Commercial
1951,"BASS, ROCK","12,000",5,"1,207","11,280",Public,Commercial
1951,"BASS, STRIPED","626,200",284,"159,257","1,488,383",Public,Commercial
1951,"BASS, WHITE","8,800",4,932,"8,710",Public,Commercial
1951,BLUEFISH,"191,100",87,"44,834","419,009",Public,Commercial
1951,"BONITO, ATLANTIC",500,0,72,673,Public,Commercial
1951,BOWFIN,"6,200",3,616,"5,757",Public,Commercial
1951,BURBOT,"6,500",3,79,738,Public,Commercial
1951,"CARP, COMMON","32,500",15,"2,359","22,047",Public,Commercial
1951,"CATFISHES, FORKTAIL **","79,000",36,"19,751","184,589",Public,Commercial
1951,"CATFISHES-BULLHEADS, OTHER **","72,000",33,"7,346","68,654",Public,Commercial
1951,CHUBS **,"38,900",18,"16,329","152,607",Public,Commercial
1951,"CLAM, SOFT","39,100",18,"17,136","160,150",Public,Commercial
1951,"CLAM, SURF, ATLANTIC","4,046,100","1,835","421,474","3,939,009",Public,Commercial
1951,"CLAMS, QUAHOG, MERCENARIA **","7,072,200","3,208","2,518,318","23,535,682",Public,Commercial
1951,"COD, ATLANTIC","1,941,100",880,"258,976","2,420,336",Public,Commercial
1951,"CONCHS, TRUE **","50,000",23,"11,250","105,140",Public,Commercial
