sid,year,month,day,hour,time,lat,lon,x,y,p_cent,p_edge,depth,p_grad,DsqP,radius,area,Dp,DpDt,u,v,uv,Ege,Ely,Emg,Esp,Erg,id,pid,type,centers
0,2000,8,25,15,36761.625,49.05151350286224,-3.366460663429801,349,181,1008.6590512194438,1012.6590512194438,4.0,7.672204092483094,3.370249367764045,705.9418641478187,1565625,,,,,,3,0,0,0,0,0,0,1,1
0,2000,8,25,18,36761.75,49.543716068824864,-3.08093588657312,350,183,1007.7998676190466,1011.7998676190466,4.0,7.983675774769555,3.568667145864674,640.0195581251917,1286875,-0.8591836003972275,-7.823089355309269,6.866942321692188,18.243476072159012,19.493058150143753,0,0,0,0,0,0,0,1,1
0,2000,8,25,21,36761.875,50.49892157101854,-3.1522354296653035,350,187,1007.8448392373763,1009.8448392373763,2.0,8.310928598742288,5.95081888576744,262.363322298001,216250,0.04497161832972779,0.40379395953538944,-1.6810122932506901,35.40466858230179,35.44455331574496,0,0,0,0,0,0,0,1,1
0,2000,8,26,0,36762.0,52.741427128697,-5.797854385159654,343,197,1006.5844095179491,1008.5844095179491,2.0,8.359310867678143,4.814373563005793,269.8395568936143,228750,-1.260429719427193,-10.971714893977714,-59.36334581931825,83.11841366202384,102.14047932409207,0,0,0,0,0,0,0,1,1
0,2000,8,26,3,36762.125,53.448148487654926,-5.906141113770501,343,200,1005.4716418184189,1005.4716418184189,0.0,8.114658117761639,3.966513890517599,14.104739588693906,625,-1.1127676995302318,-9.597044473678777,-2.390326088114933,26.194609889156574,26.303445516749743,0,0,0,0,0,0,0,1,1
0,2000,8,26,6,36762.25,56.606489389074255,-8.019812250698187,339,214,1003.8498266049417,1003.8498266049417,0.0,7.74459784349303,4.724087745906582,14.104739588693906,625,-1.621815213477239,-13.458052518574272,-43.11729314168489,117.06382828394398,124.75191726125378,0,0,0,0,0,0,0,1,1
0,2000,8,26,9,36762.375,58.028966142512154,-7.957525226917142,340,220,1003.3593696227258,1003.3593696227258,0.0,7.933537880793644,4.410066193282837,14.104739588693906,625,-0.49045698221583733,-4.005566422919327,1.2224171201046476,52.72406608403901,52.73823516244772,0,0,0,0,0,0,0,1,1
0,2000,8,26,12,36762.5,60.628268046200795,-7.755217107340554,342,231,1002.5010280457079,1004.5010280457079,2.0,8.198372408739134,6.825662174185927,250.73133533983872,197500,-0.8583415770178544,-6.823942404350654,3.6778391277426583,96.34306150257324,96.41323560766004,0,0,0,0,0,0,0,1,1
0,2000,8,26,15,36762.625,61.60707856000414,-7.096694166575359,344,235,1001.749823482434,1003.749823482434,2.0,8.72871223592744,5.180730178425875,226.55566456642887,161250,-0.7512045632739318,-5.916169757352468,11.606398619390593,36.27958776042866,38.090904123935374,0,0,0,0,0,0,0,1,1
0,2000,8,26,18,36762.75,62.32358668469822,-6.80558044186478,345,238,1001.7936029190413,1005.7936029190413,4.0,8.650842806516584,4.2586310876694915,725.1262946824155,1651875,0.04377943660729215,0.3425000027365208,5.011765390091638,26.557356121862902,27.02611619357782,0,0,0,0,0,0,0,1,1
0,2000,8,26,21,36762.875,63.29259243558195,-6.0724564072077,347,242,1002.1064851370512,1006.1064851370512,4.0,9.056408225773628,4.523622989651485,623.3273656940545,1220625,0.3128822180099087,2.4265972729867724,12.21251792729038,35.916174462557414,37.935697992118854,0,0,0,0,0,1,1,1,1
0,2000,8,27,0,36763.0,65.41947998052777,-5.003919952240344,350,251,1002.4828670042459,1004.4828670042459,2.0,8.995399244075369,3.9360745291045176,237.69729657196956,177500,0.3763818671947229,2.8675108154624054,16.4744747181566,78.83303484715826,80.53605217821675,0,0,0,0,0,2,2,1,1
0,2000,8,27,3,36763.125,66.14153665169869,-4.066318774805974,352,254,1002.4600460803147,1004.4600460803147,2.0,9.0514764698988,2.8977376192485824,249.93662229367052,196250,-0.022820923931285507,-0.17288113764274726,14.056378904129689,26.763012861354966,30.229797308508594,0,0,0,0,0,2,2,1,1
0,2000,8,27,6,36763.25,67.31247042557776,-3.132465198568036,354,259,1002.6675449069116,1004.6675449069116,2.0,9.269544492033404,2.5376596751502802,261.98391020896656,215625,0.20749882659700233,1.5581613565919636,13.35039004948399,43.40063169737365,45.407573665683074,0,0,0,0,0,4,4,1,1
0,2000,8,27,9,36763.375,68.47408685031647,-2.098905933203546,356,264,1003.267547220465,1005.267547220465,2.0,8.996119276954236,3.2346156860645716,249.5383166664071,195625,0.6000023135532683,4.468616287520822,14.056194107444137,43.05528437931132,45.29165602811975,0,0,0,0,0,4,4,1,1
0,2000,8,27,12,36763.5,68.47408685031647,-2.098905933203546,356,264,1002.7873697825842,1008.7873697825842,6.0,10.112433332700576,3.8796104741509767,657.4987560241926,1358125,-0.48017743788077494,-3.5762007434718845,0.0,0.0,0.0,0,0,2,0,0,5,5,1,2
0,2000,8,27,15,36763.625,68.937186597614,-1.5316077920110123,357,266,1002.3268834667772,1006.3268834667772,4.0,10.554026345755444,4.305586679579792,306.7578199542485,295625,-0.4604863158069202,-3.4187604700282828,7.556853366989264,17.16478080995461,18.754618979439787,0,0,0,2,0,3,3,1,1
0,2000,8,27,18,36763.75,69.62794967557984,-0.31654804727300767,359,269,1001.5451424529399,1005.5451424529399,4.0,11.675011246339503,3.6911503530420307,263.12050517771223,217500,-0.7817410138373089,-5.777427645579779,15.67749495946813,25.603116594393626,30.021715932808753,0,0,0,0,0,5,5,1,1
0,2000,8,27,21,36763.875,70.31061447575398,0.32740089084438817,360,272,1001.4881392189643,1005.4881392189643,4.0,12.162468363824239,4.268561279702117,241.0218957450584,182500,-0.05700323397555621,-0.4194542293818984,8.041572752673153,25.302954126062144,26.550073066606437,0,0,0,0,0,5,5,1,1
0,2000,8,28,0,36764.0,70.9763973249851,2.3718421897892186,363,275,1001.353449911909,1007.353449911909,6.0,12.497785519893485,4.508932243549134,349.7861668246681,384375,-0.13468930705537788,-0.9870640054528802,24.698974384110954,24.67722502715293,34.914248820040676,0,0,0,0,0,5,5,1,1
0,2000,8,28,3,36764.125,71.40548756257478,3.814074834290354,365,277,1000.9906963490688,1006.9906963490688,6.0,12.848701671175826,4.616795624621809,334.96900584947593,352500,-0.36275356284022564,-2.6516492705622454,17.04513342048837,15.90421916422672,23.3126738180331,0,0,0,0,0,6,6,1,1
0,2000,8,28,6,36764.25,71.8218576759846,5.322750707768238,367,279,1001.1825593915848,1007.1825593915848,6.0,12.754146480658342,4.930795296321448,320.7084064584796,323125,0.1918630425160518,1.3990933107306052,17.444745598931227,15.432748072530659,23.291390299456776,0,0,0,0,0,5,5,1,1
0,2000,8,28,9,36764.375,72.44973079792013,6.988489729983473,369,282,1001.5839305131527,1009.5839305131527,8.0,12.77459338516572,5.359877574484417,477.48241431401436,716250,0.4013711215679359,2.9165374842309237,18.616807916607435,23.27210191190382,29.802286227769418,0,0,0,0,0,5,5,1,1
