Date/Time, Speed (cm/sec), Dir (true)
2023-08-12 00:03:00, 31.8, 136
2023-08-12 00:09:00, 35.8, 143
2023-08-12 00:15:00, 43.5, 150
2023-08-12 00:21:00, 52.9, 143
2023-08-12 00:27:00, 56.2, 147
2023-08-12 00:33:00, 55.5, 148
2023-08-12 00:39:00, 67.6, 147
2023-08-12 00:45:00, 74.2, 148
2023-08-12 00:51:00, 78.3, 145
2023-08-12 00:57:00, 79.3, 147
2023-08-12 01:03:00, 75.2, 144
2023-08-12 01:09:00, 77.0, 148
2023-08-12 01:15:00, 81.7, 151
2023-08-12 01:21:00, 82.1, 152
2023-08-12 01:27:00, 88.0, 148
2023-08-12 01:33:00, 88.7, 145
2023-08-12 01:39:00, 90.8, 145
2023-08-12 01:45:00, 84.9, 142
2023-08-12 01:51:00, 90.2, 141
2023-08-12 01:57:00, 90.5, 141
2023-08-12 02:03:00, 89.1, 145
2023-08-12 02:09:00, 92.4, 148
2023-08-12 02:15:00, 97.8, 148
2023-08-12 02:21:00, 100.4, 144
2023-08-12 02:27:00, 103.0, 142
2023-08-12 02:33:00, 107.0, 145
2023-08-12 02:39:00, 108.4, 145
2023-08-12 02:45:00, 111.1, 140
2023-08-12 02:51:00, 106.2, 143
2023-08-12 02:57:00, 109.0, 146
2023-08-12 03:03:00, 106.0, 146
2023-08-12 03:09:00, 109.1, 144
2023-08-12 03:15:00, 104.5, 143
2023-08-12 03:21:00, 111.1, 143
2023-08-12 03:27:00, 122.2, 142
2023-08-12 03:33:00, 124.6, 144
2023-08-12 03:39:00, 126.8, 148
2023-08-12 03:45:00, 122.9, 148
2023-08-12 03:51:00, 119.6, 147
2023-08-12 03:57:00, 114.3, 147
2023-08-12 04:03:00, 113.3, 142
2023-08-12 04:09:00, 109.5, 142
2023-08-12 04:15:00, 114.3, 144
2023-08-12 04:21:00, 108.3, 148
2023-08-12 04:27:00, 98.0, 145
2023-08-12 04:33:00, 104.1, 150
2023-08-12 04:39:00, 106.7, 144
2023-08-12 04:45:00, 112.0, 141
2023-08-12 04:51:00, 97.6, 143
2023-08-12 04:57:00, 86.1, 147
2023-08-12 05:03:00, 105.3, 145
2023-08-12 05:09:00, 83.3, 142
2023-08-12 05:15:00, 78.5, 151
2023-08-12 05:21:00, 85.3, 148
2023-08-12 05:27:00, 70.8, 141
2023-08-12 05:33:00, 74.5, 144
2023-08-12 05:39:00, 55.4, 143
2023-08-12 05:45:00, 60.8, 146
2023-08-12 05:51:00, 43.8, 151
2023-08-12 05:57:00, 50.0, 140
2023-08-12 06:03:00, 48.6, 152
2023-08-12 06:09:00, 38.6, 147
2023-08-12 06:15:00, 34.0, 147
2023-08-12 06:21:00, 26.7, 151
2023-08-12 06:27:00, 27.6, 143
2023-08-12 06:33:00, 24.8, 140
2023-08-12 06:39:00, 20.4, 149
2023-08-12 06:45:00, 4.8, 121
2023-08-12 06:51:00, 13.5, 127
2023-08-12 06:57:00, 8.8, 117
2023-08-12 07:03:00, 2.0, 118
