Date/Time, Speed (cm/sec), Dir (true)
2023-11-13 00:03:00, 52.0, 312
2023-11-13 00:09:00, 52.8, 312
2023-11-13 00:15:00, 53.5, 317
2023-11-13 00:21:00, 50.2, 320
2023-11-13 00:27:00, 47.7, 318
2023-11-13 00:33:00, 46.6, 317
2023-11-13 00:39:00, 45.0, 315
2023-11-13 00:45:00, 42.1, 315
2023-11-13 00:51:00, 38.6, 315
2023-11-13 00:57:00, 38.2, 310
2023-11-13 01:03:00, 32.4, 315
2023-11-13 01:09:00, 31.7, 318
2023-11-13 01:15:00, 31.0, 325
2023-11-13 01:21:00, 29.3, 333
2023-11-13 01:27:00, 21.6, 315
2023-11-13 01:33:00, 19.5, 319
2023-11-13 01:39:00, 14.9, 339
2023-11-13 01:45:00, 10.3, 26
2023-11-13 01:51:00, 7.0, 41
2023-11-13 01:57:00, 2.4, 82
2023-11-13 02:03:00, 1.9, 219
2023-11-13 02:15:00, 18.8, 163
2023-11-13 02:21:00, 33.5, 149
2023-11-13 02:27:00, 49.4, 145
2023-11-13 02:33:00, 56.9, 146
2023-11-13 02:39:00, 58.6, 146
2023-11-13 02:45:00, 57.5, 153
2023-11-13 02:51:00, 66.0, 153
2023-11-13 02:57:00, 72.4, 146
2023-11-13 03:03:00, 71.5, 145
2023-11-13 03:09:00, 78.1, 146
2023-11-13 03:15:00, 70.6, 144
2023-11-13 03:21:00, 75.2, 147
2023-11-13 03:27:00, 74.3, 138
2023-11-13 03:33:00, 71.7, 147
2023-11-13 03:39:00, 83.4, 141
2023-11-13 03:45:00, 70.1, 146
2023-11-13 03:51:00, 82.3, 147
2023-11-13 03:57:00, 85.9, 141
2023-11-13 04:03:00, 75.3, 140
2023-11-13 04:09:00, 85.7, 138
2023-11-13 04:15:00, 64.7, 148
2023-11-13 04:21:00, 78.6, 137
2023-11-13 04:27:00, 77.6, 145
2023-11-13 04:33:00, 87.7, 140
2023-11-13 04:39:00, 93.8, 143
2023-11-13 04:45:00, 93.9, 139
2023-11-13 04:51:00, 97.1, 142
2023-11-13 04:57:00, 97.3, 140
2023-11-13 05:03:00, 96.3, 136
2023-11-13 05:09:00, 93.0, 136
2023-11-13 05:15:00, 93.4, 134
2023-11-13 05:21:00, 98.1, 134
2023-11-13 05:27:00, 93.6, 134
2023-11-13 05:33:00, 93.6, 131
2023-11-13 05:39:00, 90.7, 130
2023-11-13 05:45:00, 95.8, 130
2023-11-13 05:51:00, 93.4, 129
2023-11-13 05:57:00, 92.7, 126
2023-11-13 06:03:00, 95.0, 124
2023-11-13 06:09:00, 101.2, 125
2023-11-13 06:15:00, 103.0, 128
2023-11-13 06:21:00, 100.0, 129
2023-11-13 06:27:00, 101.4, 126
2023-11-13 06:33:00, 100.9, 129
2023-11-13 06:39:00, 98.9, 131
2023-11-13 06:45:00, 95.0, 130
2023-11-13 06:51:00, 90.5, 132
2023-11-13 06:57:00, 85.4, 138
2023-11-13 07:03:00, 75.0, 141
2023-11-13 07:09:00, 70.2, 144
2023-11-13 07:15:00, 75.5, 142
2023-11-13 07:21:00, 77.4, 145
2023-11-13 07:27:00, 65.2, 143
2023-11-13 07:33:00, 67.2, 145
2023-11-13 07:39:00, 64.2, 146
2023-11-13 07:45:00, 57.3, 139
2023-11-13 07:51:00, 59.5, 141
2023-11-13 07:57:00, 48.5, 145
2023-11-13 08:03:00, 36.0, 139
2023-11-13 08:09:00, 33.6, 136
2023-11-13 08:15:00, 32.8, 132
2023-11-13 08:21:00, 29.3, 129
2023-11-13 08:27:00, 25.3, 130
2023-11-13 08:33:00, 19.3, 125
2023-11-13 08:39:00, 16.8, 125
2023-11-13 08:45:00, 9.0, 121
2023-11-13 08:51:00, 6.5, 125
2023-11-13 08:57:00, 3.6, 74
2023-11-13 09:03:00, 2.5, 37
2023-11-13 09:09:00, 4.6, 311
2023-11-13 09:15:00, 9.4, 309
2023-11-13 09:21:00, 22.1, 309
2023-11-13 09:27:00, 32.7, 324
2023-11-13 09:33:00, 43.7, 329
2023-11-13 09:39:00, 51.1, 310
2023-11-13 09:45:00, 67.6, 305
2023-11-13 09:51:00, 76.7, 312
2023-11-13 09:57:00, 80.7, 314
2023-11-13 10:03:00, 85.7, 316
2023-11-13 10:09:00, 88.6, 316
2023-11-13 10:15:00, 86.0, 315
2023-11-13 10:21:00, 86.7, 312
2023-11-13 10:27:00, 92.6, 313
2023-11-13 10:33:00, 88.5, 311
2023-11-13 10:39:00, 83.8, 316
2023-11-13 10:45:00, 83.2, 319
2023-11-13 10:51:00, 76.7, 315
2023-11-13 10:57:00, 74.9, 322
2023-11-13 11:03:00, 76.4, 324
2023-11-13 11:09:00, 73.3, 323
2023-11-13 11:15:00, 78.4, 320
2023-11-13 11:21:00, 79.8, 319
2023-11-13 11:27:00, 74.3, 316
2023-11-13 11:33:00, 70.2, 312
2023-11-13 11:39:00, 77.2, 314
