Estimate Status,Year,Common Name,PSE Harvest,Does Total Harvest (A+B1) Meet MRIP Standard,Is Total Harvest (A+B1) Significantly Different From 0,Total Harvest (A+B1),Total Harvest (A+B1) Lower 95% Confidence Limit,Total Harvest (A+B1) Upper 95% Confidence Limit,PSE Released,Does Released Alive (B2) Meet MRIP Standard,Is Released Alive (B2) Significantly Different From 0,Released (B2),Released Alive (B2) Lower 95% Confidence Limit,Released Alive (B2) Upper 95% Confidence Limit
FINAL,1981,ALL SPECIES,12.4,YES,YES,"37,502,539","28,387,922","46,617,156",10.5,YES,YES,"15,221,857","12,089,199","18,354,516"
FINAL,1982,ALL SPECIES,12.1,YES,YES,"27,157,522","20,716,844","33,598,200",11.9,YES,YES,"10,627,049","8,148,396","13,105,701"
FINAL,1983,ALL SPECIES,13.6,YES,YES,"35,883,386","26,318,311","45,448,461",10.7,YES,YES,"15,628,282","12,350,719","18,905,845"
FINAL,1984,ALL SPECIES,12.2,YES,YES,"39,844,483","30,316,870","49,372,096",8.3,YES,YES,"27,761,390","23,245,167","32,277,613"
FINAL,1985,ALL SPECIES,9.5,YES,YES,"40,960,383","33,333,560","48,587,206",9.5,YES,YES,"21,730,116","17,683,969","25,776,264"
FINAL,1986,ALL SPECIES,7.8,YES,YES,"37,512,610","31,777,682","43,247,538",6.5,YES,YES,"23,470,746","20,480,573","26,460,919"
FINAL,1987,ALL SPECIES,10.2,YES,YES,"31,794,517","25,438,157","38,150,877",13.8,YES,YES,"26,364,178","19,233,195","33,495,161"
FINAL,1988,ALL SPECIES,7.9,YES,YES,"19,517,306","16,495,246","22,539,366",7.9,YES,YES,"13,237,712","11,187,984","15,287,439"
FINAL,1989,ALL SPECIES,8.6,YES,YES,"30,084,658","25,013,588","35,155,728",8.6,YES,YES,"15,608,188","12,977,272","18,239,104"
FINAL,1990,ALL SPECIES,9.8,YES,YES,"27,138,419","21,925,672","32,351,167",6.6,YES,YES,"15,154,456","13,194,075","17,114,836"
FINAL,1991,ALL SPECIES,7.1,YES,YES,"29,860,350","25,704,984","34,015,716",7.8,YES,YES,"19,743,774","16,725,346","22,762,202"
FINAL,1992,ALL SPECIES,9.4,YES,YES,"14,459,293","11,795,313","17,123,273",5.4,YES,YES,"12,302,419","11,000,331","13,604,507"
FINAL,1993,ALL SPECIES,8.6,YES,YES,"12,293,687","10,221,463","14,365,911",5.9,YES,YES,"17,174,014","15,188,011","19,160,017"
