YEAR,WAVE,SUB_REG,ST,SP_CODE,MODE_FX,AREA_X,ESTCLAIM,ESTCLVAR,ESTHARV,ESTHVAR,LANDING,LAND_VAR,ESTREL,ESTRLVAR,TOT_CAT,TOT_VAR,LBS_AB1,VAR_LBS,WGT_AB1,VAR_WAB1,MISS_FISH,ALT_FLAG,MODE,AREA,STATUS,DOWNLOAD
1981,2,5,36,8826020100,3,5,0,0,0,0,0,0,12626.237632,165980134.92,12626.237632,165980134.92,0,0,0,0,0,0,SHORE,INLAND,FINAL,09JAN2023:14:00:00
1981,2,5,36,8835020102,3,5,0,0,0,0,0,0,61890.279616,3629163597.8,61890.279616,3629163597.8,0,0,0,0,0,0,SHORE,INLAND,FINAL,09JAN2023:14:00:00
1981,2,5,36,8839010201,3,5,13597.486681,169234190.97,0,0,13597.486681,169234190.97,138888.61395,17656479445,152486.10063,21282926395,2783.5803483,7092157.1297,1262.6237632,1459213.1773,0,0,SHORE,INLAND,FINAL,09JAN2023:14:00:00
1981,2,5,36,8857042001,3,1,28014.30243,485774978.99,0,0,28014.30243,485774978.99,0,0,28014.30243,485774978.99,16469.421636,192590224.33,7470.4806479,39625488.834,0,0,SHORE,OCEAN (<= 3 MI),FINAL,09JAN2023:14:00:00
1981,2,5,36,8857042001,3,5,1423493.1422,334261074333,0,0,1423493.1422,334261074333,1176256.5648,325346427372,2599749.707,988552228353,850277.78253,126010923205,385683.47207,25926780281,0,0,SHORE,INLAND,FINAL,09JAN2023:14:00:00
1981,2,5,36,8710010201,6,2,551.40596948,276630.07024,689.25746185,432234.48475,1240.6634313,1400439.7306,1660.0098346,2451856.7847,2900.6732659,7552013.9532,6169.3202216,34628293.223,2798.3852951,7124780.3529,0,0,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL,09JAN2023:14:00:00
1981,2,5,36,8791030402,6,2,2090.94009,3840758.9006,718.00973551,507184.5837,2808.9498255,6732875.6647,0,0,2808.9498255,6732875.6647,19319.836391,327753002.89,8763.420299,67435265.739,0,0,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL,09JAN2023:14:00:00
1981,2,5,36,8839010101,6,2,827.10895422,665903.12463,0,0,827.10895422,665903.12463,137.85149237,18497.309017,964.96044659,906368.14185,2243.8297661,4900782.3762,1017.7945052,1008337.2508,0,0,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL,09JAN2023:14:00:00
1981,2,5,36,8850030302,6,1,1612.28969,829671.05065,4177.2960151,5569424.057,5789.5857051,10698299.643,73.285895001,1714.1963856,5862.8716001,10970856.868,10417.149858,34635192.573,4725.1881783,7126199.8961,0,0,PARTY/CHARTER BOAT,OCEAN (<= 3 MI),FINAL,09JAN2023:14:00:00
1981,2,5,36,8857042001,6,1,1089.8340961,1119523.3361,0,0,1089.8340961,1119523.3361,23.776170362,796.03189507,1113.6102665,1136540.8485,1221.5290501,1421718.753,554.08194233,292519.00385,0,0,PARTY/CHARTER BOAT,OCEAN (<= 3 MI),FINAL,09JAN2023:14:00:00
1981,2,5,36,8857042001,6,5,0,0,110483.01243,1970783167.9,110483.01243,1970783167.9,6539.043134,25438433.193,117022.05557,2093921935.1,103454.30425,1696315387,46926.564569,349017332.85,0,0,PARTY/CHARTER BOAT,INLAND,FINAL,09JAN2023:14:00:00
1981,2,5,36,8835020301,7,1,9757.9342263,106833189.61,0,0,9757.9342263,106833189.61,0,0,9757.9342263,106833189.61,19002.568586,405149250.15,8619.5085665,83359563.778,0,0,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),FINAL,09JAN2023:14:00:00
1981,2,5,36,8857042001,7,1,2670.0957312,8627824.0813,0,0,2670.0957312,8627824.0813,0,0,2670.0957312,8627824.0813,2022.8054246,4750673.7395,917.53852154,977452.35968,0,0,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),FINAL,09JAN2023:14:00:00
1981,2,5,36,8857042001,7,5,1093352.3453,231583117008,33241.206179,873149973.82,1126593.5515,236925557855,589666.75369,70586232722,1716260.3052,291967844745,994953.43844,188687807528,451307.9191,38822565561,0,0,PRIVATE/RENTAL BOAT,INLAND,FINAL,09JAN2023:14:00:00
1981,3,5,36,8826020100,3,5,0,0,0,0,0,0,590339.33222,52884246172,590339.33222,52884246172,0,0,0,0,0,0,SHORE,INLAND,FINAL,09JAN2023:14:00:00
1981,3,5,36,8839010101,3,5,0,0,196779.77741,5876027352.4,196779.77741,5876027352.4,0,0,196779.77741,5876027352.4,65073.104591,642578119.11,29516.966611,132210615.43,0,0,SHORE,INLAND,FINAL,09JAN2023:14:00:00
1981,3,5,36,8839010201,3,5,27352.36974,139797426.01,0,0,27352.36974,139797426.01,0,0,27352.36974,139797426.01,6030.1034329,6794519.9991,2735.236974,1397974.2601,0,0,SHORE,INLAND,FINAL,09JAN2023:14:00:00
1981,3,5,36,8857030301,3,5,262008.73243,10473730318,0,0,262008.73243,10473730318,0,0,262008.73243,10473730318,202168.55803,6235870421.6,91703.056351,1283031964,0,0,SHORE,INLAND,FINAL,09JAN2023:14:00:00
1981,3,5,36,8857042001,3,5,136761.8487,2443686975.6,590339.33222,45532247500,727101.18092,69072527583,923880.95833,111518695563,1650982.1393,356123307682,474860.07561,29460964661,215395.1173,6061601154.9,0,0,SHORE,INLAND,FINAL,09JAN2023:14:00:00
1981,3,5,36,8708020401,6,5,0,0,0,0,0,0,271.17473772,88094.459729,271.17473772,88094.459729,0,0,0,0,0,0,PARTY/CHARTER BOAT,INLAND,FINAL,09JAN2023:14:00:00
1981,3,5,36,8708020601,6,1,2440.4204541,5693567.5199,0,0,2440.4204541,5693567.5199,5462.9332709,28530340.446,7903.3537251,59714252.781,188305.28266,33898475721,85414.715895,6974620211.8,0,0,PARTY/CHARTER BOAT,OCEAN (<= 3 MI),FINAL,09JAN2023:14:00:00
1981,3,5,36,8708020801,6,1,850.82381922,716440.27756,0,0,850.82381922,716440.27756,0,0,850.82381922,716440.27756,158405.0769,24833555734,71852.071533,5109510562.6,0,0,PARTY/CHARTER BOAT,OCEAN (<= 3 MI),FINAL,09JAN2023:14:00:00
1981,3,5,36,8710010000,6,2,0,0,0,0,0,0,141.72587708,24592.374567,141.72587708,24592.374567,0,0,0,0,0,0,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL,09JAN2023:14:00:00
1981,3,5,36,8741120101,6,2,0,0,4982.2116671,29049997.771,4982.2116671,29049997.771,219.89904251,50359.83275,5202.1107096,31504852.511,10034.430443,117859629.37,4551.5877905,24249649.452,0,0,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL,09JAN2023:14:00:00
1981,3,5,36,8791030402,6,1,1001.1772849,621769.68315,0,0,1001.1772849,621769.68315,0,0,1001.1772849,621769.68315,4054.9899194,11218450.617,1839.3313614,2308199.1373,0,0,PARTY/CHARTER BOAT,OCEAN (<= 3 MI),FINAL,09JAN2023:14:00:00
1981,3,5,36,8791030402,6,2,10930.582145,97504886.118,0,0,10930.582145,97504886.118,0,0,10930.582145,97504886.118,44847.679184,1600468467.9,20342.773829,329296804.27,0,0,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL,09JAN2023:14:00:00
1981,3,5,36,8791030402,6,5,2789.2258737,9272320.2582,0,0,2789.2258737,9272320.2582,0,0,2789.2258737,9272320.2582,12255.552449,179013934.87,5559.0821233,36832163.742,0,0,PARTY/CHARTER BOAT,INLAND,FINAL,09JAN2023:14:00:00
1981,3,5,36,8791030901,6,2,141.72587708,24592.374567,0,0,141.72587708,24592.374567,0,0,141.72587708,24592.374567,437.42841606,234269.71136,198.41622791,48201.054151,0,0,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL,09JAN2023:14:00:00
1981,3,5,36,8826020100,6,5,0,0,0,0,0,0,542.34947544,352377.83892,542.34947544,352377.83892,0,0,0,0,0,0,PARTY/CHARTER BOAT,INLAND,FINAL,09JAN2023:14:00:00
1981,3,5,36,8835030200,6,2,26.512675415,865.05058949,0,0,26.512675415,865.05058949,0,0,26.512675415,865.05058949,122.74467286,18541.279557,55.676618371,3814.8730997,0,0,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL,09JAN2023:14:00:00
1981,3,5,36,8835250101,6,1,3828.7071865,14939558.97,81290.522565,2906635064.6,85119.229752,2913476959.2,0,0,85119.229752,2913476959.2,402305.96282,68240217082,182484.78764,14040442444,0,0,PARTY/CHARTER BOAT,OCEAN (<= 3 MI),FINAL,09JAN2023:14:00:00
