ST,FFDAYS12,ST_RES,SUB_REG,REG_RES,COASTAL,TOTDAY,TRIPC,PARTC,PCSSQR,TRIPNC,PARTNC,PNCSSQR,TRIPO,PARTO,POSSQR,PCVAR,PNCVAR,POVAR,TA1ASUM,TA2ASUM,TA3ASUM,TA1AVSUM,TA2AVSUM,TA3AVSUM,ESPARTC,ESPARTNC,ESPARTO,PCSTER,PNCSTER,POSTER,ALLVAR,STDC,STDNC,STDO,STDALL,YEAR,WAVE,FFDAYS2,status,date_download
36,,36,5,5,Y,7,674,160.54921858,95.10929782,8,3.8095238095,2.298185941,38,22.305007493,18.353636073,0.0844961335,0.0691609977,0.1421940338,769050.13696,3780.508714,8630.0792118,24597063510,8108166.1844,16199206.901,183190.50228,1800.2422448,5065.6310916,1466722871.1,1892048.5788,5799325.0413,1474414244.7,38297.818099,1375.5175676,2408.178781,38398.102098,2011,5,7,FINAL,09JAN2023:14:00:00
36,,36,5,5,Y,31,427,89.262672694,47.270897045,4,2.3111111111,2.052345679,19,13.042171717,12.203875179,0.0671617041,0.2390123457,0.1806297816,218123.64197,978.51625429,3779.6732242,7923453268,961628.39908,4127818.3199,45597.890538,565.36494692,2594.4814329,352494116.27,320770.63839,2041542.7572,354856429.66,18774.826664,566.36616988,1428.8256567,18837.633335,2011,6,31,FINAL,09JAN2023:14:00:00
36,101,36,5,5,Y,101,3318,454.6211399,235.42207474,51,11.607345059,6.9454256981,172,76.950877782,60.11250517,0.0521951834,0.0860730397,0.1502078505,3627377.321,77140.715497,102919.98921,109954257754,602030832.7,503138809.33,497010.97423,17556.841233,46045.25297,2269487788.4,40211854.503,109517708.9,2419217351.8,47639.141348,6341.2817713,10465.070898,49185.540068,2011,7,,FINAL,09JAN2023:14:00:00
36,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,1,,FINAL,09JAN2023:14:00:00
36,,34,5,5,O,1,179,97.876968096,74.713196619,5,3.6666666667,3.2777777778,7,6.25,6.0625,0.119068524,0.1472222222,0.0803571429,179684.95584,1709.1952869,10163.661947,5120421245.4,2978933.1211,35355689.73,98251.50106,1253.409877,9074.6981672,1549019374.5,1600308.4877,28965312.616,1579584995.6,39357.583443,1265.0329986,5381.9432007,39743.993202,2012,2,1,FINAL,09JAN2023:14:00:00
36,,,5,,,,,,,,,,,,,,,,,,,,,,63001.194877,261.08487233,7118.9174342,499374212.61,953557.82989,272822573.14,,,,,,1987,6,,FINAL,09JAN2023:14:00:00
36,4,36,5,5,Y,4,2087,278.8652947,141.89444211,28,8.9518859886,7.0418830324,139,39.70226122,29.546392857,0.0501593548,0.1548101351,0.1319298854,4171390.5678,60577.730141,305491.96016,79425250576,2650436019.9,12335270618,557381.91663,19367.31906,87256.989949,1834384194.2,276548542.07,1083221771.3,3194154507.6,42829.711582,16629.748707,32912.334638,56516.851536,1987,7,,FINAL,09JAN2023:14:00:00
36,,,5,,,,,,,,,,,,,,,,,,,,,,235718.80717,3391.9329289,2740.5368318,5004951621.6,149227033.26,44940443.332,,,,,,1988,2,,FINAL,09JAN2023:14:00:00
36,,,5,,,,,,,,,,,,,,,,,,,,,,374309.47744,3911.0427589,75169.975584,3181485813.9,55567067.462,1947550054.2,,,,,,1988,3,,FINAL,09JAN2023:14:00:00
36,,,5,,,,,,,,,,,,,,,,,,,,,,351075.71324,8119.6062556,47337.324088,1389521942.4,84221978.278,553000170.97,,,,,,1988,4,,FINAL,09JAN2023:14:00:00
36,,,5,,,,,,,,,,,,,,,,,,,,,,223344.29365,11128.470629,6772.4577132,1132526056.7,175956743.15,61303229.62,,,,,,1988,5,,FINAL,09JAN2023:14:00:00
36,,,5,,,,,,,,,,,,,,,,,,,,,,47138.419671,414.85721657,1118.1893801,529291027.06,3622118.863,9984335.0294,,,,,,1988,6,,FINAL,09JAN2023:14:00:00
36,16,36,5,5,Y,16,2188,323.69981127,152.06523277,41,10.472569529,6.4134870059,181,47.434993726,28.968580225,0.0476342175,0.0934623504,0.0918733699,3741644.6245,60254.209745,299051.66531,79096942938,2609247195.4,12145713236,553551.03234,15390.643926,78373.004793,2034276064.6,172565199.12,873416805.01,3080258068.8,45102.949622,13136.40739,29553.62592,55500.072692,1988,7,,FINAL,09JAN2023:14:00:00
36,,,5,,,,,,,,,,,,,,,,,,,,,,68968.646437,1032.896144,3279.7913777,686509581.19,38244873.997,89122729.971,,,,,,1989,2,,FINAL,09JAN2023:14:00:00
36,,,5,,,,,,,,,,,,,,,,,,,,,,294211.08447,5327.7921122,13989.827808,2931327991.7,167033336.64,315946798.9,,,,,,1989,3,,FINAL,09JAN2023:14:00:00
36,,,5,,,,,,,,,,,,,,,,,,,,,,428878.60949,6530.5872402,51796.620458,2144576312.5,86280041.752,839768612.65,,,,,,1989,4,,FINAL,09JAN2023:14:00:00
36,,,5,,,,,,,,,,,,,,,,,,,,,,229405.02345,3913.4168867,26880.96047,1543039497.6,77960433.004,533890232.77,,,,,,1989,5,,FINAL,09JAN2023:14:00:00
36,,36,5,5,Y,3,438,104.57244887,61.066900671,11,3.6212301587,2.3762972805,16,8.5192307692,6.9150641026,0.0826092465,0.1184178384,0.1585988864,101259.82269,311.90709412,3846.6035828,3921921914.2,66039.824003,8433199.0571,24175.770845,102.68067054,2048.131475,224749639.22,7493.4028117,2453928.9049,227211061.53,14991.652318,86.564443114,1566.5021241,15073.521869,2010,6,3,FINAL,09JAN2023:14:00:00
36,,,5,,,,,,,,,,,,,,,,,,,,,,180236.34064,291.52116406,14811.012795,1610976173.3,,133688650.87,,,,,,1981,2,,FINAL,09JAN2023:14:00:00
36,,,5,,,,,,,,,,,,,,,,,,,,,,365695.6807,6347.8220355,31946.865534,4892357927.2,139353661.65,922072423.7,,,,,,1981,3,,FINAL,09JAN2023:14:00:00
36,,,5,,,,,,,,,,,,,,,,,,,,,,540159.43815,14983.655308,63182.738232,6213125552.9,277634417.24,2108154609.9,,,,,,1981,4,,FINAL,09JAN2023:14:00:00
36,,,5,,,,,,,,,,,,,,,,,,,,,,250586.99857,3394.6599193,29731.491595,2158521062,69687976.204,756422529.9,,,,,,1981,5,,FINAL,09JAN2023:14:00:00
36,,,5,,,,,,,,,,,,,,,,,,,,,,30131.087719,118.2229054,190.00109796,172376459.86,,,,,,,,1981,6,,FINAL,09JAN2023:14:00:00
36,8,36,5,5,Y,8,2407,464.30679314,242.06749402,70,17.441954182,11.133469117,226,72.508933666,46.813958505,0.0633846177,0.0983687521,0.1046688134,3723864.3176,67263.884917,286836.18197,108714919803,3627680822.8,16445707531,718328.00141,16760.194269,92027.370317,4407573121.2,226488635.41,1723338883,6357400639.5,66389.555814,15049.539375,41513.116999,79733.309473,1981,7,,FINAL,09JAN2023:14:00:00
36,,,5,,,,,,,,,,,,,,,,,,,,,,141594.27817,335.67439187,6767.9331236,1503506599,856208.83016,184279605.16,,,,,,1982,2,,FINAL,09JAN2023:14:00:00
36,,,5,,,,,,,,,,,,,,,,,,,,,,342646.19336,8397.9141364,43099.787447,3213456726,215040295.91,1235189853.7,,,,,,1982,3,,FINAL,09JAN2023:14:00:00
36,,,5,,,,,,,,,,,,,,,,,,,,,,442630.98713,15094.404568,97700.708989,6764485378.2,500795813.59,5237196487.7,,,,,,1982,4,,FINAL,09JAN2023:14:00:00
36,,,5,,,,,,,,,,,,,,,,,,,,,,131350.19012,1851.0326394,2541.1561862,655352216.69,26313887.895,20099079.767,,,,,,1982,5,,FINAL,09JAN2023:14:00:00
36,,,5,,,,,,,,,,,,,,,,,,,,,,29867.775626,88.33234546,1278.2089988,72038125.231,,8137783.242,,,,,,1982,6,,FINAL,09JAN2023:14:00:00
36,51,36,5,5,Y,51,2189,293.16685225,123.00138954,46,8.2404879572,2.6434917547,212,57.912075707,34.782949862,0.0382716387,0.0259396034,0.0898725042,3857936.0325,68412.344863,341759.9897,144283940564,5625031897.6,32486561065,516682.94328,12255.458782,93358.633949,2845649693,179983017.68,2459952929.4,5485585640.1,53344.631342,13415.774956,49597.912551,74064.73952,1982,7,,FINAL,09JAN2023:14:00:00
36,,,5,,,,,,,,,,,,,,,,,,,,,,106439.99806,1187.0039041,4026.2614012,620414307.71,9633650.8497,51844904.603,,,,,,1983,2,,FINAL,09JAN2023:14:00:00
36,,,5,,,,,,,,,,,,,,,,,,,,,,384378.96359,1258.8343225,40516.77953,5145966920.5,,1718367526.2,,,,,,1983,3,,FINAL,09JAN2023:14:00:00
36,,,5,,,,,,,,,,,,,,,,,,,,,,438470.11469,8258.624872,32532.729059,4096002799.3,174381957.07,839936562.59,,,,,,1983,4,,FINAL,09JAN2023:14:00:00
36,,,5,,,,,,,,,,,,,,,,,,,,,,182593.85568,3600.0250784,20737.259445,1554455684.2,51434310.945,784913979.91,,,,,,1983,5,,FINAL,09JAN2023:14:00:00
36,,,5,,,,,,,,,,,,,,,,,,,,,,31428.284417,527.10387318,1438.3584129,113656738.13,2084170.7949,14301526.794,,,,,,1983,6,,FINAL,09JAN2023:14:00:00
36,41,36,5,5,Y,41,2134,231.01673883,103.62181943,30,4.5272876935,1.7406486918,93,21.187968908,11.599351758,0.0368556216,0.0364633642,0.0736102954,4806853.3038,54455.610099,272395.12429,194795032746,3714342742.1,25103628606,520367.1857,8217.8737815,62059.133593,2678531681.6,83679060.541,1341874016.6,4104084758.8,51754.532957,9147.6259511,36631.598608,64063.131041,1983,7,,FINAL,09JAN2023:14:00:00
36,,,5,,,,,,,,,,,,,,,,,,,,,,132199.76284,1532.2139346,4878.7331238,937404797.68,18781066.43,70245986.502,,,,,,1984,2,,FINAL,09JAN2023:14:00:00
36,,,5,,,,,,,,,,,,,,,,,,,,,,495634.1805,6734.9275642,9007.6514094,18581485389,207367425.02,569615937.63,,,,,,1984,3,,FINAL,09JAN2023:14:00:00
36,,,5,,,,,,,,,,,,,,,,,,,,,,714254.11309,4327.3644937,66838.130703,15073166193,205048955.27,3847299078.5,,,,,,1984,4,,FINAL,09JAN2023:14:00:00
36,,,5,,,,,,,,,,,,,,,,,,,,,,202886.0835,5720.5327523,11287.767597,1712688510,177977036.02,502102155.71,,,,,,1984,5,,FINAL,09JAN2023:14:00:00
36,,,5,,,,,,,,,,,,,,,,,,,,,,12677.62884,312.00732705,1421.5042456,18685738.219,1070387.0316,8538594.241,,,,,,1984,6,,FINAL,09JAN2023:14:00:00
36,21,36,5,5,Y,21,1674,165.8475274,72.275325285,22,4.4738684194,2.1948897789,59,11.587532227,7.3898872975,0.0333797848,0.0611949708,0.0881742979,5066759.5624,41830.195238,228428.58464,334769399120,3702088744.9,32311132184,501977.02829,8506.4904297,44863.11163,3791117517.7,147666859.2,1276014478,5214798854.9,61572.051433,12151.825344,35721.344852,72213.564203,1984,7,,FINAL,09JAN2023:14:00:00
36,,,5,,,,,,,,,,,,,,,,,,,,,,160494.96949,2169.1019004,6860.8390261,1536086575,41752783.623,135443900.94,,,,,,1985,2,,FINAL,09JAN2023:14:00:00
36,,,5,,,,,,,,,,,,,,,,,,,,,,345718.44941,3659.6819627,13893.136264,5006736164.2,145620641.08,531374167.68,,,,,,1985,3,,FINAL,09JAN2023:14:00:00
36,,,5,,,,,,,,,,,,,,,,,,,,,,279223.37561,9977.2019745,31345.567027,4204453284.2,435185907.02,902341102.27,,,,,,1985,4,,FINAL,09JAN2023:14:00:00
36,,,5,,,,,,,,,,,,,,,,,,,,,,199376.06837,2147.7444854,10093.18824,1662344611.7,24521956.748,340595145.19,,,,,,1985,5,,FINAL,09JAN2023:14:00:00
36,5,36,5,5,Y,5,6269,1052.4320497,696.06495284,102,19.372563199,12.33760057,275,95.23005615,72.078721231,0.0828627869,0.08572501,0.142705836,4130856.7899,61203.837969,187862.1309,106004986257,2682667974,9920331106,693483.18365,11624.266854,65054.986452,3211716761.1,97663595.154,1202787875.5,4512168231.8,56672.010385,9882.4893197,34681.232324,67172.67474,1994,7,,FINAL,09JAN2023:14:00:00
36,,36,5,5,Y,15,348,185.75879188,150.22397423,9,6.0670995671,5.3897837372,6,6,6,0.147169617,0.1624771733,0,271266.66921,5145.0922079,4879.0325897,4842072477.3,6490588.7956,4379714.0453,144799.33549,3468.4207452,4879.0325897,1408730072.4,3310312.081,4379714.0453,1416420098.5,37533.053065,1819.4263055,2092.7766353,37635.357026,1995,2,15,FINAL,09JAN2023:14:00:00
36,,36,5,5,Y,16,707,268.10423176,194.87085216,4,0.6147186147,0.1420513109,30,18.931390831,16.733687228,0.1320141631,0.0158605224,0.1650724805,1280508.5824,7041.5351385,54427.92249,25904664236,12762195.12,145355591.92,485586.66161,1082.1406815,34346.542427,4026508678.7,447410.48647,73383975.934,4100340065.1,63454.776642,668.88749911,8566.4447663,64033.897782,1995,3,16,FINAL,09JAN2023:14:00:00
36,,36,5,5,Y,41,821,220.48775071,139.92564211,12,7.6510281385,7.1169382865,33,12.465706794,9.2988244867,0.0984286028,0.2035229383,0.1434350021,1407781.8341,22531.179262,56718.120782,27564925752,50254747.422,146615696.87,378073.87345,14365.557211,21425.195866,2222402204.9,28186937.612,34266425.01,2284855567.5,47142.361045,5309.1371815,5853.7530704,47800.16284,1995,4,41,FINAL,09JAN2023:14:00:00
36,,36,5,5,Y,20,675,130.24534537,73.143972947,7,0.8820451338,0.1690264972,25,5.7603285603,3.6069097151,0.0712349308,0.0096471872,0.0949855963,736124.19801,5606.7604277,25726.677778,14477374020,5734024.0219,45377985.673,142039.63023,706.48796453,5927.7646706,594680604.79,126464.03698,4751410.9453,599558479.77,24386.073993,355.61782433,2179.7731408,24485.883275,1995,5,20,FINAL,09JAN2023:14:00:00
36,,36,5,5,Y,21,394,76.630490112,48.102608007,2,0.1231671554,0.0093050455,17,5.3834373282,4.3340187483,0.0844744678,0.0017199714,0.1643269164,218098.96115,554.99304102,7521.0333944,16753833676,57517.241823,17281473.902,42418.858593,34.178457071,2381.7065837,640366644.84,433.56272322,2112749.7966,642479828.19,25305.466699,20.822169033,1453.5301155,25347.185804,1995,6,21,FINAL,09JAN2023:14:00:00
36,51,36,5,5,Y,51,2941,343.54586978,174.89994372,34,6.9727560036,4.7327370778,112,23.638562982,15.859945367,0.045839951,0.1000835422,0.097935346,3913780.245,40879.560077,149272.78703,89542870160,75299072.601,359010462.41,457178.86379,8383.6234692,31505.305159,1459182566.1,7864512.8723,35162663.301,1502209742.2,38199.248239,2804.3738824,5929.8114052,38758.350613,1995,7,,FINAL,09JAN2023:14:00:00
36,,25,5,4,O,2,268,164.98934861,139.35156703,11,7.1833333333,6.2936111111,3,2,1.5,0.1414938623,0.1602676768,0.0833333333,411105.32237,2178.9342064,6718.8096886,15571814041,2452477.6871,12675927.593,253089.54981,1422.9100651,4479.2064591,5982766815.1,1079297.3141,6535592.1537,5990381704.5,77348.347203,1038.8923496,2556.4804231,77397.556192,1996,2,2,FINAL,09JAN2023:14:00:00
36,,36,5,5,Y,7,1272,513.42911573,401.23570137,27,14.257916616,11.87407988,35,26.439393939,24.691460055,0.1526322284,0.1671110691,0.1387895379,828350.69337,18852.807596,13705.484406,19045903069,28582961.693,13431285.206,334354.84592,9955.6206923,10353.277181,3183097055.9,9993558.9585,8356115.5898,3201446730.4,56418.94235,3161.259078,2890.6946552,56581.328461,1996,3,7,FINAL,09JAN2023:14:00:00
36,,36,5,5,Y,50,1323,370.59139909,230.12931435,23,12.096299023,10.54076239,61,29.039532779,22.682428364,0.0955531872,0.1899547133,0.1476321492,1661511.1857,19663.264188,70393.8493,25028361464,25338312.357,143316114.39,465413.26903,10341.422755,33511.549085,2161404846.5,9992519.1067,44125838.999,2215523204.6,46490.91144,3161.0946058,6642.7282798,47069.344638,1996,4,50,FINAL,09JAN2023:14:00:00
36,,36,5,5,Y,20,729,160.49484823,91.590621164,14,5.5078144078,3.7629214951,38,18.121121312,15.177685362,0.0772753707,0.1227740735,0.1766550542,739420.54206,10069.912889,26033.838449,11760076601,14462102.76,40169097.072,162789.00916,3961.6579498,12414.798546,626712358.79,3000816.9178,12098762.235,641811937.94,25034.22375,1732.2866154,3478.3275055,25334.007538,1996,5,20,FINAL,09JAN2023:14:00:00
36,,36,5,5,Y,9,248,54.250883537,32.094326426,3,0.1739692002,0.0129776522,3,2.0196078431,2.0003844675,0.0818896857,0.0014446123,0.3203895937,238147.41677,1199.8412242,3477.390984,5958553845.7,1089909.9211,5898059.203,52095.595854,69.57847271,2340.9887016,301894928.49,3833.5570866,3334528.6948,305233290.74,17375.123841,61.915725681,1826.0691922,17470.927014,1996,6,9,FINAL,09JAN2023:14:00:00
36,,,5,,,,,,,,,,,,,,,,,,,,,,238201.71836,6968.6692123,14997.817485,1768055359.4,182868742.98,356254061.08,,,,,,1991,5,,FINAL,09JAN2023:14:00:00
36,,,5,,,,,,,,,,,,,,,,,,,,,,72772.377833,5388.1021303,5594.6804881,800373521.67,378195565.61,238245293.04,,,,,,1991,6,,FINAL,09JAN2023:14:00:00
36,11,36,5,5,Y,11,8989,1396.7597022,760.91106468,113,37.567676849,23.403693655,434,139.62390465,95.989729302,0.0605112313,0.0974468267,0.1179463169,4198691.1851,55758.241935,195416.10813,129133486245,3970259689.7,11947696709,652415.46885,18537.235528,62868.110711,3235684670.9,438081605.14,1243716962.4,4917483238.5,56883.078951,20930.399068,35266.371551,70124.76908,1991,7,,FINAL,09JAN2023:14:00:00
