"","X","lon","lat","date","bot_depth","depth","depth_flag","temp","temp_flag","profile_num","EPU","NYB","STRATA","seafloor_depth","surf_temp","surf_temp_1m","bot_T","bot_T_10m","year","month"
"1",1,-71.1666641235352,40.3300018310547,20191024,91,0.992305994033813,0,19.2999992370605,0,1,"MAB","NYB",1060,-89,19.2999992370605,19.2999992370605,14.8900003433228,14.8900003433228,2019,10
"2",1645,-71.2683334350586,40.5499992370605,19760511,NA,9.92264366149902,0,10.5769996643066,0,5,"MAB","NYB",1060,-68,10.5769996643066,NA,6.12200021743774,6.12200021743774,1976,5
"3",1678,-71.2249984741211,40.375,19760511,NA,23.8139171600342,0,9.83500003814697,0,6,"MAB","NYB",1060,-85,9.83500003814697,NA,10.3170003890991,10.3170003890991,1976,5
"4",1712,-71.1483306884766,40.2200012207031,19760512,NA,5.95382261276245,0,9.27400016784668,0,7,"MAB","NYB",1070,-116,9.27400016784668,NA,12.8009996414185,NA,1976,5
"5",1754,-71.1050033569336,40.0766677856445,19760512,NA,5.95389986038208,0,10.6870002746582,0,8,"MAB","NYB",1080,-184,10.6870002746582,NA,12.6719999313354,NA,1976,5
"6",1836,-71.0566635131836,39.9333343505859,19760512,NA,7.93859910964966,0,10.9320001602173,0,9,"Not in NES","NYB",NA,-509,10.9320001602173,NA,7.00099992752075,NA,1976,5
"7",2031,-71.0566635131836,39.9333343505859,19760512,NA,5.95397758483887,0,10.58899974823,0,10,"Not in NES","NYB",NA,-509,10.58899974823,NA,13.8070001602173,NA,1976,5
"8",2067,-71.0566635131836,39.9333343505859,19760512,NA,53.5795707702637,0,13.0170001983643,0,11,"Not in NES","NYB",NA,-509,13.0170001983643,NA,11.3299999237061,NA,1976,5
"9",2143,-71.0566635131836,39.9333343505859,19760512,NA,1.98467874526978,0,10.789999961853,0,12,"Not in NES","NYB",NA,-509,10.789999961853,NA,13.28600025177,NA,1976,5
"10",2191,-71,39.7649993896484,19760513,NA,7.93872022628784,0,11.0950002670288,0,13,"Not in NES","NYB",NA,-1704,11.0950002670288,NA,11.0989999771118,NA,1976,5
"11",2388,-71.2216644287109,40.3733329772949,19760813,NA,3.96917939186096,0,17.7329998016357,0,18,"MAB","NYB",1060,-85,17.7329998016357,NA,10.5050001144409,NA,1976,8
"12",2423,-71.1350021362305,40.2200012207031,19760813,NA,3.96923446655273,0,19.7129993438721,0,19,"MAB","NYB",1070,-118,19.7129993438721,NA,12.4289999008179,NA,1976,8
"13",2468,-71.0883331298828,40.0699996948242,19760813,NA,3.96928906440735,0,20.2250003814697,0,20,"MAB","NYB",1080,-202,20.2250003814697,NA,11.2829999923706,NA,1976,8
"14",2554,-71.0583343505859,39.9366683959961,19760813,NA,3.96933698654175,0,20.6280002593994,0,21,"Not in NES","NYB",NA,-506,20.6280002593994,NA,12.3900003433228,NA,1976,8
"15",17084,-72.4266662597656,39.6241683959961,19770924,370,1.98473453521729,0,19.1070003509521,0,42,"MAB","NYB",1040,-285,19.1070003509521,NA,11.3760004043579,NA,1977,9
"16",17444,-72.3083343505859,39.6500015258789,19770924,120,2.9770872592926,0,20.0550003051758,0,43,"MAB","NYB",1030,-114,20.0550003051758,NA,11.6660003662109,NA,1977,9
"17",17550,-72.2200012207031,39.7000007629395,19770925,130,1.98472082614899,0,20.5249996185303,0,44,"MAB","NYB",1030,-122,20.5249996185303,NA,12.0100002288818,NA,1977,9
"18",17666,-72.1416702270508,39.7633323669434,19770925,115,1.98470950126648,0,20.0779991149902,0,45,"MAB","NYB",1020,-104,20.0779991149902,NA,11.3690004348755,NA,1977,9
"19",17770,-72.071662902832,39.8199996948242,19770925,105,6.94636201858521,0,20.1889991760254,0,46,"MAB","NYB",1020,-104,20.1889991760254,NA,11.1389999389648,NA,1977,9
"20",17858,-71.8000030517578,39.783332824707,19770925,280,3.96939206123352,0,21.5160007476807,0,47,"Not in NES","NYB",NA,-294,21.5160007476807,NA,11.0220003128052,NA,1977,9
"21",18113,-71.9583358764648,39.8083343505859,19770925,145,1.98470115661621,0,21.0799999237061,0,48,"MAB","NYB",1030,-138,21.0799999237061,NA,11.923999786377,NA,1977,9
"22",18247,-72.0416641235352,39.7516670227051,19770925,135,1.9847115278244,0,21.2070007324219,0,49,"MAB","NYB",1030,-134,21.2070007324219,NA,12.0010004043579,NA,1977,9
"23",18371,-72.125,39.6966667175293,19770925,130,1.98472142219543,0,21.2830009460449,0,50,"MAB","NYB",1030,-127,21.2830009460449,NA,11.7589998245239,11.7589998245239,1977,9
"24",18491,-72.1916656494141,39.6383323669434,19770925,130,1.98473191261292,0,20.9370002746582,0,51,"MAB","NYB",1030,-127,20.9370002746582,NA,12.1409997940063,NA,1977,9
"25",18608,-72.25,39.5499992370605,19770925,130,2.97711420059204,0,20.6089992523193,0,52,"MAB","NYB",1030,-135,20.6089992523193,NA,12.003999710083,NA,1977,9
"26",18725,-72.321662902832,39.5133323669434,19770925,710,1.98475420475006,0,20.0849990844727,0,53,"MAB","NYB",1040,-444,20.0849990844727,NA,5.69399976730347,NA,1977,9
"27",19423,-72.4166641235352,39.4383316040039,19770925,130,1.98476779460907,0,19.6959991455078,0,54,"MAB","NYB",1030,-128,19.6959991455078,NA,12.2469997406006,12.2469997406006,1977,9
"28",19549,-72.4749984741211,39.3916664123535,19770925,130,1.98477625846863,0,19.3309993743896,0,55,"MAB","NYB",1030,-132,19.3309993743896,NA,12.0559997558594,12.0559997558594,1977,9
"29",19675,-72.5416641235352,39.3166656494141,19770925,140,1.98478984832764,0,19.1690006256104,0,56,"MAB","NYB",1030,-137,19.1690006256104,NA,12.0200004577637,12.0200004577637,1977,9
"30",19807,-72.6083297729492,39.25,19770925,140,1.98480176925659,0,19.3619995117188,0,57,"MAB","NYB",1030,-139,19.3619995117188,NA,11.9739999771118,11.9739999771118,1977,9
"31",19942,-72.6999969482422,39.3166656494141,19770925,115,1.98478984832764,0,19.6480007171631,0,58,"MAB","NYB",1030,-109,19.6480007171631,NA,11.2559995651245,11.2559995651245,1977,9
"32",20048,-72.625,39.3683319091797,19770925,115,1.98478055000305,0,19.496000289917,0,59,"MAB","NYB",1030,-118,19.496000289917,NA,11.4219999313354,11.4219999313354,1977,9
"33",20160,-72.5666656494141,39.4466667175293,19770926,120,2.97714233398438,0,19.4150009155273,0,60,"MAB","NYB",1030,-108,19.4150009155273,NA,11.5019998550415,11.5019998550415,1977,9
"34",20270,-72.4916687011719,39.5050010681152,19770926,120,1.9847559928894,0,19.92799949646,0,61,"MAB","NYB",1030,-111,19.92799949646,NA,11.5670003890991,11.5670003890991,1977,9
"35",20381,-72.4166641235352,39.5666656494141,19770926,495,1.98474502563477,0,19.8980007171631,0,62,"MAB","NYB",NA,-472,19.8980007171631,NA,8.87899971008301,NA,1977,9
"36",20868,-72.5500030517578,39.1916656494141,19770926,210,8.93150329589844,0,19.2169990539551,0,63,"MAB","NYB",1040,-233,19.2169990539551,NA,11.6579999923706,11.6579999923706,1977,9
"37",21063,-72.4333343505859,39.2666664123535,19770926,170,1.98479866981506,0,18.9099998474121,0,64,"MAB","NYB",1030,-164,18.9099998474121,NA,11.7290000915527,11.7290000915527,1977,9
"38",21229,-72.3116683959961,39.408332824707,19770926,155,1.9847731590271,0,19.2269992828369,0,65,"Not in NES","NYB",1030,-156,19.2269992828369,NA,11.7159996032715,11.7159996032715,1977,9
"39",21381,-72.375,39.3333320617676,19770926,160,1.98478674888611,0,19.0610008239746,0,66,"MAB","NYB",1030,-157,19.0610008239746,NA,11.7209997177124,11.7209997177124,1977,9
"40",21532,-72.2399978637695,39.4583320617676,19770926,825,7.93894147872925,0,19.8600006103516,0,67,"Not in NES","NYB",NA,-850,19.8600006103516,NA,5.10500001907349,NA,1977,9
"41",22342,-72.1666641235352,39.5166664123535,19770926,215,1.98475384712219,0,20.9640007019043,0,68,"MAB","NYB",1040,-207,20.9640007019043,NA,10.9259996414185,10.9259996414185,1977,9
"42",22549,-72.4266662597656,39.5583343505859,19770926,500,1.98474633693695,0,20.7269992828369,0,69,"MAB","NYB",1040,-246,20.7269992828369,NA,9.44400024414062,NA,1977,9
"43",23038,-72.466667175293,39.6666679382324,19770926,160,3.96943378448486,0,19.7590007781982,0,70,"MAB","NYB",1030,-182,19.7590007781982,NA,11.6829996109009,11.6829996109009,1977,9
"44",23193,-72.1033325195312,39.5849990844727,19770927,160,1.98474156856537,0,20.8430004119873,0,71,"MAB","NYB",1030,-162,20.8430004119873,NA,11.2889995574951,11.2889995574951,1977,9
"45",23347,-72.0149993896484,39.6533317565918,19770927,195,1.98472940921783,0,21.0410003662109,0,72,"MAB","NYB",1040,-195,21.0410003662109,NA,11.3879995346069,NA,1977,9
"46",23525,-71.9416656494141,39.7000007629395,19770927,275,1.98472082614899,0,20.7299995422363,0,73,"MAB","NYB",1040,-276,20.7299995422363,NA,11.4320001602173,11.4320001602173,1977,9
"47",23794,-71.8616638183594,39.7633323669434,19770927,240,1.98470950126648,0,20.2530002593994,0,74,"MAB","NYB",1040,-226,20.2530002593994,NA,11.5600004196167,11.5600004196167,1977,9
"48",24026,-71.7766647338867,39.718334197998,19770927,485,1.98471760749817,0,20.4650001525879,0,75,"Not in NES","NYB",NA,-465,20.4650001525879,NA,7.80999994277954,7.80999994277954,1977,9
"49",24506,-71.8616638183594,39.6500015258789,19770927,535,1.9847297668457,0,20.625,0,76,"Not in NES","NYB",NA,-628,20.625,NA,6.1710000038147,6.1710000038147,1977,9
"50",25046,-71.928337097168,39.5833320617676,19770927,575,1.98474192619324,0,20.7819995880127,0,77,"Not in NES","NYB",NA,-503,20.7819995880127,NA,6.46299982070923,NA,1977,9
"51",25613,-72,39.5083351135254,19770927,750,1.98475527763367,0,20.7390003204346,0,78,"MAB","NYB",NA,-553,20.7390003204346,NA,5.28599977493286,5.28599977493286,1977,9
"52",26360,-72.2583312988281,39.4583320617676,19770927,510,1.98476433753967,0,20.6709995269775,0,79,"Not in NES","NYB",NA,-572,20.6709995269775,NA,6.76700019836426,6.76700019836426,1977,9
"53",26864,-72.1466674804688,39.3916664123535,19770927,1070,1.98477625846863,0,20.7639999389648,0,80,"Not in NES","NYB",NA,-1087,20.7639999389648,NA,4.78599977493286,NA,1977,9
"54",27925,-72.2583312988281,39.2883338928223,19770927,380,9.92378044128418,0,20.9610004425049,0,81,"Not in NES","NYB",NA,-416,20.9610004425049,NA,8.98700046539307,8.98700046539307,1977,9
"55",28290,-72.3249969482422,39.2666664123535,19770927,625,2.97719073295593,0,20.5270004272461,0,82,"Not in NES","NYB",1040,-323,20.5270004272461,NA,6.25600004196167,NA,1977,9
"56",28906,-72.4116668701172,39.1650009155273,19770927,680,1.98481678962708,0,20.0149993896484,0,83,"Not in NES","NYB",NA,-665,20.0149993896484,NA,6.1710000038147,NA,1977,9
"57",29580,-72.5166702270508,39.1166648864746,19770927,925,1.98482573032379,0,19.6499996185303,0,84,"Not in NES","NYB",NA,-959,19.6499996185303,NA,4.85799980163574,NA,1977,9
"58",30500,-72.4000015258789,39.033332824707,19770927,1380,1.98484063148499,0,21.4349994659424,0,85,"Not in NES","NYB",NA,-1421,21.4349994659424,NA,4.07200002670288,NA,1977,9
"59",31871,-72.2583312988281,39.0833320617676,19770927,1700,2.97724008560181,0,21.8059997558594,0,86,"Not in NES","NYB",NA,-1430,21.8059997558594,NA,4.09600019454956,NA,1977,9
"60",33287,-72.0999984741211,39.1349983215332,19770928,1615,1.98482227325439,0,20.761999130249,0,87,"Not in NES","NYB",NA,-1660,20.761999130249,NA,3.88599991798401,NA,1977,9
"61",34896,-72.0083312988281,39.1916656494141,19770928,1780,1.98481225967407,0,21.3209991455078,0,88,"Not in NES","NYB",NA,-1861,21.3209991455078,NA,3.87599992752075,NA,1977,9
"62",36669,-71.9499969482422,39.2333335876465,19770928,1660,1.98480463027954,0,21.4659996032715,0,89,"Not in NES","NYB",NA,-1925,21.4659996032715,NA,3.96000003814697,NA,1977,9
"63",40143,-71.7916641235352,39.3533325195312,19770928,1760,1.98478317260742,0,22.1229991912842,0,91,"Not in NES","NYB",NA,-1933,22.1229991912842,NA,3.78600001335144,NA,1977,9
"64",43973,-72.4833297729492,39.6716651916504,19770929,190,1.98472607135773,0,19.7630004882812,0,93,"MAB","NYB",1030,-148,19.7630004882812,NA,11.5740003585815,11.5740003585815,1977,9
"65",44154,-72.5,39.625,19770929,95,1.98473417758942,0,19.3740005493164,0,94,"MAB","NYB",1020,-90,19.3740005493164,NA,11.8459997177124,11.8459997177124,1977,9
"66",44240,-72.4416656494141,39.6416664123535,19770929,315,1.98473131656647,0,19.6450004577637,0,95,"MAB","NYB",1040,-325,19.6450004577637,NA,11.0270004272461,11.0270004272461,1977,9
"67",44548,-72.7733306884766,39.6916656494141,19770929,95,1.98472225666046,0,19.55299949646,0,96,"MAB","NYB",1020,-72,19.55299949646,NA,11.9119997024536,NA,1977,9
"68",44632,-72.3916702270508,39.6416664123535,19770929,125,5.95413541793823,0,19.6940002441406,0,97,"MAB","NYB",1030,-203,19.6940002441406,NA,11.8979997634888,11.8979997634888,1977,9
"69",44746,-72.408332824707,39.6049995422363,19770929,400,1.98473787307739,0,19.7709999084473,0,98,"MAB","NYB",1040,-284,19.7709999084473,NA,6.04099988937378,6.04099988937378,1977,9
"70",45140,-72.4000015258789,39.5750007629395,19770929,505,1.98474323749542,0,19.9009990692139,0,99,"MAB","NYB",1040,-326,19.9009990692139,NA,5.73299980163574,NA,1977,9
"71",45637,-72.4000015258789,39.533332824707,19770929,575,1.98475074768066,0,20.1909999847412,0,100,"MAB","NYB",1040,-546,20.1909999847412,NA,5.71600008010864,NA,1977,9
"72",46203,-72.2750015258789,39.4833335876465,19770929,915,1.98475980758667,0,19.8129997253418,0,101,"Not in NES","NYB",NA,-661,19.8129997253418,NA,4.76100015640259,NA,1977,9
"73",47111,-72.2133331298828,39.4633331298828,19770929,950,10.915958404541,0,20.0300006866455,0,102,"Not in NES","NYB",NA,-891,20.0300006866455,NA,4.68499994277954,NA,1977,9
"74",48039,-72.1516647338867,39.4133338928223,19770929,1360,2.9771511554718,0,21.1889991760254,0,103,"Not in NES","NYB",NA,-1363,21.1889991760254,NA,4.31400012969971,NA,1977,9
"75",49392,-72.4550018310547,39.6500015258789,19770929,270,1.9847297668457,0,19.8460006713867,0,104,"MAB","NYB",1040,-252,19.8460006713867,NA,11.3409996032715,NA,1977,9
"76",49653,-72.0366668701172,39.3300018310547,19770930,1925,1.98478746414185,0,22.3290004730225,0,105,"Not in NES","NYB",NA,-1629,22.3290004730225,NA,3.83999991416931,NA,1977,9
"77",51571,-72.716667175293,39.3166656494141,19770930,110,1.98478984832764,0,19.6959991455078,0,106,"MAB","NYB",1020,-103,19.6959991455078,NA,12.0659999847412,12.0659999847412,1977,9
"78",51673,-72.8000030517578,39.2000007629395,19770930,100,1.9848108291626,0,19.8659992218018,0,107,"MAB","NYB",1750,-92,19.8659992218018,NA,12.1909999847412,12.1909999847412,1977,9
"79",51764,-72.6666641235352,39.0999984741211,19770930,745,1.98482882976532,0,20.0139999389648,0,108,"Not in NES","NYB",NA,-620,20.0139999389648,NA,4.80299997329712,NA,1977,9
"80",52502,-72.716667175293,39.158332824707,19770930,130,1.98481798171997,0,20.568000793457,0,109,"MAB","NYB",1040,-142,20.568000793457,NA,11.9549999237061,11.9549999237061,1977,9
"81",52626,-72.5999984741211,39.0666656494141,19770930,960,1.98483455181122,0,20.0330009460449,0,110,"Not in NES","NYB",NA,-1062,20.0330009460449,NA,4.64099979400635,NA,1977,9
"82",53577,-72.5,38.966667175293,19770930,1635,2.97727155685425,0,20.6340007781982,0,111,"Not in NES","NYB",NA,-1926,20.6340007781982,NA,3.98099994659424,NA,1977,9
"83",71792,-71.3666687011719,39.716667175293,19771001,1495,1.98471772670746,0,22.3120002746582,0,119,"Not in NES","NYB",NA,-1468,22.3120002746582,NA,3.91700005531311,NA,1977,10
"84",73275,-71.3833312988281,39.7916679382324,19771001,960,1.98470425605774,0,22.4190006256104,0,120,"Not in NES","NYB",NA,-890,22.4190006256104,NA,4.53200006484985,NA,1977,10
"85",74230,-71.408332824707,39.8833351135254,19771001,505,1.98468780517578,0,22.257999420166,0,121,"MAB","NYB",NA,-517,22.257999420166,NA,6.26300001144409,NA,1977,10
"86",74726,-71.4416656494141,39.9583320617676,19771001,180,1.98467433452606,0,21.2910003662109,0,122,"MAB","NYB",1070,-208,21.2910003662109,NA,12.1820001602173,12.1820001602173,1977,10
"87",74899,-71.341667175293,40.0250015258789,19771001,200,1.98466229438782,0,20.2730007171631,0,123,"MAB","NYB",1080,-159,20.2730007171631,NA,12.1020002365112,12.1020002365112,1977,10
"88",75092,-71.3016662597656,39.9449996948242,19771001,435,1.98467659950256,0,22.3090000152588,0,124,"MAB","NYB",1080,-409,22.3090000152588,NA,6.57399988174438,6.57399988174438,1977,10
"89",75521,-71.2666702270508,39.8516654968262,19771001,815,1.98469340801239,0,22.3899993896484,0,125,"MAB","NYB",NA,-729,22.3899993896484,NA,4.68900012969971,NA,1977,10
"90",76328,-71.1500015258789,39.9183349609375,19771001,540,1.98468148708344,0,22.011999130249,0,126,"Not in NES","NYB",NA,-528,22.011999130249,NA,5.875,NA,1977,10
"91",134167,-72.0566635131836,39.2566680908203,19820423,1082,18.8548259735107,0,11.3640003204346,0,422,"Not in NES","NYB",NA,-1205,11.3640003204346,NA,4.10799980163574,4.10799980163574,1982,4
"92",134707,-72.2666702270508,39.3666648864746,19820423,238,6.94664812088013,0,9.92000007629395,0,423,"Not in NES","NYB",1040,-227,9.92000007629395,NA,11.0710000991821,NA,1982,4
"93",134813,-71.3933334350586,39.7666664123535,19820423,1125,2.97705578804016,0,10.7559995651245,0,424,"Not in NES","NYB",NA,-1148,10.7559995651245,NA,4.08500003814697,4.08500003814697,1982,4
"94",135380,-71.375,39.6133346557617,19820423,1975,6.94649267196655,0,10.3830003738403,0,425,"Not in NES","NYB",NA,-2020,10.3830003738403,NA,3.60599994659424,NA,1982,4
"95",141122,-71.4664993286133,39.7023315429688,19820424,NA,2.97707319259644,0,10.4790000915527,0,431,"Not in NES","NYB",NA,-1403,10.4790000915527,NA,5.11199998855591,NA,1982,4
"96",142759,-71.4329986572266,39.8955001831055,19820424,NA,8.93093395233154,0,6.86800003051758,0,433,"MAB","NYB",NA,-393,6.86800003051758,NA,9.12800025939941,NA,1982,4
"97",170172,-71.8850021362305,39.3461685180664,19820429,NA,14.8854122161865,0,13.0670003890991,0,457,"Not in NES","NYB",NA,-1450,13.0670003890991,NA,5.44799995422363,NA,1982,4
"98",173907,-71.2133331298828,39.7466659545898,19820503,1637,1.98471236228943,0,9.06999969482422,0,462,"Not in NES","NYB",NA,-1610,9.06999969482422,NA,4.25,NA,1982,5
"99",174257,-71.2666702270508,39.9133338928223,19820503,500,1.98468244075775,0,8.90999984741211,0,463,"MAB","NYB",NA,-478,8.90999984741211,NA,5.42999982833862,5.42999982833862,1982,5
"100",174505,-71.2933349609375,40.0699996948242,19820503,140,1.98465418815613,0,8.59000015258789,0,464,"MAB","NYB",1070,-137,8.59000015258789,NA,11.8900003433228,11.8900003433228,1982,5
"101",190948,-72.9533309936523,38.8183326721191,19820629,277,2.97731113433838,0,17.0459995269775,0,496,"Not in NES","NYB",NA,-302,17.0459995269775,NA,8.67000007629395,NA,1982,6
"102",191077,-71.2850036621094,39.9566650390625,19820630,355,1.98467445373535,0,17.3899993896484,0,497,"MAB","NYB",1080,-383,17.3899993896484,NA,7.51999998092651,NA,1982,6
"103",217591,-72.966667175293,38.6133346557617,19840530,1828,0,0,16.625,0,554,"Not in NES","NYB",NA,-1708,16.625,16.625,3.71199989318848,NA,1984,5
"104",219406,-73.004997253418,38.6349983215332,19840530,1310,0,0,16.6620006561279,0,555,"Not in NES","NYB",NA,-1457,16.6620006561279,16.6620006561279,4.06899976730347,NA,1984,5
"105",220698,-73.0633010864258,38.676700592041,19840531,412,0,0,15.0950002670288,0,556,"MAB","NYB",NA,-424,15.0950002670288,15.0950002670288,6.73999977111816,NA,1984,5
"106",221093,-73.1183319091797,38.7099990844727,19840531,139,0,0,15.5299997329712,0,557,"MAB","NYB",1750,-137,15.5299997329712,15.5299997329712,12.6969995498657,12.6969995498657,1984,5
"107",221224,-73.196662902832,38.7666664123535,19840531,84,0,0,14.7360000610352,0,558,"MAB","NYB",1740,-83,14.7360000610352,14.7360000610352,11.3280000686646,11.3280000686646,1984,5
"108",221300,-73.2783355712891,38.8216667175293,19840531,83,0,0,14.6899995803833,0,559,"MAB","NYB",1740,-76,14.6899995803833,14.6899995803833,7.39099979400635,7.39099979400635,1984,5
"109",238579,-72.966667175293,38.6049995422363,19840910,1750,0,0,22.431999206543,0,578,"Not in NES","NYB",NA,-1795,22.431999206543,22.431999206543,3.72300004959106,NA,1984,9
"110",240302,-73.0033340454102,38.625,19840910,1336,0,0,22.1599998474121,0,579,"Not in NES","NYB",NA,-1509,22.1599998474121,22.1599998474121,3.95799994468689,NA,1984,9
"111",241620,-73.0583343505859,38.6716651916504,19840910,483,0,0,22.1429996490479,0,580,"MAB","NYB",NA,-545,22.1429996490479,22.1429996490479,6.69500017166138,NA,1984,9
"112",242075,-73.1900024414062,38.7583351135254,19840910,87,0,0,21.3610000610352,0,581,"MAB","NYB",1740,-86,21.3610000610352,21.3610000610352,10.8669996261597,NA,1984,9
"113",242135,-73.1183319091797,38.7050018310547,19840910,140,0,0,22.1879997253418,0,582,"MAB","NYB",1750,-146,22.1879997253418,22.1879997253418,12.701000213623,NA,1984,9
"114",242248,-73.2733306884766,38.8166656494141,19840910,83,0,0,21.867000579834,0,583,"MAB","NYB",1740,-75,21.867000579834,21.867000579834,9.05700016021729,NA,1984,9
"115",244390,-73.2733306884766,38.8166656494141,19841201,80,0,0,14.423999786377,0,602,"MAB","NYB",1740,-75,14.423999786377,14.423999786377,16.181999206543,16.181999206543,1984,12
"116",244469,-73.1883316040039,38.7583351135254,19841201,83,0,0,15.6420001983643,0,603,"MAB","NYB",1740,-86,15.6420001983643,15.6420001983643,15.7819995880127,15.7819995880127,1984,12
"117",244551,-73.1166687011719,38.7050018310547,19841201,139,0,0,15.1949996948242,0,604,"MAB","NYB",1750,-146,15.1949996948242,15.1949996948242,14.0080003738403,14.0080003738403,1984,12
"118",244689,-73.0566635131836,38.6716651916504,19841201,506,0,0,15.3990001678467,0,605,"MAB","NYB",NA,-743,15.3990001678467,15.3990001678467,6.70800018310547,6.70800018310547,1984,12
"119",245188,-73,38.625,19841201,1350,0,0,15.0699996948242,0,606,"Not in NES","NYB",NA,-1509,15.0699996948242,15.0699996948242,4.09999990463257,4.09999990463257,1984,12
"120",246535,-72.9583358764648,38.6049995422363,19841201,1823,0,0,15.371000289917,0,607,"Not in NES","NYB",NA,-1795,15.371000289917,15.371000289917,3.80900001525879,NA,1984,12
"121",257152,-73.2033309936523,38.7550010681152,19850221,81,0,0,12.0220003128052,0,616,"MAB","NYB",1740,-89,12.0220003128052,12.0220003128052,10.4040002822876,10.4040002822876,1985,2
"122",257232,-73.1216659545898,38.7033348083496,19850221,140,0,0,11.7779998779297,0,617,"MAB","NYB",1750,-146,11.7779998779297,11.7779998779297,11.7790002822876,11.7790002822876,1985,2
"123",257364,-73.053337097168,38.656665802002,19850222,595,0,0,11.6850004196167,0,618,"Not in NES","NYB",NA,-871,11.6850004196167,11.6850004196167,5.86899995803833,5.86899995803833,1985,2
"124",257956,-73.0883026123047,38.676700592041,19850222,189,0,0,11.664999961853,0,619,"MAB","NYB",1760,-277,11.664999961853,11.664999961853,11.6569995880127,11.6569995880127,1985,2
"125",258143,-73.0199966430664,38.6333351135254,19850222,1232,0,0,11.6140003204346,0,620,"Not in NES","NYB",NA,-1333,11.6140003204346,11.6140003204346,4.14499998092651,NA,1985,2
"126",259358,-72.966667175293,38.6016654968262,19850222,1702,0,0,11.4940004348755,0,621,"Not in NES","NYB",NA,-1795,11.4940004348755,11.4940004348755,3.89100003242493,NA,1985,2
"127",298336,-72.9683303833008,38.6016654968262,19850515,1683,0,0,11.539999961853,0,650,"Not in NES","NYB",NA,-1795,11.539999961853,11.539999961853,3.82200002670288,NA,1985,5
"128",300009,-73.0216674804688,38.6349983215332,19850515,1295,0,0,11.6940002441406,0,651,"Not in NES","NYB",NA,-1333,11.6940002441406,11.6940002441406,4.02400016784668,NA,1985,5
"129",301281,-73.0550003051758,38.6549987792969,19850515,750,0,0,11.628999710083,0,652,"Not in NES","NYB",NA,-871,11.628999710083,11.628999710083,4.76800012588501,NA,1985,5
"130",302005,-73.0883331298828,38.6766662597656,19850515,186,0,0,12.2089996337891,0,653,"MAB","NYB",1760,-277,12.2089996337891,12.2089996337891,12.6669998168945,12.6669998168945,1985,5
"131",302192,-73.2050018310547,38.7550010681152,19850515,84,0,0,12.798999786377,0,654,"MAB","NYB",1740,-89,12.798999786377,12.798999786377,9.45100021362305,9.45100021362305,1985,5
"132",302276,-73.1233367919922,38.7033348083496,19850515,134,0,0,12.1709995269775,0,655,"MAB","NYB",1750,-146,12.1709995269775,12.1709995269775,12.6630001068115,12.6630001068115,1985,5
"133",308854,-72.9683303833008,38.6016654968262,19850909,1700,0,0,25.1110000610352,0,665,"Not in NES","NYB",NA,-1795,25.1110000610352,25.1110000610352,3.95300006866455,NA,1985,9
"134",309512,-73.0233306884766,38.6366653442383,19850909,1171,0,0,24.9699993133545,0,666,"Not in NES","NYB",NA,-1333,24.9699993133545,24.9699993133545,4.14900016784668,4.14900016784668,1985,9
"135",310068,-73.0550003051758,38.6616668701172,19850909,558,0,0,25.1560001373291,0,667,"Not in NES","NYB",NA,-743,25.1560001373291,25.1560001373291,5.22900009155273,NA,1985,9
"136",310500,-73.0899963378906,38.6816673278809,19850909,205,0,0,25.2549991607666,0,668,"MAB","NYB",1760,-277,25.2549991607666,25.2549991607666,9.7519998550415,9.7519998550415,1985,9
"137",310697,-73.125,38.7050018310547,19850909,138,0,0,25.1490001678467,0,669,"MAB","NYB",1750,-146,25.1490001678467,25.1490001678467,13.5249996185303,13.5249996185303,1985,9
"138",310827,-73.2066650390625,38.7583351135254,19850909,87,0,0,25.3090000152588,0,670,"MAB","NYB",1740,-83,25.3090000152588,25.3090000152588,9.98999977111816,9.98999977111816,1985,9
"139",311155,-73.2033309936523,38.7566680908203,19851209,86,4,0,16.7719993591309,0,675,"MAB","NYB",1740,-89,16.7719993591309,NA,15.7950000762939,15.7950000762939,1985,12
"140",311235,-73.125,38.7016677856445,19851209,142,4,0,16.8349990844727,0,676,"MAB","NYB",1750,-146,16.8349990844727,NA,13.8159999847412,13.8159999847412,1985,12
"141",311367,-73.0950012207031,38.6833343505859,19851210,201,4,0,16.9139995574951,0,677,"MAB","NYB",1760,-203,16.9139995574951,NA,13.4650001525879,13.4650001525879,1985,12
"142",311560,-73.0566635131836,38.656665802002,19851210,790,4,0,16.9060001373291,0,678,"Not in NES","NYB",NA,-871,16.9060001373291,NA,5.15500020980835,NA,1985,12
"143",312319,-73.0233306884766,38.6333351135254,19851210,1258,4,0,16.9729995727539,0,679,"Not in NES","NYB",NA,-1333,16.9729995727539,NA,4.03700017929077,NA,1985,12
"144",313559,-72.966667175293,38.6033325195312,19851210,1701,0,0,17.9080009460449,0,680,"Not in NES","NYB",NA,-1795,17.9080009460449,17.9080009460449,3.875,NA,1985,12
"145",331263,-73.7750015258789,40.2249984741211,19870509,68,59.5304145812988,0,7.21999979019165,0,690,"MAB","NYB",1010,-34,7.21999979019165,NA,6.26999998092651,6.26999998092651,1987,5
"146",331290,-73.7699966430664,40.3216667175293,19870510,51,10.9151077270508,0,9.48999977111816,0,693,"MAB","NYB",1010,-31,9.48999977111816,NA,6.36999988555908,NA,1987,5
