year_frac,Cruise,Transect,Area Under 1.7,% Area under 1.7,% area under 1.7 (ideal transect),Area Under 1.5 (km2),% Area under 1.5,% area under 1.5 (Ideal transect),Area under 1.1,% Area under 1.1,% Area under 1.1 (Ideal transect),Area under 0.9,% Area under 0.9,% area under 0.9 (ideal transect)
2019,1902,6,1.26,23.702,10.394,0,0,0,0,0,0,0,0,0
2019.25,1905,6,3.08,26.873,25.407,1.54,13.436,12.703,0,0,0,0,0,0
2019.5,1907,6,3.255,27.677,26.851,1.575,13.392,12.992,0,0,0,0,0,0
2020,2002,6,0.14,1.15,1.154,0,0,0,0,0,0,0,0,0
2020.75,2010,6,0.665,5.426,5.485,0.315,2.57,2.598,0,0,0,0,0,0
2021,2103,6,0,0,0,0,0,0,0,0,0,0,0,0
2021.25,2105,6,3.71,30.442,30.604,0.455,3.733,3.753,0,0,0,0,0,0
2022.5,2207,6,5.39,44.372,44.463,2.24,18.44,18.478,0,0,0,0,0,0
2023.25,2305,8,2.975,26.3,Nan,1.925,17.03,Nan,0,0,0,0,0,0
2023.75,2310,8,2.765,24.4,Nan,1.86,16.35,Nan,0,0,0,0,0,0
