"","Year","Variable","Intercept","Val","Loc","N","season"
"1",1975,"BSal_insitu",34.0641862211512,0.444887448877536,"NYB",63,"winter"
"2",1985,"BSal_insitu",34.0641862211512,-0.14414252532566,"NYB",6,"winter"
"3",1988,"BSal_insitu",34.0641862211512,-0.161390848737988,"NYB",11,"winter"
"4",1990,"BSal_insitu",34.0641862211512,0.511705318955456,"NYB",42,"winter"
"5",1991,"BSal_insitu",34.0641862211512,-0.0062768357601084,"NYB",70,"winter"
"6",1992,"BSal_insitu",34.0641862211512,-0.185395852975358,"NYB",101,"winter"
"7",1993,"BSal_insitu",34.0641862211512,-0.524297908517352,"NYB",121,"winter"
"8",1994,"BSal_insitu",34.0641862211512,-0.127018938225928,"NYB",85,"winter"
"9",1995,"BSal_insitu",34.0641862211512,0.404066424898702,"NYB",40,"winter"
"10",1996,"BSal_insitu",34.0641862211512,-0.240736171570836,"NYB",56,"winter"
"11",1997,"BSal_insitu",34.0641862211512,-0.492123069853948,"NYB",89,"winter"
"12",1998,"BSal_insitu",34.0641862211512,-0.939845084172173,"NYB",102,"winter"
"13",1999,"BSal_insitu",34.0641862211512,-0.305706615022178,"NYB",93,"winter"
"14",2000,"BSal_insitu",34.0641862211512,0.461644664995568,"NYB",85,"winter"
"15",2001,"BSal_insitu",34.0641862211512,-0.0842431050194836,"NYB",130,"winter"
"16",2002,"BSal_insitu",34.0641862211512,0.294556294091025,"NYB",110,"winter"
"17",2003,"BSal_insitu",34.0641862211512,0.0774939402259883,"NYB",79,"winter"
"18",2004,"BSal_insitu",34.0641862211512,0.0974429432935386,"NYB",94,"winter"
"19",2005,"BSal_insitu",34.0641862211512,-0.554759672036762,"NYB",109,"winter"
"20",2006,"BSal_insitu",34.0641862211512,0.115631261006743,"NYB",90,"winter"
"21",2007,"BSal_insitu",34.0641862211512,0.197222407675889,"NYB",141,"winter"
"22",2008,"BSal_insitu",34.0641862211512,-0.246378051853612,"NYB",73,"winter"
"23",2009,"BSal_insitu",34.0641862211512,-0.0016874465193043,"NYB",93,"winter"
"24",2010,"BSal_insitu",34.0641862211512,-0.18917460494359,"NYB",79,"winter"
"25",2011,"BSal_insitu",34.0641862211512,-0.21193970951009,"NYB",90,"winter"
"26",2012,"BSal_insitu",34.0641862211512,0.22975763342818,"NYB",98,"winter"
"27",2013,"BSal_insitu",34.0641862211512,0.397783282294558,"NYB",83,"winter"
"28",2014,"BSal_insitu",34.0641862211512,0.344333298336704,"NYB",15,"winter"
"29",2015,"BSal_insitu",34.0641862211512,0.449795667782873,"NYB",42,"winter"
"30",2017,"BSal_insitu",34.0641862211512,0.115992039891922,"NYB",42,"winter"
"31",2018,"BSal_insitu",34.0641862211512,-0.189253605167162,"NYB",22,"winter"
"32",2019,"BSal_insitu",34.0641862211512,-0.0899867309277214,"NYB",74,"winter"
"33",2020,"BSal_insitu",34.0641862211512,0.0120577489966927,"NYB",36,"winter"
"34",2021,"BSal_insitu",34.0641862211512,0.156730885599558,"NYB",56,"winter"
"35",2022,"BSal_insitu",34.0641862211512,0.383255515788321,"NYB",62,"winter"
"36",1975,"BSal_insitu",33.3891717139885,0.279956110571169,"NYB",85,"spring"
"37",1976,"BSal_insitu",33.3891717139885,0.373445376481449,"NYB",113,"spring"
"38",1977,"BSal_insitu",33.3891717139885,0.558851377445953,"NYB",124,"spring"
"39",1978,"BSal_insitu",33.3891717139885,-0.233572449977833,"NYB",115,"spring"
"40",1979,"BSal_insitu",33.3891717139885,-0.0659371119149154,"NYB",125,"spring"
"41",1982,"BSal_insitu",33.3891717139885,-0.158579106578441,"NYB",12,"spring"
"42",1984,"BSal_insitu",33.3891717139885,-0.33530842865227,"NYB",6,"spring"
"43",1985,"BSal_insitu",33.3891717139885,-0.203367986349345,"NYB",6,"spring"
"44",1987,"BSal_insitu",33.3891717139885,-0.180604433547205,"NYB",167,"spring"
"45",1988,"BSal_insitu",33.3891717139885,-0.0603267660962442,"NYB",18,"spring"
"46",1989,"BSal_insitu",33.3891717139885,-0.0863847479515926,"NYB",84,"spring"
"47",1991,"BSal_insitu",33.3891717139885,0.0185942772532618,"NYB",10,"spring"
"48",1992,"BSal_insitu",33.3891717139885,-0.319231647264653,"NYB",30,"spring"
"49",1993,"BSal_insitu",33.3891717139885,-0.0655110738875582,"NYB",11,"spring"
"50",1994,"BSal_insitu",33.3891717139885,0.0200225885972264,"NYB",34,"spring"
"51",1995,"BSal_insitu",33.3891717139885,-0.0220653662172041,"NYB",40,"spring"
"52",1996,"BSal_insitu",33.3891717139885,-0.370333328455881,"NYB",47,"spring"
"53",1997,"BSal_insitu",33.3891717139885,-0.447380065172,"NYB",13,"spring"
"54",1998,"BSal_insitu",33.3891717139885,-0.672285225923461,"NYB",31,"spring"
"55",1999,"BSal_insitu",33.3891717139885,-0.328451071557652,"NYB",5,"spring"
"56",2000,"BSal_insitu",33.3891717139885,0.52688829216668,"NYB",23,"spring"
"57",2001,"BSal_insitu",33.3891717139885,-0.148522626786341,"NYB",31,"spring"
"58",2002,"BSal_insitu",33.3891717139885,0.848634010994832,"NYB",20,"spring"
"59",2003,"BSal_insitu",33.3891717139885,0.0792083374004696,"NYB",3,"spring"
"60",2004,"BSal_insitu",33.3891717139885,-0.117170185272411,"NYB",19,"spring"
"61",2005,"BSal_insitu",33.3891717139885,-0.609738916671173,"NYB",21,"spring"
"62",2006,"BSal_insitu",33.3891717139885,0.234495469733495,"NYB",22,"spring"
"63",2007,"BSal_insitu",33.3891717139885,0.0577410440277623,"NYB",22,"spring"
"64",2008,"BSal_insitu",33.3891717139885,0.105041937639071,"NYB",82,"spring"
"65",2009,"BSal_insitu",33.3891717139885,-0.0130045563950367,"NYB",53,"spring"
"66",2010,"BSal_insitu",33.3891717139885,-0.175396105954902,"NYB",54,"spring"
"67",2011,"BSal_insitu",33.3891717139885,-0.249776331127914,"NYB",72,"spring"
"68",2012,"BSal_insitu",33.3891717139885,-0.070057573840876,"NYB",40,"spring"
"69",2013,"BSal_insitu",33.3891717139885,0.360822632760572,"NYB",47,"spring"
"70",2014,"BSal_insitu",33.3891717139885,0.196799754273298,"NYB",61,"spring"
"71",2015,"BSal_insitu",33.3891717139885,0.446504530110689,"NYB",38,"spring"
"72",2016,"BSal_insitu",33.3891717139885,0.24985922865761,"NYB",89,"spring"
"73",2017,"BSal_insitu",33.3891717139885,0.247841495500626,"NYB",63,"spring"
"74",2018,"BSal_insitu",33.3891717139885,0.0965658223128412,"NYB",44,"spring"
"75",2019,"BSal_insitu",33.3891717139885,-0.188802255277096,"NYB",41,"spring"
"76",2020,"BSal_insitu",33.3891717139885,-0.221637998493356,"NYB",24,"spring"
"77",2021,"BSal_insitu",33.3891717139885,0.360481660910147,"NYB",134,"spring"
"78",2022,"BSal_insitu",33.3891717139885,0.281691412528209,"NYB",30,"spring"
"79",1975,"BSal_insitu",33.1640558315753,-0.0433151148801161,"NYB",19,"summer"
"80",1976,"BSal_insitu",33.1640558315753,0.165407546199264,"NYB",95,"summer"
"81",1977,"BSal_insitu",33.1640558315753,0.240035674101503,"NYB",130,"summer"
"82",1978,"BSal_insitu",33.1640558315753,-0.437611506475111,"NYB",125,"summer"
"83",1979,"BSal_insitu",33.1640558315753,0.0778758069035277,"NYB",150,"summer"
"84",1982,"BSal_insitu",33.1640558315753,-0.149034912291671,"NYB",1,"summer"
"85",1984,"BSal_insitu",33.1640558315753,-0.452242107992805,"NYB",6,"summer"
"86",1985,"BSal_insitu",33.1640558315753,-0.299390865729616,"NYB",6,"summer"
"87",1987,"BSal_insitu",33.1640558315753,0.0163858027165368,"NYB",77,"summer"
"88",1989,"BSal_insitu",33.1640558315753,-0.413116850899707,"NYB",76,"summer"
"89",1991,"BSal_insitu",33.1640558315753,-0.0685743657318648,"NYB",88,"summer"
"90",1992,"BSal_insitu",33.1640558315753,-0.209101170815053,"NYB",81,"summer"
"91",1993,"BSal_insitu",33.1640558315753,-0.13683553269615,"NYB",94,"summer"
"92",1994,"BSal_insitu",33.1640558315753,0.192835081893614,"NYB",135,"summer"
"93",1995,"BSal_insitu",33.1640558315753,0.0552792293738611,"NYB",53,"summer"
"94",1996,"BSal_insitu",33.1640558315753,-0.556866670812695,"NYB",165,"summer"
"95",1997,"BSal_insitu",33.1640558315753,-0.139340780024301,"NYB",181,"summer"
"96",1998,"BSal_insitu",33.1640558315753,-0.834496427252217,"NYB",54,"summer"
"97",1999,"BSal_insitu",33.1640558315753,0.286708566415735,"NYB",77,"summer"
"98",2000,"BSal_insitu",33.1640558315753,0.13856218980521,"NYB",120,"summer"
"99",2001,"BSal_insitu",33.1640558315753,0.163393500715717,"NYB",77,"summer"
"100",2002,"BSal_insitu",33.1640558315753,0.10490872247365,"NYB",104,"summer"
"101",2003,"BSal_insitu",33.1640558315753,0.284135207972009,"NYB",93,"summer"
"102",2004,"BSal_insitu",33.1640558315753,-0.226259785850014,"NYB",154,"summer"
"103",2005,"BSal_insitu",33.1640558315753,-0.192394758544405,"NYB",100,"summer"
"104",2006,"BSal_insitu",33.1640558315753,0.089321338957329,"NYB",115,"summer"
"105",2007,"BSal_insitu",33.1640558315753,-0.0321639789189122,"NYB",103,"summer"
"106",2008,"BSal_insitu",33.1640558315753,0.0328734411498159,"NYB",109,"summer"
"107",2009,"BSal_insitu",33.1640558315753,0.238534538660463,"NYB",95,"summer"
"108",2010,"BSal_insitu",33.1640558315753,-0.00600627035664105,"NYB",30,"summer"
"109",2011,"BSal_insitu",33.1640558315753,-0.196065855823974,"NYB",81,"summer"
"110",2012,"BSal_insitu",33.1640558315753,0.180394403283025,"NYB",97,"summer"
"111",2013,"BSal_insitu",33.1640558315753,0.188766777144607,"NYB",94,"summer"
"112",2014,"BSal_insitu",33.1640558315753,0.534636327425506,"NYB",47,"summer"
"113",2015,"BSal_insitu",33.1640558315753,0.412092285054394,"NYB",58,"summer"
"114",2016,"BSal_insitu",33.1640558315753,0.0930091323067195,"NYB",65,"summer"
"115",2018,"BSal_insitu",33.1640558315753,-0.154671868966939,"NYB",119,"summer"
"116",2019,"BSal_insitu",33.1640558315753,0.0514740704027983,"NYB",103,"summer"
"117",2021,"BSal_insitu",33.1640558315753,0.535822430027159,"NYB",90,"summer"
"118",2022,"BSal_insitu",33.1640558315753,0.465036751079744,"NYB",70,"summer"
"119",1975,"BSal_insitu",33.4932459622789,-0.258771021640292,"NYB",69,"fall"
"120",1977,"BSal_insitu",33.4932459622789,0.0572141974474175,"NYB",54,"fall"
"121",1984,"BSal_insitu",33.4932459622789,0.0997091997055354,"NYB",9,"fall"
"122",1985,"BSal_insitu",33.4932459622789,0.121218552815358,"NYB",6,"fall"
"123",1987,"BSal_insitu",33.4932459622789,-0.463448321032824,"NYB",23,"fall"
"124",1988,"BSal_insitu",33.4932459622789,0.464466786356362,"NYB",13,"fall"
"125",1992,"BSal_insitu",33.4932459622789,-0.483364300465494,"NYB",3,"fall"
"126",1997,"BSal_insitu",33.4932459622789,-0.159897830570235,"NYB",16,"fall"
"127",1998,"BSal_insitu",33.4932459622789,-1.03231816383642,"NYB",66,"fall"
