"","Year","Variable","Intercept","Val","Loc","N","season"
"1",1941,"BT_insitu",4.8623337615225,-2.84254011274532,"NYB",6,"winter"
"2",1942,"BT_insitu",4.8623337615225,-0.060436171828969,"NYB",36,"winter"
"3",1943,"BT_insitu",4.8623337615225,-1.63023592332815,"NYB",22,"winter"
"4",1944,"BT_insitu",4.8623337615225,0.325847487671461,"NYB",3,"winter"
"5",1945,"BT_insitu",4.8623337615225,-1.7534933467027,"NYB",41,"winter"
"6",1946,"BT_insitu",4.8623337615225,0.789112425075643,"NYB",2,"winter"
"7",1948,"BT_insitu",4.8623337615225,-3.14767279410663,"NYB",71,"winter"
"8",1949,"BT_insitu",4.8623337615225,4.84670351440037,"NYB",4,"winter"
"9",1950,"BT_insitu",4.8623337615225,3.58087419535012,"NYB",89,"winter"
"10",1951,"BT_insitu",4.8623337615225,2.9561388510465,"NYB",7,"winter"
"11",1952,"BT_insitu",4.8623337615225,3.60850774057155,"NYB",13,"winter"
"12",1953,"BT_insitu",4.8623337615225,-0.555009265035158,"NYB",3,"winter"
"13",1954,"BT_insitu",4.8623337615225,1.28929512425839,"NYB",28,"winter"
"14",1955,"BT_insitu",4.8623337615225,-1.3125384953449,"NYB",69,"winter"
"15",1956,"BT_insitu",4.8623337615225,0.327328245450969,"NYB",11,"winter"
"16",1957,"BT_insitu",4.8623337615225,0.710749602408534,"NYB",62,"winter"
"17",1958,"BT_insitu",4.8623337615225,1.24735221093188,"NYB",11,"winter"
"18",1959,"BT_insitu",4.8623337615225,0.0989878714522976,"NYB",140,"winter"
"19",1960,"BT_insitu",4.8623337615225,0.636544787496118,"NYB",46,"winter"
"20",1961,"BT_insitu",4.8623337615225,-0.911964008426891,"NYB",104,"winter"
"21",1962,"BT_insitu",4.8623337615225,-1.56977909685845,"NYB",79,"winter"
"22",1963,"BT_insitu",4.8623337615225,0.500993078609728,"NYB",12,"winter"
"23",1964,"BT_insitu",4.8623337615225,-1.41611948818026,"NYB",92,"winter"
"24",1965,"BT_insitu",4.8623337615225,-2.70455431964362,"NYB",29,"winter"
"25",1966,"BT_insitu",4.8623337615225,-2.57240145281383,"NYB",137,"winter"
"26",1967,"BT_insitu",4.8623337615225,-0.0453452998356774,"NYB",22,"winter"
"27",1968,"BT_insitu",4.8623337615225,-1.52382691411638,"NYB",48,"winter"
"28",1969,"BT_insitu",4.8623337615225,-1.51914719899805,"NYB",49,"winter"
"29",1970,"BT_insitu",4.8623337615225,-1.79265544772427,"NYB",25,"winter"
"30",1971,"BT_insitu",4.8623337615225,-0.83558803849431,"NYB",181,"winter"
"31",1972,"BT_insitu",4.8623337615225,0.443425301288368,"NYB",183,"winter"
"32",1973,"BT_insitu",4.8623337615225,0.632858023148181,"NYB",66,"winter"
"33",1974,"BT_insitu",4.8623337615225,1.92673838627866,"NYB",37,"winter"
"34",1975,"BT_insitu",4.8623337615225,0.594236358189577,"NYB",160,"winter"
"35",1976,"BT_insitu",4.8623337615225,0.550679119297387,"NYB",96,"winter"
"36",1977,"BT_insitu",4.8623337615225,-2.22186081198771,"NYB",41,"winter"
"37",1978,"BT_insitu",4.8623337615225,-1.04966727236362,"NYB",255,"winter"
"38",1979,"BT_insitu",4.8623337615225,-0.343822288082715,"NYB",87,"winter"
"39",1980,"BT_insitu",4.8623337615225,0.185502741503295,"NYB",80,"winter"
"40",1981,"BT_insitu",4.8623337615225,-0.303384164674386,"NYB",55,"winter"
"41",1982,"BT_insitu",4.8623337615225,-0.695736573571726,"NYB",195,"winter"
"42",1983,"BT_insitu",4.8623337615225,0.119875509425019,"NYB",180,"winter"
"43",1984,"BT_insitu",4.8623337615225,-0.644926648825325,"NYB",156,"winter"
"44",1985,"BT_insitu",4.8623337615225,-0.56892809513765,"NYB",78,"winter"
"45",1986,"BT_insitu",4.8623337615225,0.459215084586627,"NYB",55,"winter"
"46",1987,"BT_insitu",4.8623337615225,0.246631421320695,"NYB",22,"winter"
"47",1988,"BT_insitu",4.8623337615225,-0.096616131916865,"NYB",64,"winter"
"48",1989,"BT_insitu",4.8623337615225,-0.51449702307089,"NYB",43,"winter"
"49",1990,"BT_insitu",4.8623337615225,-0.0928295893585891,"NYB",94,"winter"
"50",1991,"BT_insitu",4.8623337615225,0.394154827407911,"NYB",170,"winter"
"51",1992,"BT_insitu",4.8623337615225,-0.239826156506777,"NYB",139,"winter"
"52",1993,"BT_insitu",4.8623337615225,-0.742190522045363,"NYB",154,"winter"
"53",1994,"BT_insitu",4.8623337615225,-0.516501239231471,"NYB",148,"winter"
"54",1995,"BT_insitu",4.8623337615225,1.61634212946384,"NYB",76,"winter"
"55",1996,"BT_insitu",4.8623337615225,-0.778475739653091,"NYB",77,"winter"
"56",1997,"BT_insitu",4.8623337615225,0.863547506597732,"NYB",120,"winter"
"57",1998,"BT_insitu",4.8623337615225,-0.470350128955848,"NYB",129,"winter"
"58",1999,"BT_insitu",4.8623337615225,1.42530290225197,"NYB",129,"winter"
"59",2000,"BT_insitu",4.8623337615225,0.335776355270569,"NYB",86,"winter"
"60",2001,"BT_insitu",4.8623337615225,0.629932338546531,"NYB",164,"winter"
"61",2002,"BT_insitu",4.8623337615225,1.43247685313554,"NYB",131,"winter"
"62",2003,"BT_insitu",4.8623337615225,-1.44625203021065,"NYB",105,"winter"
"63",2004,"BT_insitu",4.8623337615225,-0.943873491115212,"NYB",128,"winter"
"64",2005,"BT_insitu",4.8623337615225,-0.520797741641848,"NYB",134,"winter"
"65",2006,"BT_insitu",4.8623337615225,1.0370189061053,"NYB",103,"winter"
"66",2007,"BT_insitu",4.8623337615225,0.205621053301202,"NYB",169,"winter"
"67",2008,"BT_insitu",4.8623337615225,0.918636935790685,"NYB",101,"winter"
"68",2009,"BT_insitu",4.8623337615225,0.320619583366321,"NYB",134,"winter"
"69",2010,"BT_insitu",4.8623337615225,-0.559436152899047,"NYB",101,"winter"
"70",2011,"BT_insitu",4.8623337615225,-0.510785301034872,"NYB",91,"winter"
"71",2012,"BT_insitu",4.8623337615225,1.5647135195014,"NYB",170,"winter"
"72",2013,"BT_insitu",4.8623337615225,0.289800398981398,"NYB",100,"winter"
"73",2014,"BT_insitu",4.8623337615225,-1.17221918670991,"NYB",20,"winter"
"74",2015,"BT_insitu",4.8623337615225,-0.626644893259404,"NYB",46,"winter"
"75",2016,"BT_insitu",4.8623337615225,0.914348777976282,"NYB",30,"winter"
"76",2017,"BT_insitu",4.8623337615225,0.149780534877576,"NYB",78,"winter"
"77",2018,"BT_insitu",4.8623337615225,-0.889463001524886,"NYB",46,"winter"
"78",2019,"BT_insitu",4.8623337615225,0.34670679064283,"NYB",74,"winter"
"79",2020,"BT_insitu",4.8623337615225,1.36487053941857,"NYB",36,"winter"
"80",2021,"BT_insitu",4.8623337615225,0.973955399664193,"NYB",56,"winter"
"81",2022,"BT_insitu",4.8623337615225,1.28118912590024,"NYB",63,"winter"
"82",1941,"BT_insitu",6.68070736663698,-1.54219104189006,"NYB",34,"spring"
