,April,May,June,July,August,September,October
1993,1663096052284.146,1114638121043.116,724060654275.5996,482817643407.8476,385134505695.9218,185479337637.25842,33088306669.326694
1994,1491667204780.612,1022691910560.31,651682600045.5312,485089343418.0936,330172930489.31,103550753282.50972,0.0
1995,1525280261143.9924,1163851833171.3242,729610356815.9573,412878507357.43896,174237158398.40973,47773502523.36363,0.0
1996,1764301407258.852,1559907486894.9556,981913477186.0995,646148178457.3527,639780064225.0648,586710347726.7104,255901033175.70312
1997,2284341398972.2446,1548705386041.3853,648776145917.264,434294709539.5612,321079640001.91174,188422527300.85107,14529998065.737541
1998,2571441662288.544,1916065461512.434,1005443868578.53,752113929652.6816,571959493802.4404,350637703344.8264,260964952005.50964
1999,1543351000379.8633,863779441139.0626,429950893684.94385,118817454646.56711,104644485625.9353,0.0,0.0
2000,1197553293079.8237,682333772815.5886,318270108615.4755,205015417559.4583,184101907434.125,29546769304.478466,0.0
2001,1660906161755.2803,1051623353023.454,558958525021.5826,257991803182.81134,74692946125.77054,15340282603.78786,0.0
2002,1719490165008.4192,811840140191.8223,476833449618.1477,394731693812.22656,396126506782.19214,150047433110.21844,545141264.8607668
2003,2411387123606.42,1492269023250.2202,707202072455.16,420324646777.2335,255194784356.18103,86115641388.16965,7417419013.016815
2004,1582775856208.2405,1049124407345.5647,966200536808.8125,847470244800.0544,632912816275.9669,392142868018.2666,148386742507.1516
2005,1946934109950.8525,1752449791391.2632,889728682209.8015,444904549494.97253,209292415196.24414,170408827263.70605,9255984982.362362
2006,1306959702848.4646,874778528080.4609,457929588065.17834,172922434824.7943,118622840646.91783,2679446294.8572454,0.0
2007,1739766139725.359,1921946115533.4336,951787418759.7137,587431438891.7328,474490679525.6642,311783180433.7195,169578041626.42905
2008,1619063082337.1772,1200562225851.2866,618775492891.1191,481356479884.459,350042426974.47894,302054362610.40845,67071277505.623215
2009,1370857526253.1125,861143908597.0178,477525826965.9092,330190571793.6066,147494209007.58936,60063140888.0308,0.0
2010,1690522708800.919,910588529971.4341,569036277765.0679,394518408911.4098,254941924397.2338,113012774904.35434,0.0
2011,1872179318857.2961,1127977100256.8938,602897002282.8376,336464211332.9524,368205111585.8808,75709232091.4354,542455111.8054622
2012,1057050233230.322,322544311010.01306,237940060283.59424,60194710369.67067,21845527579.808235,9423275495.052664,0.0
2013,1353127787417.6782,737947739076.5974,382144924557.6783,204350479757.685,66917068548.23993,457279395.4896017,0.0
2014,1555882261456.391,974590226307.5532,479026550771.7386,105026465704.09026,0.0,0.0,0.0
2015,721697574923.0608,473227089439.5698,184641750614.089,50471937880.52263,2586541087.6840954,0.0,0.0
2016,1339796588664.6125,882290487762.0875,491022628565.82947,267253293221.2921,93785862457.261,15630790284.231838,0.0
2017,1880603127530.023,1138183550927.4883,823666311428.6354,482649549927.83527,302993949333.7731,78287174056.60783,1634753989.3965845
2018,1511541563046.9634,1056170499767.3997,587573025046.8569,428211557101.37756,254328655870.33905,68048593783.57657,0.0
2019,1741293781555.8857,973942723101.6509,796875462220.5571,522872062400.1767,131039438327.6384,0.0,0.0
2020,1441419550258.2852,962730605198.9945,447428109109.93884,133461686043.70457,0.0,0.0,0.0
2021,1213792691397.2488,397750393238.83344,92033059136.71515,107917907323.33824,138163400907.85114,0.0,0.0
2022,1466654304494.0435,686265351271.4294,175289942700.40668,36605617674.54643,41478193631.696144,0.0,0.0
2023,1461610847019.081,765080056849.027,394925751056.92456,220934205909.85358,13688208766.67834,3786575938.540311,0.0
