Year, Month, Monthly_MSL, Linear_Trend, High_Conf, Low_Conf
1947,10,-0.164,-0.137,-0.127,-0.148
1947,11,-0.022,-0.137,-0.126,-0.147
1947,12,-0.199,-0.137,-0.126,-0.147
1948,1,-0.152,-0.136,-0.126,-0.147
1948,2,-0.13,-0.136,-0.126,-0.147
1948,3,-0.119,-0.136,-0.125,-0.146
1948,4,-0.147,-0.136,-0.125,-0.146
1948,5,-0.086,-0.135,-0.125,-0.146
1948,6,-0.093,-0.135,-0.125,-0.145
1948,7,-0.086,-0.135,-0.124,-0.145
1948,8,-0.113,-0.134,-0.124,-0.145
1948,9,-0.111,-0.134,-0.124,-0.144
1948,10,-0.052,-0.134,-0.123,-0.144
1948,11,-0.089,-0.133,-0.123,-0.144
1948,12,-0.01,-0.133,-0.123,-0.143
1949,1,-0.088,-0.133,-0.123,-0.143
1949,2,-0.075,-0.133,-0.122,-0.143
1949,3,-0.159,-0.132,-0.122,-0.143
1949,4,-0.101,-0.132,-0.122,-0.142
1949,5,-0.113,-0.132,-0.122,-0.142
1949,6,-0.16,-0.131,-0.121,-0.142
1949,7,-0.123,-0.131,-0.121,-0.141
1949,8,-0.11,-0.131,-0.121,-0.141
1949,9,-0.142,-0.131,-0.121,-0.141
1949,10,-0.128,-0.13,-0.12,-0.14
1949,11,-0.104,-0.13,-0.12,-0.14
1949,12,-0.224,-0.13,-0.12,-0.14
1950,1,-0.173,-0.129,-0.119,-0.14
1950,2,-0.126,-0.129,-0.119,-0.139
1950,3,-0.259,-0.129,-0.119,-0.139
1950,4,-0.153,-0.129,-0.119,-0.139
1950,5,-0.208,-0.128,-0.118,-0.138
1950,6,-0.202,-0.128,-0.118,-0.138
1950,7,-0.184,-0.128,-0.118,-0.138
1950,8,-0.143,-0.127,-0.118,-0.137
1950,9,-0.133,-0.127,-0.117,-0.137
1950,10,-0.146,-0.127,-0.117,-0.137
1950,11,-0.064,-0.127,-0.117,-0.136
1950,12,-0.074,-0.126,-0.116,-0.136
1951,1,-0.134,-0.126,-0.116,-0.136
1951,2,-0.13,-0.126,-0.116,-0.136
1951,3,-0.009,-0.125,-0.116,-0.135
1951,4,-0.104,-0.125,-0.115,-0.135
1951,5,-0.065,-0.125,-0.115,-0.135
1951,6,-0.056,-0.125,-0.115,-0.134
1951,7,-0.12,-0.124,-0.115,-0.134
1951,8,-0.091,-0.124,-0.114,-0.134
1951,9,-0.108,-0.124,-0.114,-0.133
1951,10,-0.085,-0.123,-0.114,-0.133
1951,11,-0.11,-0.123,-0.113,-0.133
1951,12,-0.135,-0.123,-0.113,-0.133
1952,1,-0.07,-0.123,-0.113,-0.132
1952,2,-0.066,-0.122,-0.113,-0.132
1952,3,-0.055,-0.122,-0.112,-0.132
1952,4,-0.107,-0.122,-0.112,-0.131
1952,5,-0.04,-0.121,-0.112,-0.131
1952,6,-0.086,-0.121,-0.112,-0.131
1952,7,-0.153,-0.121,-0.111,-0.13
1952,8,-0.128,-0.121,-0.111,-0.13
1952,9,-0.108,-0.12,-0.111,-0.13
1952,10,-0.155,-0.12,-0.111,-0.129
1952,11,-0.073,-0.12,-0.11,-0.129
1952,12,-0.004,-0.119,-0.11,-0.129
1953,1,-0.006,-0.119,-0.11,-0.129
