"","staid","val","dates","qualcode","wyear"
"28074","01358000",33300,2023-01-01,"A",2023
"28075","01358000",37300,2023-01-02,"A",2023
"28076","01358000",32500,2023-01-03,"A",2023
"28077","01358000",33000,2023-01-04,"A",2023
"28078","01358000",34200,2023-01-05,"A",2023
"28079","01358000",37600,2023-01-06,"A",2023
"28080","01358000",34800,2023-01-07,"A",2023
"28081","01358000",30400,2023-01-08,"A",2023
"28082","01358000",26800,2023-01-09,"A",2023
"28083","01358000",23300,2023-01-10,"A",2023
"28084","01358000",21200,2023-01-11,"A",2023
"28085","01358000",21100,2023-01-12,"A",2023
"28086","01358000",27300,2023-01-13,"A",2023
"28087","01358000",38800,2023-01-14,"A",2023
"28088","01358000",29900,2023-01-15,"A",2023
"28089","01358000",24600,2023-01-16,"A",2023
"28090","01358000",24200,2023-01-17,"A",2023
"28091","01358000",23100,2023-01-18,"A",2023
"28092","01358000",24000,2023-01-19,"A",2023
"28093","01358000",25900,2023-01-20,"A",2023
"28094","01358000",30400,2023-01-21,"A",2023
"28095","01358000",27200,2023-01-22,"A",2023
"28096","01358000",26700,2023-01-23,"A",2023
"28097","01358000",24100,2023-01-24,"A",2023
"28098","01358000",23100,2023-01-25,"A",2023
"28099","01358000",22500,2023-01-26,"A",2023
"28100","01358000",23500,2023-01-27,"A",2023
"28101","01358000",21400,2023-01-28,"A",2023
"28102","01358000",21500,2023-01-29,"A",2023
"28103","01358000",21100,2023-01-30,"A",2023
"28104","01358000",20800,2023-01-31,"A",2023
"28105","01358000",20300,2023-02-01,"A",2023
"28106","01358000",16700,2023-02-02,"A",2023
"28107","01358000",17300,2023-02-03,"A",2023
"28108","01358000",10100,2023-02-04,"A",2023
"28109","01358000",15400,2023-02-05,"A",2023
"28110","01358000",17400,2023-02-06,"A",2023
"28111","01358000",16700,2023-02-07,"A",2023
"28112","01358000",13800,2023-02-08,"A",2023
"28113","01358000",13600,2023-02-09,"A",2023
"28114","01358000",20600,2023-02-10,"A",2023
"28115","01358000",29300,2023-02-11,"A",2023
"28116","01358000",27400,2023-02-12,"A",2023
"28117","01358000",24400,2023-02-13,"A",2023
"28118","01358000",22700,2023-02-14,"A",2023
"28119","01358000",21400,2023-02-15,"A",2023
"28120","01358000",23900,2023-02-16,"A",2023
"28121","01358000",23900,2023-02-17,"A",2023
"28122","01358000",26000,2023-02-18,"A",2023
"28123","01358000",23700,2023-02-19,"A",2023
"28124","01358000",21600,2023-02-20,"A",2023
"28125","01358000",21600,2023-02-21,"A",2023
"28126","01358000",21900,2023-02-22,"A",2023
"28127","01358000",20500,2023-02-23,"A",2023
"28128","01358000",20100,2023-02-24,"A",2023
"28129","01358000",21400,2023-02-25,"A",2023
"28130","01358000",18800,2023-02-26,"A",2023
"28131","01358000",18700,2023-02-27,"A",2023
"28132","01358000",19500,2023-02-28,"A",2023
"28133","01358000",19200,2023-03-01,"A",2023
"28134","01358000",19900,2023-03-02,"A",2023
"28135","01358000",20400,2023-03-03,"A",2023
"28136","01358000",21500,2023-03-04,"A",2023
"28137","01358000",20900,2023-03-05,"A",2023
"28138","01358000",20400,2023-03-06,"A",2023
"28139","01358000",19700,2023-03-07,"A",2023
"28140","01358000",18800,2023-03-08,"A",2023
"28141","01358000",18800,2023-03-09,"A",2023
"28142","01358000",19800,2023-03-10,"A",2023
"28143","01358000",18200,2023-03-11,"A",2023
"28144","01358000",19700,2023-03-12,"A",2023
"28145","01358000",19200,2023-03-13,"A",2023
"28146","01358000",21000,2023-03-14,"A",2023
"28147","01358000",22100,2023-03-15,"A",2023
"28148","01358000",22900,2023-03-16,"A",2023
"28149","01358000",22900,2023-03-17,"A",2023
"28150","01358000",25900,2023-03-18,"A",2023
"28151","01358000",31000,2023-03-19,NA,2023
"28152","01358000",26700,2023-03-20,NA,2023
"28153","01358000",25600,2023-03-21,NA,2023
"28154","01358000",27400,2023-03-22,NA,2023
"28155","01358000",31200,2023-03-23,NA,2023
"28156","01358000",47200,2023-03-24,NA,2023
"28157","01358000",43900,2023-03-25,NA,2023
"28158","01358000",37100,2023-03-26,NA,2023
"28159","01358000",36400,2023-03-27,NA,2023
"28160","01358000",34800,2023-03-28,NA,2023
"28161","01358000",32100,2023-03-29,NA,2023
"28162","01358000",30100,2023-03-30,NA,2023
"28163","01358000",26900,2023-03-31,NA,2023
"28164","01358000",31700,2023-04-01,NA,2023
"28165","01358000",51100,2023-04-02,NA,2023
"28166","01358000",42500,2023-04-03,NA,2023
"28167","01358000",34900,2023-04-04,NA,2023
"28168","01358000",33900,2023-04-05,NA,2023
"28169","01358000",41500,2023-04-06,NA,2023
"28170","01358000",56500,2023-04-07,NA,2023
"28171","01358000",47100,2023-04-08,NA,2023
"28172","01358000",37500,2023-04-09,NA,2023
"28173","01358000",31000,2023-04-10,NA,2023
"28174","01358000",26000,2023-04-11,NA,2023
"28175","01358000",27200,2023-04-12,NA,2023
"28176","01358000",32100,2023-04-13,NA,2023
