"","Year","Variable","Intercept","Val","Loc","N","season"
"1",1975,"strat",0.000521941148217523,9.59973725182359e-05,"NYB",63,"winter"
"2",1985,"strat",0.000521941148217523,-0.000117494327480796,"NYB",6,"winter"
"3",1988,"strat",0.000521941148217523,-6.5787443109639e-06,"NYB",11,"winter"
"4",1990,"strat",0.000521941148217523,-3.31282356302564e-05,"NYB",42,"winter"
"5",1991,"strat",0.000521941148217523,-4.60239302702652e-05,"NYB",70,"winter"
"6",1992,"strat",0.000521941148217523,-9.4002204446766e-05,"NYB",97,"winter"
"7",1993,"strat",0.000521941148217523,-9.55670067300437e-05,"NYB",115,"winter"
"8",1994,"strat",0.000521941148217523,-1.86625734399987e-06,"NYB",85,"winter"
"9",1995,"strat",0.000521941148217523,-6.99519826523896e-05,"NYB",40,"winter"
"10",1996,"strat",0.000521941148217523,-3.69648736939474e-05,"NYB",53,"winter"
"11",1997,"strat",0.000521941148217523,6.38053970974969e-05,"NYB",88,"winter"
"12",1998,"strat",0.000521941148217523,-0.000151416754817677,"NYB",102,"winter"
"13",1999,"strat",0.000521941148217523,3.70040988355132e-05,"NYB",93,"winter"
"14",2000,"strat",0.000521941148217523,3.91625579644099e-05,"NYB",85,"winter"
"15",2001,"strat",0.000521941148217523,-0.000115672135803182,"NYB",129,"winter"
"16",2002,"strat",0.000521941148217523,-0.00011749667383545,"NYB",108,"winter"
"17",2003,"strat",0.000521941148217523,3.04300335421656e-05,"NYB",76,"winter"
"18",2004,"strat",0.000521941148217523,-0.000115773700314269,"NYB",92,"winter"
"19",2005,"strat",0.000521941148217523,2.96770528599291e-05,"NYB",104,"winter"
"20",2006,"strat",0.000521941148217523,1.74407020623406e-05,"NYB",88,"winter"
"21",2007,"strat",0.000521941148217523,-5.17650233684412e-05,"NYB",139,"winter"
"22",2008,"strat",0.000521941148217523,7.68016555358118e-05,"NYB",70,"winter"
"23",2009,"strat",0.000521941148217523,-5.7421442429729e-05,"NYB",92,"winter"
"24",2010,"strat",0.000521941148217523,0.000352290645411164,"NYB",78,"winter"
"25",2011,"strat",0.000521941148217523,4.10353649898453e-05,"NYB",89,"winter"
"26",2012,"strat",0.000521941148217523,0.000149522370763454,"NYB",97,"winter"
"27",2013,"strat",0.000521941148217523,-0.000129178642970549,"NYB",83,"winter"
"28",2014,"strat",0.000521941148217523,-8.77328770546654e-06,"NYB",15,"winter"
"29",2015,"strat",0.000521941148217523,-0.000133548532461118,"NYB",42,"winter"
"30",2017,"strat",0.000521941148217523,-0.000137226487389346,"NYB",42,"winter"
"31",2018,"strat",0.000521941148217523,5.60442946449423e-05,"NYB",22,"winter"
"32",2019,"strat",0.000521941148217523,0.000183253915120719,"NYB",74,"winter"
"33",2020,"strat",0.000521941148217523,0.000381396402907203,"NYB",36,"winter"
"34",2021,"strat",0.000521941148217523,-0.000106669248311036,"NYB",56,"winter"
"35",2022,"strat",0.000521941148217523,7.26576277124607e-05,"NYB",57,"winter"
"36",1975,"strat",0.00124350589638449,-0.000829513963504064,"NYB",85,"spring"
"37",1976,"strat",0.00124350589638449,-0.00055591657688682,"NYB",112,"spring"
"38",1977,"strat",0.00124350589638449,-0.000140496460608006,"NYB",124,"spring"
"39",1978,"strat",0.00124350589638449,-0.000584233271547897,"NYB",113,"spring"
"40",1979,"strat",0.00124350589638449,-0.000234907517644617,"NYB",125,"spring"
"41",1982,"strat",0.00124350589638449,-0.000559676034226897,"NYB",10,"spring"
"42",1984,"strat",0.00124350589638449,0.000970466660206813,"NYB",6,"spring"
"43",1985,"strat",0.00124350589638449,-0.000533064201790367,"NYB",6,"spring"
"44",1987,"strat",0.00124350589638449,-0.00111036480337871,"NYB",166,"spring"
"45",1988,"strat",0.00124350589638449,-0.00105432453135698,"NYB",18,"spring"
"46",1989,"strat",0.00124350589638449,0.000579453841414475,"NYB",83,"spring"
"47",1991,"strat",0.00124350589638449,0.00123407489949849,"NYB",10,"spring"
"48",1992,"strat",0.00124350589638449,3.36169074678524e-05,"NYB",30,"spring"
"49",1993,"strat",0.00124350589638449,-0.00063147281112631,"NYB",11,"spring"
"50",1994,"strat",0.00124350589638449,0.0025792999965644,"NYB",33,"spring"
"51",1995,"strat",0.00124350589638449,0.000593436385621332,"NYB",40,"spring"
"52",1996,"strat",0.00124350589638449,-0.000675297393231825,"NYB",46,"spring"
"53",1997,"strat",0.00124350589638449,0.000489724219876713,"NYB",12,"spring"
"54",1998,"strat",0.00124350589638449,7.74122383577808e-05,"NYB",31,"spring"
"55",1999,"strat",0.00124350589638449,0.000452960530134038,"NYB",4,"spring"
"56",2000,"strat",0.00124350589638449,-0.000377641462918009,"NYB",23,"spring"
"57",2001,"strat",0.00124350589638449,0.000705333385239076,"NYB",31,"spring"
"58",2002,"strat",0.00124350589638449,0.00150354839682307,"NYB",20,"spring"
"59",2003,"strat",0.00124350589638449,-0.000873914111643809,"NYB",3,"spring"
"60",2004,"strat",0.00124350589638449,0.000552671377000107,"NYB",19,"spring"
"61",2005,"strat",0.00124350589638449,-0.000775289174914427,"NYB",21,"spring"
"62",2006,"strat",0.00124350589638449,0.000382357492475719,"NYB",22,"spring"
"63",2007,"strat",0.00124350589638449,0.000198378792241004,"NYB",22,"spring"
"64",2008,"strat",0.00124350589638449,0.000623268492474094,"NYB",77,"spring"
"65",2009,"strat",0.00124350589638449,-0.000201443621686267,"NYB",53,"spring"
"66",2010,"strat",0.00124350589638449,7.61878545965563e-05,"NYB",54,"spring"
"67",2011,"strat",0.00124350589638449,0.000397920107309362,"NYB",70,"spring"
"68",2012,"strat",0.00124350589638449,0.000600474537310134,"NYB",40,"spring"
"69",2013,"strat",0.00124350589638449,0.000661571049899575,"NYB",44,"spring"
"70",2014,"strat",0.00124350589638449,-0.00120417798954426,"NYB",61,"spring"
"71",2015,"strat",0.00124350589638449,-0.000411655723765297,"NYB",38,"spring"
"72",2016,"strat",0.00124350589638449,-0.000845846479389478,"NYB",89,"spring"
"73",2017,"strat",0.00124350589638449,-0.00124535380239602,"NYB",63,"spring"
"74",2018,"strat",0.00124350589638449,-0.000762644034521834,"NYB",44,"spring"
"75",2019,"strat",0.00124350589638449,0.000899497763117036,"NYB",41,"spring"
"76",2020,"strat",0.00124350589638449,7.99503958629223e-05,"NYB",24,"spring"
"77",2021,"strat",0.00124350589638449,0.000188328926731069,"NYB",133,"spring"
"78",2022,"strat",0.00124350589638449,-0.000272700284139724,"NYB",30,"spring"
"79",1975,"strat",0.00144980203935891,-0.00162964227492902,"NYB",19,"summer"
"80",1976,"strat",0.00144980203935891,-0.000105030484825891,"NYB",95,"summer"
