,cruise,meanDens,sd,year
1,NY1807,132.3738457,260.7554081,2018.5
2,NY1902,8.836669492,8.633565356,2019
3,NY1905,1211.988658,1718.249575,2019.25
4,NY1907,49.45856338,40.47301937,2019.5
5,NY1910,7.651327422,11.47107935,2019.75
6,NY2002,10.66451239,13.83833352,2020
7,NY2006,14.43377469,23.84460066,2020.25
8,NY2010,0.707714084,1.70644614,2020.75
9,ny2103,5.78094542,9.193895271,2021
10,ny2105,239.5384544,528.6946947,2021.25
11,ny2202,0.080840606,0.213884139,2022
12,ny2205,247.1095224,420.873288,2022.25
13,ny2207,37.33282746,46.20154183,2022.5
14,ny2209,57.25255224,86.8695102,2022.75
