,cruise,meanDens,sd,year
1,NY1807,857.726346,887.2043792,2018.5
2,NY1902,242.7114225,255.3466523,2019
3,NY1905,90.76727644,137.5251153,2019.25
4,NY1907,719.3348914,796.7099829,2019.5
5,NY1910,44.12181285,52.50309884,2019.75
6,NY2002,206.8954103,199.0235432,2020
7,NY2006,73.93912071,69.55226012,2020.25
8,NY2010,26.13870871,36.6663475,2020.75
9,ny2103,224.166369,291.8854696,2021
10,ny2105,626.2290413,898.8738645,2021.25
11,ny2202,78.34016116,147.1694242,2022
12,ny2205,204.2352816,350.9224469,2022.25
13,ny2207,1636.324514,1333.897937,2022.5
14,ny2209,10.95390212,15.26917963,2022.75
