"","X","lon","lat","date","bot_depth","depth","depth_flag","temp","temp_flag","salt","salt_flag","pressure","profile_num","EPU","NYB","STRATA","surf_dens","c50_dens","depth50"
"1489",1489,-73.178337097168,38.6100006103516,20190318,537,3.96981310844421,0,10.4399995803833,0,34.4669990539551,0,4,13,"MAB","NYB",1760,1026.4779314514,1026.89293349532,49.617130279541
"1991",1991,-73.1283340454102,38.689998626709,20190318,144,3.96978425979614,0,8.57999992370605,0,33.8240013122559,0,4,14,"MAB","NYB",1750,1026.28107424527,1026.7295436865,49.6167678833008
"2130",2130,-73.0283355712891,38.7533340454102,20190319,271,3.96976184844971,0,8.35999965667725,0,33.7620010375977,0,4,15,"MAB","NYB",1760,1026.26605379244,1026.80801024986,49.6164894104004
"2397",2397,-73.0883331298828,38.7983322143555,20190319,91,0.992443561553955,0,7.23000001907349,0,33.4249992370605,0,1,16,"MAB","NYB",1750,1026.15126152424,1026.6418762945,49.6162872314453
"2480",2480,-72.8266677856445,39.0533332824707,20190319,117,2.9772481918335,0,7.71999979019165,0,33.5289993286133,0,3,17,"MAB","NYB",1750,1026.17308753963,1026.70047597363,49.6151466369629
"2591",2591,-72.7466659545898,39.1916656494141,20190319,120,0.992408454418182,0,8.13000011444092,0,33.6889991760254,0,1,18,"MAB","NYB",1030,1026.22958997786,1026.71012680553,49.6145286560059
"2707",2707,-72.7633361816406,39.2666664123535,20190319,96,0.992401659488678,0,7.53999996185303,0,33.5130004882812,0,1,19,"MAB","NYB",1020,1026.17706664361,1026.71005621574,49.6141891479492
"2796",2796,-72.4416656494141,39.314998626709,20190319,142,0.992397308349609,0,7.84999990463257,0,33.6459999084473,0,1,20,"MAB","NYB",1030,1026.2370307498,1026.5934874577,49.6139717102051
"2933",2933,-72.303337097168,39.3033332824707,20190319,253,0.992398381233215,0,7.59000015258789,0,33.5379981994629,0,1,21,"Not in NES","NYB",1040,1026.18961016759,1026.85014010084,49.6140251159668
"3138",3138,-72.2916641235352,39.2983322143555,20190319,285,3.969566822052,0,7.63000011444092,0,33.5149993896484,0,4,22,"Not in NES","NYB",1040,1026.17957560647,1026.7797016349,49.6140518188477
"3419",3419,-72.3000030517578,39.5166664123535,20190319,309,3.96948838233948,0,7.13000011444092,0,33.3409996032715,0,4,23,"MAB","NYB",1040,1026.11269348736,1026.74361869696,49.6130714416504
"3724",3724,-72.2099990844727,39.5033340454102,20190319,256,3.96949291229248,0,7.44999980926514,0,33.3629989624023,0,4,24,"MAB","NYB",1040,1026.08559374377,1026.85759902922,49.6131286621094
"3974",3974,-72.196662902832,39.6266670227051,20190320,126,3.96944856643677,0,6.69000005722046,0,33.0900001525879,0,4,25,"MAB","NYB",1030,1025.97404719531,1026.63485282826,49.6125717163086
"4093",4093,-72.0833358764648,39.9000015258789,20190320,88,3.9693500995636,0,6.07999992370605,0,32.9090003967285,0,4,26,"MAB","NYB",1020,1025.90917051304,1026.42325228465,49.6113433837891
"4175",4175,-71.9116668701172,39.8933334350586,20190320,124,2.97702145576477,0,6.73999977111816,0,33.2649993896484,0,3,27,"MAB","NYB",1030,1026.10076239614,1026.35110587362,49.6113700866699
"4292",4292,-71.8450012207031,39.8133316040039,20190320,188,2.97704362869263,0,8.14000034332275,0,33.7729988098145,0,3,28,"MAB","NYB",1040,1026.30317088352,1026.84422919817,49.6117401123047
"4475",4475,-71.6516647338867,39.9383316040039,20190320,119,1.98467779159546,0,6.42000007629395,0,33.1829986572266,0,2,29,"MAB","NYB",1070,1026.0732488195,1026.76989086982,49.6111679077148
"4589",4589,-71.754997253418,39.9566650390625,20190320,108,0.992339611053467,0,6.3600001335144,0,33.2140007019043,0,1,30,"MAB","NYB",1020,1026.10078727642,1026.53700834744,49.6110877990723
"4691",4691,-71.9066696166992,40.0200004577637,20190320,85,0.992334008216858,0,6.03999996185303,0,33.0110015869141,0,1,31,"MAB","NYB",1020,1025.98080641018,1026.40656954049,49.6108055114746
"4769",4769,-72.0650024414062,40.0200004577637,20190320,82,0.992334008216858,0,5.75,0,32.6889991760254,0,1,32,"MAB","NYB",1020,1025.7616744858,1026.39758865214,49.6108055114746
"4845",4845,-72.1650009155273,40.0883331298828,20190320,72,0.992327809333801,0,5.8899998664856,0,32.3279991149902,0,1,33,"MAB","NYB",1020,1025.45963553762,1026.40191822515,49.6104965209961
"4911",4911,-71.8066635131836,40.2716674804688,20190320,75,0.992311179637909,0,6.1399998664856,0,32.8289985656738,0,1,34,"MAB","NYB",1060,1025.82468882801,1026.4659495117,49.6096687316895
"4981",4981,-71.4649963378906,40.3199996948242,20190320,83,0.992306768894196,0,5.46999979019165,0,32.6150016784668,0,1,35,"MAB","NYB",1060,1025.73614926015,1026.36173190727,49.6094436645508
