"","Year","Variable","Intercept","Val","Loc","N","season"
"1",1975,"BSal_insitu",33.9292290764828,-0.00467109764006282,"NYB",71,"winter"
"2",1984,"BSal_insitu",33.9292290764828,0.25779796279329,"NYB",6,"winter"
"3",1985,"BSal_insitu",33.9292290764828,0.128846081204766,"NYB",11,"winter"
"4",1988,"BSal_insitu",33.9292290764828,-0.198933411504503,"NYB",11,"winter"
"5",1990,"BSal_insitu",33.9292290764828,0.466100177083584,"NYB",42,"winter"
"6",1991,"BSal_insitu",33.9292290764828,0.0523077364638643,"NYB",17,"winter"
"7",1992,"BSal_insitu",33.9292290764828,-0.349791009429904,"NYB",41,"winter"
"8",1993,"BSal_insitu",33.9292290764828,-0.479640464492042,"NYB",65,"winter"
"9",1994,"BSal_insitu",33.9292290764828,-0.146958818131894,"NYB",34,"winter"
"10",1995,"BSal_insitu",33.9292290764828,0.377298769378986,"NYB",18,"winter"
"11",1996,"BSal_insitu",33.9292290764828,-0.284094063663889,"NYB",38,"winter"
"12",1997,"BSal_insitu",33.9292290764828,-0.482235281577206,"NYB",39,"winter"
"13",1998,"BSal_insitu",33.9292290764828,-0.848484635558884,"NYB",36,"winter"
"14",1999,"BSal_insitu",33.9292290764828,-0.257928219510742,"NYB",47,"winter"
"15",2000,"BSal_insitu",33.9292290764828,0.61261786435361,"NYB",41,"winter"
"16",2001,"BSal_insitu",33.9292290764828,-0.0582597215269239,"NYB",83,"winter"
"17",2002,"BSal_insitu",33.9292290764828,0.14143690639154,"NYB",55,"winter"
"18",2003,"BSal_insitu",33.9292290764828,0.0404312477124799,"NYB",29,"winter"
"19",2004,"BSal_insitu",33.9292290764828,0.0503134907599455,"NYB",41,"winter"
"20",2005,"BSal_insitu",33.9292290764828,-0.470894749457637,"NYB",41,"winter"
"21",2006,"BSal_insitu",33.9292290764828,-0.104055356358712,"NYB",39,"winter"
"22",2007,"BSal_insitu",33.9292290764828,0.241624746948178,"NYB",60,"winter"
"23",2008,"BSal_insitu",33.9292290764828,-0.390315715769308,"NYB",23,"winter"
"24",2009,"BSal_insitu",33.9292290764828,0.199566369111994,"NYB",34,"winter"
"25",2010,"BSal_insitu",33.9292290764828,0.146607840566462,"NYB",23,"winter"
"26",2011,"BSal_insitu",33.9292290764828,-0.0391669823294347,"NYB",36,"winter"
"27",2012,"BSal_insitu",33.9292290764828,0.223975178192678,"NYB",44,"winter"
"28",2013,"BSal_insitu",33.9292290764828,0.674909408920824,"NYB",28,"winter"
"29",2017,"BSal_insitu",33.9292290764828,0.364624619035587,"NYB",23,"winter"
"30",2019,"BSal_insitu",33.9292290764828,-0.249969542147031,"NYB",19,"winter"
"31",2020,"BSal_insitu",33.9292290764828,0.0871595296256915,"NYB",12,"winter"
"32",2022,"BSal_insitu",33.9292290764828,0.299781140554693,"NYB",7,"winter"
"33",1975,"BSal_insitu",33.6495295173271,0.358871451430685,"NYB",94,"spring"
"34",1976,"BSal_insitu",33.6495295173271,0.195808724571193,"NYB",99,"spring"
"35",1977,"BSal_insitu",33.6495295173271,0.491127684041873,"NYB",53,"spring"
"36",1978,"BSal_insitu",33.6495295173271,-0.301423812138422,"NYB",71,"spring"
"37",1979,"BSal_insitu",33.6495295173271,0.18606730782167,"NYB",74,"spring"
"38",1982,"BSal_insitu",33.6495295173271,-0.354884711789774,"NYB",10,"spring"
"39",1984,"BSal_insitu",33.6495295173271,-0.368134929587363,"NYB",6,"spring"
"40",1985,"BSal_insitu",33.6495295173271,-0.193057893394328,"NYB",6,"spring"
"41",1987,"BSal_insitu",33.6495295173271,-0.419188731135436,"NYB",164,"spring"
"42",1988,"BSal_insitu",33.6495295173271,-0.281664155739345,"NYB",17,"spring"
"43",1991,"BSal_insitu",33.6495295173271,0.195697199939682,"NYB",49,"spring"
"44",1992,"BSal_insitu",33.6495295173271,0.0328078602660795,"NYB",61,"spring"
"45",1993,"BSal_insitu",33.6495295173271,-0.415011315350236,"NYB",60,"spring"
"46",1994,"BSal_insitu",33.6495295173271,0.0245811913728642,"NYB",50,"spring"
"47",1995,"BSal_insitu",33.6495295173271,0.548051389073881,"NYB",24,"spring"
"48",1996,"BSal_insitu",33.6495295173271,-0.337248505143741,"NYB",50,"spring"
"49",1997,"BSal_insitu",33.6495295173271,-0.355824637417286,"NYB",54,"spring"
"50",1998,"BSal_insitu",33.6495295173271,-0.834021262274935,"NYB",95,"spring"
"51",1999,"BSal_insitu",33.6495295173271,-0.147351214660307,"NYB",52,"spring"
"52",2000,"BSal_insitu",33.6495295173271,0.470372632524754,"NYB",66,"spring"
"53",2001,"BSal_insitu",33.6495295173271,-0.0831095830720235,"NYB",65,"spring"
"54",2002,"BSal_insitu",33.6495295173271,0.519327546250619,"NYB",73,"spring"
"55",2003,"BSal_insitu",33.6495295173271,0.241513937586563,"NYB",52,"spring"
"56",2004,"BSal_insitu",33.6495295173271,0.155409054607057,"NYB",72,"spring"
"57",2005,"BSal_insitu",33.6495295173271,-0.515856623740755,"NYB",88,"spring"
"58",2006,"BSal_insitu",33.6495295173271,0.416388391323796,"NYB",49,"spring"
"59",2007,"BSal_insitu",33.6495295173271,0.221368051249852,"NYB",103,"spring"
"60",2008,"BSal_insitu",33.6495295173271,-0.0937750813010827,"NYB",71,"spring"
"61",2009,"BSal_insitu",33.6495295173271,-0.030092157617865,"NYB",94,"spring"
"62",2010,"BSal_insitu",33.6495295173271,-0.243285807304164,"NYB",89,"spring"
"63",2011,"BSal_insitu",33.6495295173271,-0.358278536992532,"NYB",80,"spring"
"64",2012,"BSal_insitu",33.6495295173271,0.337771983130058,"NYB",59,"spring"
"65",2013,"BSal_insitu",33.6495295173271,0.403225075199564,"NYB",56,"spring"
"66",2014,"BSal_insitu",33.6495295173271,0.166032203914379,"NYB",74,"spring"
"67",2015,"BSal_insitu",33.6495295173271,0.485115236698484,"NYB",80,"spring"
"68",2016,"BSal_insitu",33.6495295173271,0.144906479390528,"NYB",77,"spring"
"69",2017,"BSal_insitu",33.6495295173271,0.074976600555984,"NYB",76,"spring"
"70",2018,"BSal_insitu",33.6495295173271,-0.0253495743551947,"NYB",66,"spring"
"71",2019,"BSal_insitu",33.6495295173271,-0.0270423755593225,"NYB",90,"spring"
"72",2020,"BSal_insitu",33.6495295173271,0.0881327103683773,"NYB",24,"spring"
"73",2021,"BSal_insitu",33.6495295173271,0.27499400961284,"NYB",144,"spring"
"74",2022,"BSal_insitu",33.6495295173271,0.482698558168079,"NYB",60,"spring"
"75",2023,"BSal_insitu",33.6495295173271,-0.0330975364286194,"NYB",34,"spring"
"76",2024,"BSal_insitu",33.6495295173271,-1.09754683409613,"NYB",34,"spring"
"77",1975,"BSal_insitu",33.2885034441471,0.177798221174399,"NYB",24,"summer"
"78",1976,"BSal_insitu",33.2885034441471,0.356691059701976,"NYB",34,"summer"
"79",1977,"BSal_insitu",33.2885034441471,0.473324052698444,"NYB",133,"summer"
"80",1978,"BSal_insitu",33.2885034441471,-0.410407570832103,"NYB",169,"summer"
"81",1979,"BSal_insitu",33.2885034441471,-0.0755076980189452,"NYB",199,"summer"
"82",1982,"BSal_insitu",33.2885034441471,0.00168029143930878,"NYB",3,"summer"
"83",1987,"BSal_insitu",33.2885034441471,0.047695871603928,"NYB",71,"summer"
"84",1989,"BSal_insitu",33.2885034441471,-0.188149755242298,"NYB",143,"summer"
