,time,month,year,volume
0,1993-01-01,1,1993,1847170273513.337
1,1993-02-01,2,1993,2129455413017.4219
2,1993-03-01,3,1993,2046360913394.3218
3,1993-04-01,4,1993,1663096052284.146
4,1993-05-01,5,1993,1114638121043.116
5,1993-06-01,6,1993,724060654275.5996
6,1993-07-01,7,1993,482817643407.8476
7,1993-08-01,8,1993,385134505695.92175
8,1993-09-01,9,1993,185479337637.25836
9,1993-10-01,10,1993,33088306669.32669
10,1993-11-01,11,1993,0.0
11,1993-12-01,12,1993,304320014290.1256
12,1994-01-01,1,1994,1332637827783.305
13,1994-02-01,2,1994,1528298109491.8594
14,1994-03-01,3,1994,1412441805354.7344
15,1994-04-01,4,1994,1491667204780.612
16,1994-05-01,5,1994,1022691910560.3099
17,1994-06-01,6,1994,651682600045.5312
18,1994-07-01,7,1994,485089343418.0936
19,1994-08-01,8,1994,330172930489.31
20,1994-09-01,9,1994,103550753282.50972
21,1994-10-01,10,1994,0.0
22,1994-11-01,11,1994,0.0
23,1994-12-01,12,1994,36942917084.578766
24,1995-01-01,1,1995,1084124550037.0164
25,1995-02-01,2,1995,1189093211620.1406
26,1995-03-01,3,1995,1236605926127.0315
27,1995-04-01,4,1995,1525280261143.9922
28,1995-05-01,5,1995,1163851833171.3242
29,1995-06-01,6,1995,729610356815.9573
30,1995-07-01,7,1995,412878507357.43896
31,1995-08-01,8,1995,174237158398.40973
32,1995-09-01,9,1995,47773502523.36362
33,1995-10-01,10,1995,0.0
34,1995-11-01,11,1995,0.0
35,1995-12-01,12,1995,373815951627.9052
36,1996-01-01,1,1996,1590108646676.2666
37,1996-02-01,2,1996,1610610565891.4946
38,1996-03-01,3,1996,1644812171019.2002
39,1996-04-01,4,1996,1764301407258.8516
40,1996-05-01,5,1996,1559907486894.9556
41,1996-06-01,6,1996,981913477186.0995
42,1996-07-01,7,1996,646148178457.3527
43,1996-08-01,8,1996,639780064225.0648
44,1996-09-01,9,1996,586710347726.7104
45,1996-10-01,10,1996,255901033175.7031
46,1996-11-01,11,1996,135807674760.64336
47,1996-12-01,12,1996,1636081371135.371
48,1997-01-01,1,1997,1463967813931.3179
49,1997-02-01,2,1997,1682974323474.5767
50,1997-03-01,3,1997,1867268824328.4785
51,1997-04-01,4,1997,2284341398972.2446
52,1997-05-01,5,1997,1548705386041.3853
53,1997-06-01,6,1997,648776145917.264
54,1997-07-01,7,1997,434294709539.5612
55,1997-08-01,8,1997,321079640001.91174
56,1997-09-01,9,1997,188422527300.85107
57,1997-10-01,10,1997,14529998065.73754
58,1997-11-01,11,1997,0.0
59,1997-12-01,12,1997,528739637783.97107
60,1998-01-01,1,1998,1827646119454.4683
61,1998-02-01,2,1998,2512390117969.9917
62,1998-03-01,3,1998,2541624401854.3003
63,1998-04-01,4,1998,2571441662288.544
64,1998-05-01,5,1998,1916065461512.434
65,1998-06-01,6,1998,1005443868578.53
66,1998-07-01,7,1998,752113929652.6814
67,1998-08-01,8,1998,571959493802.4404
68,1998-09-01,9,1998,350637703344.8264
69,1998-10-01,10,1998,260964952005.50964
70,1998-11-01,11,1998,105587174473.40314
71,1998-12-01,12,1998,148908607953.7807
72,1999-01-01,1,1999,1304356247337.9497
73,1999-02-01,2,1999,1429955469202.2932
74,1999-03-01,3,1999,1759268889353.0933
75,1999-04-01,4,1999,1543351000379.8633
76,1999-05-01,5,1999,863779441139.0625
77,1999-06-01,6,1999,429950893684.94385
78,1999-07-01,7,1999,118817454646.56711
79,1999-08-01,8,1999,104644485625.9353
80,1999-09-01,9,1999,0.0
81,1999-10-01,10,1999,0.0
82,1999-11-01,11,1999,0.0
83,1999-12-01,12,1999,20880816512.892925
84,2000-01-01,1,2000,600438536316.749
