FIPS Code,Geography,Year,Program Type,Population
36047,Kings County,2024,Postcensal Population Estimate,2617631
36047,Kings County,2023,Postcensal Population Estimate,2592937
36047,Kings County,2022,Postcensal Population Estimate,2596607
36047,Kings County,2021,Postcensal Population Estimate,2634268
36047,Kings County,2020,Postcensal Population Estimate,2716455
36047,Kings County,2020,Census Base Population,2736296
36047,Kings County,2019,Intercensal Population Estimate,2737209
36047,Kings County,2018,Intercensal Population Estimate,2736071
36047,Kings County,2017,Intercensal Population Estimate,2731444
36047,Kings County,2016,Intercensal Population Estimate,2726337
36047,Kings County,2015,Intercensal Population Estimate,2708040
36047,Kings County,2014,Intercensal Population Estimate,2681874
36047,Kings County,2013,Intercensal Population Estimate,2649210
36047,Kings County,2012,Intercensal Population Estimate,2611093
36047,Kings County,2011,Intercensal Population Estimate,2564525
36047,Kings County,2010,Intercensal Population Estimate,2514665
36047,Kings County,2010,Census Base Population,2504856
36047,Kings County,2009,Intercensal Population Estimate,2487751
36047,Kings County,2008,Intercensal Population Estimate,2460361
36047,Kings County,2007,Intercensal Population Estimate,2441324
36047,Kings County,2006,Intercensal Population Estimate,2436132
36047,Kings County,2005,Intercensal Population Estimate,2445809
36047,Kings County,2004,Intercensal Population Estimate,2459094
36047,Kings County,2003,Intercensal Population Estimate,2472999
36047,Kings County,2002,Intercensal Population Estimate,2480559
36047,Kings County,2001,Intercensal Population Estimate,2477252
36047,Kings County,2000,Census Base Population,2465689
36047,Kings County,2000,Intercensal Population Estimate,2467006
36047,Kings County,1999,Intercensal Population Estimate,2447352
36047,Kings County,1998,Intercensal Population Estimate,2422434
36047,Kings County,1997,Intercensal Population Estimate,2401148
36047,Kings County,1996,Intercensal Population Estimate,2383703
36047,Kings County,1995,Intercensal Population Estimate,2372611
36047,Kings County,1994,Intercensal Population Estimate,2361668
36047,Kings County,1993,Intercensal Population Estimate,2347687
36047,Kings County,1992,Intercensal Population Estimate,2327759
36047,Kings County,1991,Intercensal Population Estimate,2312518
36047,Kings County,1990,Census Base Population,2300664
36047,Kings County,1990,Intercensal Population Estimate,2303679
36047,Kings County,1989,Intercensal Population Estimate,2316966
36047,Kings County,1988,Intercensal Population Estimate,2326439
36047,Kings County,1987,Intercensal Population Estimate,2324361
36047,Kings County,1986,Intercensal Population Estimate,2320507
36047,Kings County,1985,Intercensal Population Estimate,2304368
36047,Kings County,1984,Intercensal Population Estimate,2288807
36047,Kings County,1983,Intercensal Population Estimate,2276768
36047,Kings County,1982,Intercensal Population Estimate,2251785
36047,Kings County,1981,Intercensal Population Estimate,2240419
36047,Kings County,1980,Census Base Population,2231028
36047,Kings County,1980,Intercensal Population Estimate,2232003
36047,Kings County,1979,Intercensal Population Estimate,2242530
36047,Kings County,1978,Intercensal Population Estimate,2277488
36047,Kings County,1977,Intercensal Population Estimate,2336106
36047,Kings County,1976,Intercensal Population Estimate,2391675
36047,Kings County,1975,Intercensal Population Estimate,2422649
36047,Kings County,1974,Intercensal Population Estimate,2455992
36047,Kings County,1973,Intercensal Population Estimate,2492883
36047,Kings County,1972,Intercensal Population Estimate,2560159
36047,Kings County,1971,Intercensal Population Estimate,2609009
36047,Kings County,1970,Census Base Population,2602012
36047,Kings County,1970,Intercensal Population Estimate,2603413
36059,Nassau County,2024,Postcensal Population Estimate,1392438
36059,Nassau County,2023,Postcensal Population Estimate,1386052
36059,Nassau County,2022,Postcensal Population Estimate,1386825
36059,Nassau County,2021,Postcensal Population Estimate,1392058
36059,Nassau County,2020,Postcensal Population Estimate,1390584
36059,Nassau County,2020,Census Base Population,1395805
36059,Nassau County,2019,Intercensal Population Estimate,1395123
36059,Nassau County,2018,Intercensal Population Estimate,1392254
36059,Nassau County,2017,Intercensal Population Estimate,1387871
36059,Nassau County,2016,Intercensal Population Estimate,1382459
36059,Nassau County,2015,Intercensal Population Estimate,1377148
36059,Nassau County,2014,Intercensal Population Estimate,1372792
36059,Nassau County,2013,Intercensal Population Estimate,1366077
36059,Nassau County,2012,Intercensal Population Estimate,1359255
36059,Nassau County,2011,Intercensal Population Estimate,1351478
36059,Nassau County,2010,Intercensal Population Estimate,1342694
36059,Nassau County,2010,Census Base Population,1339854
36059,Nassau County,2009,Intercensal Population Estimate,1332088
36059,Nassau County,2008,Intercensal Population Estimate,1325129
36059,Nassau County,2007,Intercensal Population Estimate,1322048
36059,Nassau County,2006,Intercensal Population Estimate,1324905
36059,Nassau County,2005,Intercensal Population Estimate,1332318
36059,Nassau County,2004,Intercensal Population Estimate,1337964
36059,Nassau County,2003,Intercensal Population Estimate,1339761
36059,Nassau County,2002,Intercensal Population Estimate,1339572
