"","YEAR","n"
"1",1968,24
"2",1969,24
"3",1970,26
"4",1971,30
"5",1972,29
"6",1973,29
"7",1974,34
"8",1975,26
"9",1976,29
"10",1977,31
"11",1978,30
"12",1979,26
"13",1980,28
"14",1981,27
"15",1982,28
"16",1983,26
"17",1984,24
"18",1985,28
"19",1986,25
"20",1987,24
"21",1988,26
"22",1989,27
"23",1990,21
"24",1991,23
"25",1992,20
"26",1993,26
"27",1994,25
"28",1995,24
"29",1996,21
"30",1997,27
"31",1998,23
"32",1999,25
"33",2000,25
"34",2001,25
"35",2002,26
"36",2003,27
"37",2004,26
"38",2005,25
"39",2006,22
"40",2007,24
"41",2008,25
"42",2009,29
"43",2010,28
"44",2011,27
"45",2012,27
"46",2013,24
"47",2014,30
"48",2015,25
"49",2016,27
"50",2017,24
"51",2018,24
"52",2019,24
"53",2020,18
"54",2021,23
"55",2022,26
"56",2024,25
"57",2025,24
