,winter,summer,spring,fall
1981,9.982621,,,16.078665
1982,8.647082,19.432152,8.585349,17.192694
1983,9.768054,20.206532,9.455101,17.882477
1984,9.482317,20.616108,8.731429,18.007792
1985,9.893937,21.04217,9.942271,18.852951
1986,9.773454,20.762915,9.624942,17.34986
1987,8.761068,20.645618,8.745147,16.415972
1988,8.150217,20.434275,8.747839,16.74062
1989,8.501855,20.939455,9.027652,17.92979
1990,8.603489,20.638044,9.457712,18.023111
1991,9.22703,20.7027,9.739907,17.552778
1992,8.298382,19.45421,7.9826784,16.805597
1993,8.15111,20.5685,8.393108,17.367243
1994,8.313847,21.275488,8.720327,16.631872
1995,9.574286,20.654474,9.352316,18.315435
1996,7.8036647,19.772646,7.916017,15.625918
1997,8.420509,20.04125,8.71385,17.498444
1998,8.484182,20.642002,8.20861,17.008907
1999,9.705824,21.69834,9.121149,18.329962
2000,9.550618,20.501753,10.027763,17.192667
2001,8.649477,21.21474,8.577099,18.408066
2002,10.008956,21.110382,9.835857,18.358418
2003,8.623857,20.15364,8.0203705,17.953043
2004,8.092237,20.46308,8.469934,17.483345
2005,8.563057,21.120836,7.7596784,18.434772
2006,9.781594,21.249416,9.4785795,17.691566
2007,9.584822,20.458931,8.576745,17.758043
2008,9.274055,21.477251,9.096049,17.569752
2009,9.720551,20.843372,9.082378,18.211145
2010,8.645185,22.570135,9.323625,17.7901
2011,9.38548,22.210453,9.245186,18.082182
2012,11.270627,22.614204,11.716635,18.962332
2013,10.505568,21.106926,9.569879,18.629011
2014,9.648826,21.745134,9.396571,19.344984
2015,10.259817,22.427692,9.906538,19.736273
2016,10.693315,22.051481,10.189196,19.12175
2017,10.432496,20.999542,9.334867,18.626934
2018,8.784901,21.94315,9.150872,18.338234
2019,9.109944,22.13147,9.545305,19.200514
2020,10.374364,21.784988,9.399193,19.093712
2021,10.415088,21.945843,10.308676,19.847275
2022,10.641023,22.245,9.898203,19.191015
2023,10.2249775,21.853731,10.752496,17.845943
2024,8.9812565,22.0112,8.94309,19.19487
2025,7.2349095,21.460346,8.704672,
