"","YEAR","n"
"1",1963,19
"2",1964,18
"3",1965,17
"4",1966,20
"5",1967,17
"6",1968,16
"7",1969,22
"8",1970,20
"9",1971,20
"10",1972,20
"11",1973,22
"12",1974,29
"13",1975,24
"14",1976,25
"15",1977,27
"16",1978,18
"17",1979,27
"18",1980,20
"19",1981,25
"20",1982,24
"21",1983,24
"22",1984,20
"23",1985,30
"24",1986,23
"25",1987,20
"26",1988,14
"27",1989,24
"28",1990,30
"29",1991,17
"30",1992,25
"31",1993,17
"32",1994,16
"33",1995,26
"34",1996,25
"35",1997,27
"36",1998,28
"37",1999,21
"38",2000,19
"39",2001,28
"40",2002,24
"41",2003,23
"42",2004,16
"43",2005,26
"44",2006,26
"45",2007,24
"46",2008,25
"47",2009,43
"48",2010,44
"49",2011,37
"50",2012,38
"51",2013,29
"52",2014,36
"53",2015,37
"54",2016,33
"55",2018,33
"56",2019,36
"57",2021,37
"58",2022,39
"59",2023,38
"60",2024,32
