"","YEAR","n"
"1",1968,12
"2",1969,12
"3",1970,12
"4",1971,15
"5",1972,14
"6",1973,11
"7",1974,21
"8",1975,19
"9",1976,27
"10",1977,18
"11",1978,20
"12",1979,14
"13",1980,15
"14",1981,16
"15",1982,14
"16",1983,15
"17",1984,15
"18",1985,19
"19",1986,19
"20",1987,14
"21",1988,14
"22",1989,13
"23",1990,12
"24",1991,12
"25",1992,15
"26",1993,14
"27",1994,15
"28",1995,16
"29",1996,18
"30",1997,15
"31",1998,16
"32",1999,20
"33",2000,24
"34",2001,17
"35",2002,22
"36",2003,20
"37",2004,16
"38",2005,13
"39",2006,17
"40",2007,22
"41",2008,21
"42",2009,31
"43",2010,29
"44",2011,29
"45",2012,35
"46",2013,32
"47",2014,27
"48",2015,23
"49",2016,32
"50",2017,26
"51",2018,24
"52",2019,24
"53",2020,21
"54",2021,23
"55",2022,29
"56",2024,29
"57",2025,28
