"","YEAR","strat.biomass"
"1",1963,201.225321800712
"2",1964,365.297208575314
"3",1965,209.212013126907
"4",1966,216.619819259222
"5",1967,207.412167088644
"6",1968,140.744993902844
"7",1969,406.994405173749
"8",1970,98.39196210433
"9",1971,58.1361400146397
"10",1972,142.518851142255
"11",1973,49.6849843886827
"12",1974,36.0784210675297
"13",1975,96.9189729408497
"14",1976,35.7891445187777
"15",1977,81.6763646511614
"16",1978,38.8487783324012
"17",1979,108.155893873863
"18",1980,65.7022321153501
"19",1981,183.319052443498
"20",1982,48.3065655011684
"21",1983,61.5527361916708
"22",1984,101.911790179417
"23",1985,78.4585501728648
"24",1986,25.1155060748397
"25",1987,42.3494681423676
"26",1988,79.0672569633014
"27",1989,25.5008653845789
"28",1990,30.6083018028325
"29",1991,28.4926928452406
"30",1992,28.5880164578499
"31",1993,17.5836233481915
"32",1994,18.6237636929951
"33",1995,27.4181696085633
"34",1996,43.9762374079687
"35",1997,50.287961278831
"36",1998,125.529465065289
"37",1999,58.5535100813148
"38",2000,55.4621031204234
"39",2001,70.8602441708849
"40",2002,95.6821793130528
"41",2003,140.411656164971
"42",2004,132.162174505807
"43",2005,102.35148649473
"44",2006,114.762395084014
"45",2007,43.2406022851909
"46",2008,38.5035881167544
"47",2009,78.0773969270076
"48",2010,88.6798370288543
"49",2011,46.2459948203586
"50",2012,144.283766366211
"51",2013,148.041809810992
"52",2014,45.5492698987424
"53",2015,160.305416841468
"54",2016,59.1760008026336
"55",2018,63.7955827032601
"56",2019,43.8276958287675
"57",2021,24.8174602518311
"58",2022,63.0513004695016
"59",2023,37.0592862764282
"60",2024,44.2876800965927
