"","YEAR","strat.biomass"
"1",1968,207.389277663462
"2",1969,134.199772507319
"3",1970,94.0483351535437
"4",1971,160.575934806735
"5",1972,244.754559625368
"6",1973,136.834844457147
"7",1974,218.021996052789
"8",1975,132.201924277352
"9",1976,117.026451393979
"10",1977,125.385349911834
"11",1978,111.611459625517
"12",1979,53.8585307875599
"13",1980,187.733221455897
"14",1981,190.831422672344
"15",1982,229.023955534525
"16",1983,107.568036869903
"17",1984,99.5517632276822
"18",1985,432.512482311756
"19",1986,134.048113899848
"20",1987,397.63713096125
"21",1988,343.395905160735
"22",1989,246.742269957329
"23",1990,296.373994308675
"24",1991,293.701977189229
"25",1992,213.746001784817
"26",1993,103.341299818694
"27",1994,58.5816395925258
"28",1995,75.5683804723711
"29",1996,135.191931846144
"30",1997,163.789875465411
"31",1998,68.2901311046081
"32",1999,196.219544537265
"33",2000,55.7313812711259
"34",2001,46.4425929013535
"35",2002,172.205777935104
"36",2003,86.0147896128006
"37",2004,35.7715794388299
"38",2005,24.0370519143087
"39",2006,87.3348617994434
"40",2007,77.620787853258
"41",2008,155.982490218947
"42",2009,247.343965547859
"43",2010,147.069244730356
"44",2011,192.269158271125
"45",2012,335.217552390614
"46",2013,215.043652897446
"47",2014,197.76163460568
"48",2015,101.645611484237
"49",2016,104.176183265271
"50",2017,100.646615745869
"51",2018,210.222933891615
"52",2019,158.366577444855
"53",2020,121.927435812702
"54",2021,319.684973687663
"55",2022,73.5393173615092
"56",2024,160.292982559359
"57",2025,183.182611691439
