"","YEAR","strat.biomass"
"1",1963,2.07664422864389
"2",1964,8.57274765209921
"3",1965,5.84147353241931
"4",1966,3.9815710074482
"5",1967,8.25885774546887
"6",1968,22.4479016315467
"7",1969,31.077859478463
"8",1970,7.17835714595879
"9",1971,14.2954148776519
"10",1972,8.88179554042054
"11",1973,37.2430050036341
"12",1974,17.6522072704303
"13",1975,17.837965932024
"14",1976,33.6501134394777
"15",1977,18.7715297609857
"16",1978,17.6986201128392
"17",1979,33.0982946456467
"18",1980,34.2183821400482
"19",1981,53.4783989675088
"20",1982,36.7155542285859
"21",1983,45.6622863685544
"22",1984,69.7239236314612
"23",1985,63.3636969088865
"24",1986,30.5614996469574
"25",1987,12.9017762888911
"26",1988,35.712426774056
"27",1989,47.6887716220106
"28",1990,30.3513288576854
"29",1991,17.8942814985161
"30",1992,13.3903708543332
"31",1993,35.5065919677858
"32",1994,51.3969280880099
"33",1995,15.9717679346079
"34",1996,26.5304621188661
"35",1997,22.664581441195
"36",1998,12.3619358338888
"37",1999,29.9266089681452
"38",2000,30.9401042959768
"39",2001,15.2485810277464
"40",2002,18.9040913528579
"41",2003,13.9589611603039
"42",2004,10.970863725264
"43",2005,13.3401221042004
"44",2006,38.9905259708211
"45",2007,12.2262427425052
"46",2008,18.7824464707884
"47",2009,32.6409122314234
"48",2010,35.6416725909917
"49",2011,22.5934011355085
"50",2012,26.5932693184761
"51",2013,36.3360960930064
"52",2014,36.505894147688
"53",2015,31.0407951795969
"54",2016,25.9242415429355
"55",2018,20.1134068318933
"56",2019,23.7856190673932
"57",2021,47.6278230648494
"58",2022,64.5708899066443
"59",2023,58.8655372638856
"60",2024,45.3130337425607
