"","YEAR","strat.biomass"
"1",1971,0.0170890917118995
"2",1972,0.482811242255609
"3",1973,0.756013790418365
"4",1974,0
"5",1975,0.00774531237393142
"6",1976,0.00852218409971389
"7",1977,0.000590507287762462
"8",1978,0.00523892730514173
"9",1979,0.0321634445328353
"10",1980,0.00903139500000458
"11",1981,0.0304928111557783
"12",1982,0.0742888905338228
"13",1983,0.090894641549888
"14",1984,0.0277079362582602
"15",1985,0.0780926485842681
"16",1986,0.0515395474156776
"17",1987,0.117890458558018
"18",1988,0.00597289253155607
"19",1989,0.0157314890288907
"20",1990,0.00724535632861973
"21",1991,0.0213002154433101
"22",1992,0.0564655507931996
"23",1993,0.00353262987646496
"24",1994,0.00940895800665062
"25",1995,0.00585911715836556
"26",1996,0.0488726272712726
"27",1997,0.028077908571179
"28",1998,0.0168184907281565
"29",1999,0.0360433153240099
"30",2000,0.0501774988364589
"31",2001,0.0289675203149677
"32",2002,0.110037926668994
"33",2003,0.411066145388677
"34",2004,0.0109102174347291
"35",2005,0.0341571556019723
"36",2006,0.062161863269789
"37",2007,0.0853330698890855
"38",2008,0.0194962433485808
"39",2009,0.18180358055669
"40",2010,0.257568002212186
"41",2011,0.206110115389773
"42",2012,0.719669168689818
"43",2013,0.173960881076673
"44",2014,0.259235854272942
"45",2015,0.264958209437201
"46",2016,0.0781145843315134
"47",2018,0.187187636133365
"48",2019,0.250043090380295
"49",2021,0.172432960639114
"50",2022,0.134326824686967
"51",2023,0.260750296326075
"52",2024,0.127790494022503
