"","YEAR","strat.biomass"
"1",1968,0.00447140405758142
"2",1973,0.640086783929519
"3",1974,0.213594323721956
"4",1975,0.139675312959735
"5",1976,0.418784808811337
"6",1977,0.20208256932746
"7",1978,0.181248941482465
"8",1979,0.046274599958396
"9",1980,0.0504771877802794
"10",1981,0.0628987073864042
"11",1982,0.0235071621495178
"12",1983,0.00114219098775014
"13",1984,0.0088230958415004
"14",1985,0.0189418108569151
"15",1986,0.00711838537773983
"16",1987,0.0431376678679747
"17",1988,0.0255105349940874
"18",1991,0.00708608745314955
"19",1992,0
"20",1993,0.0066173218811253
"21",1994,0.000466533115972937
"22",1995,0.00977006608904059
"23",1998,0.111029609511701
"24",1999,0.0421860791713911
"25",2000,0.120309439095568
"26",2001,0.053304814711235
"27",2002,0.135303455466977
"28",2003,0.021319237047053
"29",2004,0.00363952703461892
"30",2005,0.00966941127451982
"31",2006,0.0201972356072902
"32",2007,0.042776719269267
"33",2008,0.0358653501833504
"34",2009,0.106614183845927
"35",2010,0.0879897600268894
"36",2011,0.067734211912817
"37",2012,0.0545409693559376
"38",2013,0.0343652521268342
"39",2014,0.0375193541876276
"40",2015,0.0489513779088711
"41",2016,0.0573913535898351
"42",2017,0.0452138486490801
"43",2018,0.0748009744853032
"44",2019,0.101896925599289
"45",2021,0.0167419642549206
"46",2022,0.0321599181884707
"47",2024,0.0310929772491245
"48",2025,0.00889738309919133
