"","Year","Variable","Val","Loc","N"
"1",1993,"GLORYS_HW_count",0,"NYB",NA
"2",1994,"GLORYS_HW_count",0,"NYB",NA
"3",1995,"GLORYS_HW_count",3,"NYB",NA
"4",1996,"GLORYS_HW_count",0,"NYB",NA
"5",1997,"GLORYS_HW_count",0,"NYB",NA
"6",1998,"GLORYS_HW_count",0,"NYB",NA
"7",1999,"GLORYS_HW_count",4,"NYB",NA
"8",2000,"GLORYS_HW_count",3,"NYB",NA
"9",2001,"GLORYS_HW_count",4,"NYB",NA
"10",2002,"GLORYS_HW_count",5,"NYB",NA
"11",2003,"GLORYS_HW_count",0,"NYB",NA
"12",2004,"GLORYS_HW_count",0,"NYB",NA
"13",2005,"GLORYS_HW_count",1,"NYB",NA
"14",2006,"GLORYS_HW_count",10,"NYB",NA
"15",2007,"GLORYS_HW_count",1,"NYB",NA
"16",2008,"GLORYS_HW_count",0,"NYB",NA
"17",2009,"GLORYS_HW_count",2,"NYB",NA
"18",2010,"GLORYS_HW_count",0,"NYB",NA
"19",2011,"GLORYS_HW_count",2,"NYB",NA
"20",2012,"GLORYS_HW_count",1,"NYB",NA
"21",2013,"GLORYS_HW_count",1,"NYB",NA
"22",2014,"GLORYS_HW_count",1,"NYB",NA
"23",2015,"GLORYS_HW_count",2,"NYB",NA
"24",2016,"GLORYS_HW_count",5,"NYB",NA
"25",2017,"GLORYS_HW_count",1,"NYB",NA
"26",2018,"GLORYS_HW_count",0,"NYB",NA
"27",2019,"GLORYS_HW_count",2,"NYB",NA
"28",2020,"GLORYS_HW_count",4,"NYB",NA
"29",2021,"GLORYS_HW_count",2,"NYB",NA
"30",2022,"GLORYS_HW_count",2,"NYB",NA
"31",2023,"GLORYS_HW_count",4,"NYB",NA
"32",2024,"GLORYS_HW_count",1,"NYB",NA
"33",2025,"GLORYS_HW_count",0,"NYB",NA
"34",1993,"GLORYS_HW_duration",NA,"NYB",NA
"35",1994,"GLORYS_HW_duration",NA,"NYB",NA
"36",1995,"GLORYS_HW_duration",11,"NYB",NA
"37",1996,"GLORYS_HW_duration",NA,"NYB",NA
"38",1997,"GLORYS_HW_duration",NA,"NYB",NA
"39",1998,"GLORYS_HW_duration",NA,"NYB",NA
"40",1999,"GLORYS_HW_duration",38.25,"NYB",NA
"41",2000,"GLORYS_HW_duration",20.6666666666667,"NYB",NA
"42",2001,"GLORYS_HW_duration",13,"NYB",NA
"43",2002,"GLORYS_HW_duration",24.2,"NYB",NA
"44",2003,"GLORYS_HW_duration",NA,"NYB",NA
"45",2004,"GLORYS_HW_duration",NA,"NYB",NA
"46",2005,"GLORYS_HW_duration",18,"NYB",NA
"47",2006,"GLORYS_HW_duration",10.8,"NYB",NA
"48",2007,"GLORYS_HW_duration",25,"NYB",NA
"49",2008,"GLORYS_HW_duration",NA,"NYB",NA
"50",2009,"GLORYS_HW_duration",33.5,"NYB",NA
"51",2010,"GLORYS_HW_duration",NA,"NYB",NA
"52",2011,"GLORYS_HW_duration",20,"NYB",NA
"53",2012,"GLORYS_HW_duration",185,"NYB",NA
"54",2013,"GLORYS_HW_duration",57,"NYB",NA
"55",2014,"GLORYS_HW_duration",166,"NYB",NA
"56",2015,"GLORYS_HW_duration",95,"NYB",NA
"57",2016,"GLORYS_HW_duration",28.8,"NYB",NA
"58",2017,"GLORYS_HW_duration",40,"NYB",NA
"59",2018,"GLORYS_HW_duration",NA,"NYB",NA
"60",2019,"GLORYS_HW_duration",78.5,"NYB",NA
"61",2020,"GLORYS_HW_duration",37,"NYB",NA
"62",2021,"GLORYS_HW_duration",164.5,"NYB",NA
"63",2022,"GLORYS_HW_duration",141,"NYB",NA
"64",2023,"GLORYS_HW_duration",35.75,"NYB",NA
"65",2024,"GLORYS_HW_duration",9,"NYB",NA
"66",2025,"GLORYS_HW_duration",NA,"NYB",NA
"67",1993,"GLORYS_HW_duration_max",NA,"NYB",NA
"68",1994,"GLORYS_HW_duration_max",NA,"NYB",NA
"69",1995,"GLORYS_HW_duration_max",14,"NYB",NA
"70",1996,"GLORYS_HW_duration_max",NA,"NYB",NA
"71",1997,"GLORYS_HW_duration_max",NA,"NYB",NA
"72",1998,"GLORYS_HW_duration_max",NA,"NYB",NA
"73",1999,"GLORYS_HW_duration_max",93,"NYB",NA
"74",2000,"GLORYS_HW_duration_max",40,"NYB",NA
"75",2001,"GLORYS_HW_duration_max",20,"NYB",NA
"76",2002,"GLORYS_HW_duration_max",82,"NYB",NA
"77",2003,"GLORYS_HW_duration_max",NA,"NYB",NA
"78",2004,"GLORYS_HW_duration_max",NA,"NYB",NA
"79",2005,"GLORYS_HW_duration_max",18,"NYB",NA
"80",2006,"GLORYS_HW_duration_max",18,"NYB",NA
"81",2007,"GLORYS_HW_duration_max",25,"NYB",NA
"82",2008,"GLORYS_HW_duration_max",NA,"NYB",NA
