"","Year","Variable","Val","Loc","N"
"1",1981,"OISST_HW_count",0,"NYB",NA
"2",1982,"OISST_HW_count",0,"NYB",NA
"3",1983,"OISST_HW_count",2,"NYB",NA
"4",1984,"OISST_HW_count",3,"NYB",NA
"5",1985,"OISST_HW_count",2,"NYB",NA
"6",1986,"OISST_HW_count",1,"NYB",NA
"7",1987,"OISST_HW_count",0,"NYB",NA
"8",1988,"OISST_HW_count",1,"NYB",NA
"9",1989,"OISST_HW_count",1,"NYB",NA
"10",1990,"OISST_HW_count",3,"NYB",NA
"11",1991,"OISST_HW_count",2,"NYB",NA
"12",1992,"OISST_HW_count",0,"NYB",NA
"13",1993,"OISST_HW_count",2,"NYB",NA
"14",1994,"OISST_HW_count",2,"NYB",NA
"15",1995,"OISST_HW_count",1,"NYB",NA
"16",1996,"OISST_HW_count",0,"NYB",NA
"17",1997,"OISST_HW_count",0,"NYB",NA
"18",1998,"OISST_HW_count",0,"NYB",NA
"19",1999,"OISST_HW_count",3,"NYB",NA
"20",2000,"OISST_HW_count",2,"NYB",NA
"21",2001,"OISST_HW_count",3,"NYB",NA
"22",2002,"OISST_HW_count",5,"NYB",NA
"23",2003,"OISST_HW_count",1,"NYB",NA
"24",2004,"OISST_HW_count",0,"NYB",NA
"25",2005,"OISST_HW_count",2,"NYB",NA
"26",2006,"OISST_HW_count",3,"NYB",NA
"27",2007,"OISST_HW_count",2,"NYB",NA
"28",2008,"OISST_HW_count",2,"NYB",NA
"29",2009,"OISST_HW_count",3,"NYB",NA
"30",2010,"OISST_HW_count",5,"NYB",NA
"31",2011,"OISST_HW_count",5,"NYB",NA
"32",2012,"OISST_HW_count",4,"NYB",NA
"33",2013,"OISST_HW_count",4,"NYB",NA
"34",2014,"OISST_HW_count",3,"NYB",NA
"35",2015,"OISST_HW_count",5,"NYB",NA
"36",2016,"OISST_HW_count",9,"NYB",NA
"37",2017,"OISST_HW_count",4,"NYB",NA
"38",2018,"OISST_HW_count",4,"NYB",NA
"39",2019,"OISST_HW_count",8,"NYB",NA
"40",2020,"OISST_HW_count",8,"NYB",NA
"41",2021,"OISST_HW_count",9,"NYB",NA
"42",2022,"OISST_HW_count",8,"NYB",NA
"43",2023,"OISST_HW_count",4,"NYB",NA
"44",2024,"OISST_HW_count",7,"NYB",NA
"45",2025,"OISST_HW_count",2,"NYB",NA
"46",1981,"OISST_HW_duration",NA,"NYB",NA
"47",1982,"OISST_HW_duration",NA,"NYB",NA
"48",1983,"OISST_HW_duration",5,"NYB",NA
"49",1984,"OISST_HW_duration",12.6666666666667,"NYB",NA
"50",1985,"OISST_HW_duration",20.5,"NYB",NA
"51",1986,"OISST_HW_duration",7,"NYB",NA
"52",1987,"OISST_HW_duration",NA,"NYB",NA
"53",1988,"OISST_HW_duration",9,"NYB",NA
"54",1989,"OISST_HW_duration",6,"NYB",NA
"55",1990,"OISST_HW_duration",7.33333333333333,"NYB",NA
"56",1991,"OISST_HW_duration",8,"NYB",NA
"57",1992,"OISST_HW_duration",NA,"NYB",NA
"58",1993,"OISST_HW_duration",10.5,"NYB",NA
"59",1994,"OISST_HW_duration",12.5,"NYB",NA
"60",1995,"OISST_HW_duration",6,"NYB",NA
"61",1996,"OISST_HW_duration",NA,"NYB",NA
"62",1997,"OISST_HW_duration",NA,"NYB",NA
"63",1998,"OISST_HW_duration",NA,"NYB",NA
"64",1999,"OISST_HW_duration",17.3333333333333,"NYB",NA
"65",2000,"OISST_HW_duration",11,"NYB",NA
"66",2001,"OISST_HW_duration",9.66666666666667,"NYB",NA
"67",2002,"OISST_HW_duration",15.6,"NYB",NA
"68",2003,"OISST_HW_duration",7,"NYB",NA
"69",2004,"OISST_HW_duration",NA,"NYB",NA
"70",2005,"OISST_HW_duration",14.5,"NYB",NA
"71",2006,"OISST_HW_duration",17,"NYB",NA
"72",2007,"OISST_HW_duration",6.5,"NYB",NA
"73",2008,"OISST_HW_duration",6,"NYB",NA
"74",2009,"OISST_HW_duration",16.3333333333333,"NYB",NA
"75",2010,"OISST_HW_duration",15.6,"NYB",NA
"76",2011,"OISST_HW_duration",50,"NYB",NA
"77",2012,"OISST_HW_duration",32,"NYB",NA
"78",2013,"OISST_HW_duration",24.25,"NYB",NA
"79",2014,"OISST_HW_duration",33.3333333333333,"NYB",NA
"80",2015,"OISST_HW_duration",45.6,"NYB",NA
"81",2016,"OISST_HW_duration",17.2222222222222,"NYB",NA
"82",2017,"OISST_HW_duration",24.5,"NYB",NA
"83",2018,"OISST_HW_duration",13.75,"NYB",NA
"84",2019,"OISST_HW_duration",11.875,"NYB",NA
"85",2020,"OISST_HW_duration",19,"NYB",NA
"86",2021,"OISST_HW_duration",22,"NYB",NA
"87",2022,"OISST_HW_duration",26.25,"NYB",NA
"88",2023,"OISST_HW_duration",38.25,"NYB",NA
"89",2024,"OISST_HW_duration",14,"NYB",NA
"90",2025,"OISST_HW_duration",15.5,"NYB",NA
"91",1981,"OISST_HW_duration_max",NA,"NYB",NA
"92",1982,"OISST_HW_duration_max",NA,"NYB",NA
"93",1983,"OISST_HW_duration_max",5,"NYB",NA
"94",1984,"OISST_HW_duration_max",24,"NYB",NA
"95",1985,"OISST_HW_duration_max",33,"NYB",NA
"96",1986,"OISST_HW_duration_max",7,"NYB",NA
"97",1987,"OISST_HW_duration_max",NA,"NYB",NA
"98",1988,"OISST_HW_duration_max",9,"NYB",NA
"99",1989,"OISST_HW_duration_max",6,"NYB",NA
"100",1990,"OISST_HW_duration_max",10,"NYB",NA
"101",1991,"OISST_HW_duration_max",11,"NYB",NA
"102",1992,"OISST_HW_duration_max",NA,"NYB",NA
"103",1993,"OISST_HW_duration_max",14,"NYB",NA
"104",1994,"OISST_HW_duration_max",16,"NYB",NA
"105",1995,"OISST_HW_duration_max",6,"NYB",NA
"106",1996,"OISST_HW_duration_max",NA,"NYB",NA
"107",1997,"OISST_HW_duration_max",NA,"NYB",NA
"108",1998,"OISST_HW_duration_max",NA,"NYB",NA
"109",1999,"OISST_HW_duration_max",38,"NYB",NA
"110",2000,"OISST_HW_duration_max",17,"NYB",NA
"111",2001,"OISST_HW_duration_max",15,"NYB",NA
"112",2002,"OISST_HW_duration_max",29,"NYB",NA
"113",2003,"OISST_HW_duration_max",7,"NYB",NA
"114",2004,"OISST_HW_duration_max",NA,"NYB",NA
"115",2005,"OISST_HW_duration_max",15,"NYB",NA
"116",2006,"OISST_HW_duration_max",36,"NYB",NA
"117",2007,"OISST_HW_duration_max",7,"NYB",NA
"118",2008,"OISST_HW_duration_max",7,"NYB",NA
"119",2009,"OISST_HW_duration_max",28,"NYB",NA
"120",2010,"OISST_HW_duration_max",40,"NYB",NA
"121",2011,"OISST_HW_duration_max",181,"NYB",NA
"122",2012,"OISST_HW_duration_max",51,"NYB",NA
"123",2013,"OISST_HW_duration_max",43,"NYB",NA
"124",2014,"OISST_HW_duration_max",75,"NYB",NA
"125",2015,"OISST_HW_duration_max",103,"NYB",NA
"126",2016,"OISST_HW_duration_max",45,"NYB",NA
"127",2017,"OISST_HW_duration_max",46,"NYB",NA
"128",2018,"OISST_HW_duration_max",19,"NYB",NA
"129",2019,"OISST_HW_duration_max",21,"NYB",NA
"130",2020,"OISST_HW_duration_max",57,"NYB",NA
"131",2021,"OISST_HW_duration_max",82,"NYB",NA
"132",2022,"OISST_HW_duration_max",68,"NYB",NA
"133",2023,"OISST_HW_duration_max",109,"NYB",NA
"134",2024,"OISST_HW_duration_max",40,"NYB",NA
"135",2025,"OISST_HW_duration_max",26,"NYB",NA
"136",1981,"OISST_HW_intensity_mean",NA,"NYB",NA
"137",1982,"OISST_HW_intensity_mean",NA,"NYB",NA
"138",1983,"OISST_HW_intensity_mean",1.9051,"NYB",NA
"139",1984,"OISST_HW_intensity_mean",1.82676666666667,"NYB",NA
"140",1985,"OISST_HW_intensity_mean",1.7689,"NYB",NA
"141",1986,"OISST_HW_intensity_mean",1.5763,"NYB",NA
"142",1987,"OISST_HW_intensity_mean",NA,"NYB",NA
"143",1988,"OISST_HW_intensity_mean",1.9234,"NYB",NA
"144",1989,"OISST_HW_intensity_mean",1.7037,"NYB",NA
"145",1990,"OISST_HW_intensity_mean",1.6266,"NYB",NA
"146",1991,"OISST_HW_intensity_mean",2.1713,"NYB",NA
"147",1992,"OISST_HW_intensity_mean",NA,"NYB",NA
"148",1993,"OISST_HW_intensity_mean",1.7068,"NYB",NA
"149",1994,"OISST_HW_intensity_mean",1.9942,"NYB",NA
"150",1995,"OISST_HW_intensity_mean",1.5063,"NYB",NA
"151",1996,"OISST_HW_intensity_mean",NA,"NYB",NA
"152",1997,"OISST_HW_intensity_mean",NA,"NYB",NA
"153",1998,"OISST_HW_intensity_mean",NA,"NYB",NA
"154",1999,"OISST_HW_intensity_mean",1.6643,"NYB",NA
"155",2000,"OISST_HW_intensity_mean",1.5922,"NYB",NA
"156",2001,"OISST_HW_intensity_mean",1.9027,"NYB",NA
