"","Year","Variable","Val","Loc","N"
"1",2013,"GLORYS12_moving_count",0,"NYB",NA
"2",2013,"GLORYS12_moving_duration",NA,"NYB",NA
"3",2013,"GLORYS12_moving_duration_max",NA,"NYB",NA
"4",2013,"GLORYS12_moving_intensity_mean",NA,"NYB",NA
"5",2013,"GLORYS12_moving_intensity_max",NA,"NYB",NA
"6",2013,"GLORYS12_moving_intensity_max_max",NA,"NYB",NA
"7",2013,"GLORYS12_moving_intensity_var",NA,"NYB",NA
"8",2013,"GLORYS12_moving_intensity_cumulative",NA,"NYB",NA
"9",2013,"GLORYS12_moving_intensity_mean_relThresh",NA,"NYB",NA
"10",2013,"GLORYS12_moving_intensity_max_relThresh",NA,"NYB",NA
"11",2013,"GLORYS12_moving_intensity_var_relThresh",NA,"NYB",NA
"12",2013,"GLORYS12_moving_intensity_cumulative_relThresh",NA,"NYB",NA
"13",2013,"GLORYS12_moving_intensity_mean_abs",NA,"NYB",NA
"14",2013,"GLORYS12_moving_intensity_max_abs",NA,"NYB",NA
"15",2013,"GLORYS12_moving_intensity_var_abs",NA,"NYB",NA
"16",2013,"GLORYS12_moving_intensity_cumulative_abs",NA,"NYB",NA
"17",2013,"GLORYS12_moving_rate_onset",NA,"NYB",NA
"18",2013,"GLORYS12_moving_rate_decline",NA,"NYB",NA
"19",2013,"GLORYS12_moving_total_days",NA,"NYB",NA
"20",2013,"GLORYS12_moving_total_icum",NA,"NYB",NA
"21",2014,"GLORYS12_moving_count",2,"NYB",NA
"22",2014,"GLORYS12_moving_duration",22,"NYB",NA
"23",2014,"GLORYS12_moving_duration_max",36,"NYB",NA
"24",2014,"GLORYS12_moving_intensity_mean",1.206,"NYB",NA
"25",2014,"GLORYS12_moving_intensity_max",1.3048,"NYB",NA
"26",2014,"GLORYS12_moving_intensity_max_max",1.4353,"NYB",NA
"27",2014,"GLORYS12_moving_intensity_var",0.05925,"NYB",NA
"28",2014,"GLORYS12_moving_intensity_cumulative",27.55135,"NYB",NA
"29",2014,"GLORYS12_moving_intensity_mean_relThresh",0.099,"NYB",NA
"30",2014,"GLORYS12_moving_intensity_max_relThresh",0.19465,"NYB",NA
"31",2014,"GLORYS12_moving_intensity_var_relThresh",0.05745,"NYB",NA
"32",2014,"GLORYS12_moving_intensity_cumulative_relThresh",2.78745,"NYB",NA
"33",2014,"GLORYS12_moving_intensity_mean_abs",10.65175,"NYB",NA
"34",2014,"GLORYS12_moving_intensity_max_abs",10.7813,"NYB",NA
"35",2014,"GLORYS12_moving_intensity_var_abs",0.12955,"NYB",NA
"36",2014,"GLORYS12_moving_intensity_cumulative_abs",232.19045,"NYB",NA
"37",2014,"GLORYS12_moving_rate_onset",0.0149,"NYB",NA
"38",2014,"GLORYS12_moving_rate_decline",0.02595,"NYB",NA
"39",2014,"GLORYS12_moving_total_days",44,"NYB",NA
"40",2014,"GLORYS12_moving_total_icum",55.1027,"NYB",NA
"41",2015,"GLORYS12_moving_count",3,"NYB",NA
"42",2015,"GLORYS12_moving_duration",48.3333333333333,"NYB",NA
"43",2015,"GLORYS12_moving_duration_max",109,"NYB",NA
