"","Year","Variable","Val","Loc","N"
"1",2012,"OISST_HW_moving_count",4,"NYB",NA
"2",2012,"OISST_HW_moving_duration",32,"NYB",NA
"3",2012,"OISST_HW_moving_duration_max",51,"NYB",NA
"4",2012,"OISST_HW_moving_intensity_mean",2.371125,"NYB",NA
"5",2012,"OISST_HW_moving_intensity_max",3.044225,"NYB",NA
"6",2012,"OISST_HW_moving_intensity_max_max",3.5799,"NYB",NA
"7",2012,"OISST_HW_moving_intensity_var",0.389,"NYB",NA
"8",2012,"OISST_HW_moving_intensity_cumulative",70.4711,"NYB",NA
"9",2012,"OISST_HW_moving_intensity_mean_relThresh",0.85565,"NYB",NA
"10",2012,"OISST_HW_moving_intensity_max_relThresh",1.493875,"NYB",NA
"11",2012,"OISST_HW_moving_intensity_var_relThresh",0.3686,"NYB",NA
"12",2012,"OISST_HW_moving_intensity_cumulative_relThresh",24.1474,"NYB",NA
"13",2012,"OISST_HW_moving_intensity_mean_abs",20.951625,"NYB",NA
"14",2012,"OISST_HW_moving_intensity_max_abs",22.2085,"NYB",NA
"15",2012,"OISST_HW_moving_intensity_var_abs",0.836475,"NYB",NA
"16",2012,"OISST_HW_moving_intensity_cumulative_abs",643.287925,"NYB",NA
"17",2012,"OISST_HW_moving_rate_onset",0.269875,"NYB",NA
"18",2012,"OISST_HW_moving_rate_decline",0.26655,"NYB",NA
"19",2012,"OISST_HW_moving_total_days",128,"NYB",NA
"20",2012,"OISST_HW_moving_total_icum",281.8844,"NYB",NA
"21",2013,"OISST_HW_moving_count",4,"NYB",NA
"22",2013,"OISST_HW_moving_duration",20,"NYB",NA
"23",2013,"OISST_HW_moving_duration_max",39,"NYB",NA
"24",2013,"OISST_HW_moving_intensity_mean",1.976125,"NYB",NA
"25",2013,"OISST_HW_moving_intensity_max",2.4618,"NYB",NA
"26",2013,"OISST_HW_moving_intensity_max_max",2.9598,"NYB",NA
"27",2013,"OISST_HW_moving_intensity_var",0.305275,"NYB",NA
"28",2013,"OISST_HW_moving_intensity_cumulative",40.236425,"NYB",NA
"29",2013,"OISST_HW_moving_intensity_mean_relThresh",0.538525,"NYB",NA
"30",2013,"OISST_HW_moving_intensity_max_relThresh",1.02285,"NYB",NA
"31",2013,"OISST_HW_moving_intensity_var_relThresh",0.294575,"NYB",NA
"32",2013,"OISST_HW_moving_intensity_cumulative_relThresh",12.079975,"NYB",NA
"33",2013,"OISST_HW_moving_intensity_mean_abs",17.596325,"NYB",NA
"34",2013,"OISST_HW_moving_intensity_max_abs",18.481275,"NYB",NA
"35",2013,"OISST_HW_moving_intensity_var_abs",0.542925,"NYB",NA
"36",2013,"OISST_HW_moving_intensity_cumulative_abs",304.402,"NYB",NA
"37",2013,"OISST_HW_moving_rate_onset",0.2211,"NYB",NA
"38",2013,"OISST_HW_moving_rate_decline",0.16685,"NYB",NA
"39",2013,"OISST_HW_moving_total_days",80,"NYB",NA
"40",2013,"OISST_HW_moving_total_icum",160.9457,"NYB",NA
"41",2014,"OISST_HW_moving_count",2,"NYB",NA
"42",2014,"OISST_HW_moving_duration",46.5,"NYB",NA
"43",2014,"OISST_HW_moving_duration_max",75,"NYB",NA
"44",2014,"OISST_HW_moving_intensity_mean",2.0487,"NYB",NA
"45",2014,"OISST_HW_moving_intensity_max",2.5734,"NYB",NA
"46",2014,"OISST_HW_moving_intensity_max_max",2.746,"NYB",NA
"47",2014,"OISST_HW_moving_intensity_var",0.3034,"NYB",NA
"48",2014,"OISST_HW_moving_intensity_cumulative",89.84145,"NYB",NA
"49",2014,"OISST_HW_moving_intensity_mean_relThresh",0.53255,"NYB",NA
"50",2014,"OISST_HW_moving_intensity_max_relThresh",1.06895,"NYB",NA
"51",2014,"OISST_HW_moving_intensity_var_relThresh",0.28895,"NYB",NA
"52",2014,"OISST_HW_moving_intensity_cumulative_relThresh",24.2862,"NYB",NA
"53",2014,"OISST_HW_moving_intensity_mean_abs",20.97945,"NYB",NA
"54",2014,"OISST_HW_moving_intensity_max_abs",23.7968,"NYB",NA
"55",2014,"OISST_HW_moving_intensity_var_abs",1.7894,"NYB",NA
"56",2014,"OISST_HW_moving_intensity_cumulative_abs",960.24715,"NYB",NA
"57",2014,"OISST_HW_moving_rate_onset",0.0424,"NYB",NA
"58",2014,"OISST_HW_moving_rate_decline",0.27115,"NYB",NA
"59",2014,"OISST_HW_moving_total_days",93,"NYB",NA
"60",2014,"OISST_HW_moving_total_icum",179.6829,"NYB",NA
"61",2015,"OISST_HW_moving_count",8,"NYB",NA
"62",2015,"OISST_HW_moving_duration",21.375,"NYB",NA
"63",2015,"OISST_HW_moving_duration_max",51,"NYB",NA
"64",2015,"OISST_HW_moving_intensity_mean",2.2417875,"NYB",NA
"65",2015,"OISST_HW_moving_intensity_max",2.76525,"NYB",NA
"66",2015,"OISST_HW_moving_intensity_max_max",3.6492,"NYB",NA
"67",2015,"OISST_HW_moving_intensity_var",0.3551125,"NYB",NA
"68",2015,"OISST_HW_moving_intensity_cumulative",50.085775,"NYB",NA
"69",2015,"OISST_HW_moving_intensity_mean_relThresh",0.6773125,"NYB",NA
"70",2015,"OISST_HW_moving_intensity_max_relThresh",1.220975,"NYB",NA
"71",2015,"OISST_HW_moving_intensity_var_relThresh",0.3658125,"NYB",NA
"72",2015,"OISST_HW_moving_intensity_cumulative_relThresh",17.6218375,"NYB",NA
"73",2015,"OISST_HW_moving_intensity_mean_abs",19.1012875,"NYB",NA
"74",2015,"OISST_HW_moving_intensity_max_abs",19.990075,"NYB",NA
"75",2015,"OISST_HW_moving_intensity_var_abs",0.7011875,"NYB",NA
"76",2015,"OISST_HW_moving_intensity_cumulative_abs",401.8708125,"NYB",NA
"77",2015,"OISST_HW_moving_rate_onset",0.196975,"NYB",NA
"78",2015,"OISST_HW_moving_rate_decline",0.1987375,"NYB",NA
"79",2015,"OISST_HW_moving_total_days",171,"NYB",NA
"80",2015,"OISST_HW_moving_total_icum",400.6862,"NYB",NA
"81",2016,"OISST_HW_moving_count",8,"NYB",NA
"82",2016,"OISST_HW_moving_duration",14.5,"NYB",NA
"83",2016,"OISST_HW_moving_duration_max",34,"NYB",NA
"84",2016,"OISST_HW_moving_intensity_mean",2.0063375,"NYB",NA
"85",2016,"OISST_HW_moving_intensity_max",2.4069875,"NYB",NA
"86",2016,"OISST_HW_moving_intensity_max_max",3.0093,"NYB",NA
"87",2016,"OISST_HW_moving_intensity_var",0.2759,"NYB",NA
"88",2016,"OISST_HW_moving_intensity_cumulative",29.333425,"NYB",NA
"89",2016,"OISST_HW_moving_intensity_mean_relThresh",0.504475,"NYB",NA
"90",2016,"OISST_HW_moving_intensity_max_relThresh",0.8869625,"NYB",NA
"91",2016,"OISST_HW_moving_intensity_var_relThresh",0.2617375,"NYB",NA
"92",2016,"OISST_HW_moving_intensity_cumulative_relThresh",8.8284125,"NYB",NA
"93",2016,"OISST_HW_moving_intensity_mean_abs",17.740875,"NYB",NA
"94",2016,"OISST_HW_moving_intensity_max_abs",18.254,"NYB",NA
"95",2016,"OISST_HW_moving_intensity_var_abs",0.41175,"NYB",NA
"96",2016,"OISST_HW_moving_intensity_cumulative_abs",239.7178125,"NYB",NA
"97",2016,"OISST_HW_moving_rate_onset",0.2002375,"NYB",NA
"98",2016,"OISST_HW_moving_rate_decline",0.16685,"NYB",NA
"99",2016,"OISST_HW_moving_total_days",116,"NYB",NA
"100",2016,"OISST_HW_moving_total_icum",234.6674,"NYB",NA
"101",2017,"OISST_HW_moving_count",4,"NYB",NA
"102",2017,"OISST_HW_moving_duration",16.25,"NYB",NA
"103",2017,"OISST_HW_moving_duration_max",24,"NYB",NA
"104",2017,"OISST_HW_moving_intensity_mean",1.866075,"NYB",NA
"105",2017,"OISST_HW_moving_intensity_max",2.2612,"NYB",NA
"106",2017,"OISST_HW_moving_intensity_max_max",2.4754,"NYB",NA
"107",2017,"OISST_HW_moving_intensity_var",0.248725,"NYB",NA
"108",2017,"OISST_HW_moving_intensity_cumulative",30.076225,"NYB",NA
"109",2017,"OISST_HW_moving_intensity_mean_relThresh",0.3734,"NYB",NA
"110",2017,"OISST_HW_moving_intensity_max_relThresh",0.789,"NYB",NA
"111",2017,"OISST_HW_moving_intensity_var_relThresh",0.2338,"NYB",NA
"112",2017,"OISST_HW_moving_intensity_cumulative_relThresh",5.356225,"NYB",NA
"113",2017,"OISST_HW_moving_intensity_mean_abs",15.035375,"NYB",NA
"114",2017,"OISST_HW_moving_intensity_max_abs",15.792425,"NYB",NA
"115",2017,"OISST_HW_moving_intensity_var_abs",0.48885,"NYB",NA
"116",2017,"OISST_HW_moving_intensity_cumulative_abs",222.080925,"NYB",NA
"117",2017,"OISST_HW_moving_rate_onset",0.09515,"NYB",NA
"118",2017,"OISST_HW_moving_rate_decline",0.202125,"NYB",NA
"119",2017,"OISST_HW_moving_total_days",65,"NYB",NA
"120",2017,"OISST_HW_moving_total_icum",120.3049,"NYB",NA
"121",2018,"OISST_HW_moving_count",4,"NYB",NA
"122",2018,"OISST_HW_moving_duration",9,"NYB",NA
"123",2018,"OISST_HW_moving_duration_max",16,"NYB",NA
"124",2018,"OISST_HW_moving_intensity_mean",2.442175,"NYB",NA
"125",2018,"OISST_HW_moving_intensity_max",2.990875,"NYB",NA
"126",2018,"OISST_HW_moving_intensity_max_max",4.3027,"NYB",NA
"127",2018,"OISST_HW_moving_intensity_var",0.428275,"NYB",NA
"128",2018,"OISST_HW_moving_intensity_cumulative",21.417,"NYB",NA
"129",2018,"OISST_HW_moving_intensity_mean_relThresh",0.90645,"NYB",NA
"130",2018,"OISST_HW_moving_intensity_max_relThresh",1.4607,"NYB",NA
"131",2018,"OISST_HW_moving_intensity_var_relThresh",0.431075,"NYB",NA
"132",2018,"OISST_HW_moving_intensity_cumulative_relThresh",7.64015,"NYB",NA
"133",2018,"OISST_HW_moving_intensity_mean_abs",23.6684,"NYB",NA
"134",2018,"OISST_HW_moving_intensity_max_abs",24.237475,"NYB",NA
"135",2018,"OISST_HW_moving_intensity_var_abs",0.506475,"NYB",NA
"136",2018,"OISST_HW_moving_intensity_cumulative_abs",216.247175,"NYB",NA
"137",2018,"OISST_HW_moving_rate_onset",0.29865,"NYB",NA
"138",2018,"OISST_HW_moving_rate_decline",0.650825,"NYB",NA
"139",2018,"OISST_HW_moving_total_days",36,"NYB",NA
"140",2018,"OISST_HW_moving_total_icum",85.668,"NYB",NA
"141",2019,"OISST_HW_moving_count",4,"NYB",NA
"142",2019,"OISST_HW_moving_duration",9.25,"NYB",NA
"143",2019,"OISST_HW_moving_duration_max",13,"NYB",NA
"144",2019,"OISST_HW_moving_intensity_mean",2.0537,"NYB",NA
"145",2019,"OISST_HW_moving_intensity_max",2.510575,"NYB",NA
"146",2019,"OISST_HW_moving_intensity_max_max",2.9141,"NYB",NA
"147",2019,"OISST_HW_moving_intensity_var",0.2829,"NYB",NA
"148",2019,"OISST_HW_moving_intensity_cumulative",18.6942,"NYB",NA
"149",2019,"OISST_HW_moving_intensity_mean_relThresh",0.53475,"NYB",NA
"150",2019,"OISST_HW_moving_intensity_max_relThresh",0.995175,"NYB",NA
"151",2019,"OISST_HW_moving_intensity_var_relThresh",0.2822,"NYB",NA
"152",2019,"OISST_HW_moving_intensity_cumulative_relThresh",4.89535,"NYB",NA
"153",2019,"OISST_HW_moving_intensity_mean_abs",22.32205,"NYB",NA
"154",2019,"OISST_HW_moving_intensity_max_abs",22.91935,"NYB",NA
"155",2019,"OISST_HW_moving_intensity_var_abs",0.4563,"NYB",NA
"156",2019,"OISST_HW_moving_intensity_cumulative_abs",203.685675,"NYB",NA
"157",2019,"OISST_HW_moving_rate_onset",0.247425,"NYB",NA
"158",2019,"OISST_HW_moving_rate_decline",0.3018,"NYB",NA
"159",2019,"OISST_HW_moving_total_days",37,"NYB",NA
"160",2019,"OISST_HW_moving_total_icum",74.7768,"NYB",NA
"161",2020,"OISST_HW_moving_count",5,"NYB",NA
"162",2020,"OISST_HW_moving_duration",14.6,"NYB",NA
"163",2020,"OISST_HW_moving_duration_max",26,"NYB",NA
"164",2020,"OISST_HW_moving_intensity_mean",1.7132,"NYB",NA
"165",2020,"OISST_HW_moving_intensity_max",1.98884,"NYB",NA
"166",2020,"OISST_HW_moving_intensity_max_max",2.3133,"NYB",NA
"167",2020,"OISST_HW_moving_intensity_var",0.16972,"NYB",NA
"168",2020,"OISST_HW_moving_intensity_cumulative",25.27082,"NYB",NA
"169",2020,"OISST_HW_moving_intensity_mean_relThresh",0.28732,"NYB",NA
"170",2020,"OISST_HW_moving_intensity_max_relThresh",0.5693,"NYB",NA
"171",2020,"OISST_HW_moving_intensity_var_relThresh",0.17276,"NYB",NA
"172",2020,"OISST_HW_moving_intensity_cumulative_relThresh",4.05738,"NYB",NA
"173",2020,"OISST_HW_moving_intensity_mean_abs",15.1534,"NYB",NA
"174",2020,"OISST_HW_moving_intensity_max_abs",15.73702,"NYB",NA
"175",2020,"OISST_HW_moving_intensity_var_abs",0.375,"NYB",NA
"176",2020,"OISST_HW_moving_intensity_cumulative_abs",231.46718,"NYB",NA
