"","YEAR","strat.biomass"
"1",1963,3.96555274159878
"2",1964,12.7048168868779
"3",1965,6.90795057253036
"4",1966,7.84042314898029
"5",1967,8.9899805849126
"6",1968,22.8883929336568
"7",1969,33.4720508559491
"8",1970,7.53090522828234
"9",1971,15.147371770479
"10",1972,12.2615165863702
"11",1973,38.3662890517371
"12",1974,18.5109159249685
"13",1975,23.8066075237936
"14",1976,35.2872104186497
"15",1977,23.3225448612344
"16",1978,21.3440294607515
"17",1979,34.7938730259096
"18",1980,38.4189374168443
"19",1981,60.0069530452251
"20",1982,40.1660796619026
"21",1983,47.5048396931453
"22",1984,70.5291510016883
"23",1985,68.2944211450683
"24",1986,32.1861597965092
"25",1987,13.8413957189928
"26",1988,38.6632145551697
"27",1989,117.484460518975
"28",1990,33.8774647469786
"29",1991,18.0978495442936
"30",1992,15.392743908626
"31",1993,36.7112056057432
"32",1994,55.727427363327
"33",1995,18.16828958207
"34",1996,28.5401915264676
"35",1997,24.3552229037968
"36",1998,12.8923431992435
"37",1999,32.4752907384585
"38",2000,33.2692457053474
"39",2001,18.6540070018236
"40",2002,20.5215629601682
"41",2003,14.2954675089988
"42",2004,13.2866188132319
"43",2005,13.4977414591993
"44",2006,41.740962158159
"45",2007,13.2388692191706
"46",2008,19.4476861441045
"47",2009,35.0712892823515
"48",2010,44.976369457376
"49",2011,156.233290637642
"50",2012,66.8230735220332
"51",2013,38.1253570863348
"52",2014,42.9478327630615
"53",2015,37.4936646302032
"54",2016,38.6588586987072
"55",2018,30.8598023353956
"56",2019,30.8748280399321
"57",2021,56.7774722201048
"58",2022,79.1113675514141
"59",2023,72.6619105598156
"60",2024,60.2694881698468
