"","YEAR","strat.biomass"
"1",1968,170.444708918959
"2",1969,85.580242594714
"3",1970,59.0606125830078
"4",1971,137.549212207302
"5",1972,217.125909891545
"6",1973,116.823817369212
"7",1974,207.392099321981
"8",1975,125.861573562701
"9",1976,103.605428705414
"10",1977,111.282803312451
"11",1978,83.6589594729736
"12",1979,46.9953533219701
"13",1980,162.272342629443
"14",1981,145.448948630108
"15",1982,208.504673100589
"16",1983,81.3551011139042
"17",1984,84.0154844711786
"18",1985,411.218930756635
"19",1986,119.528665216433
"20",1987,388.192714950995
"21",1988,331.141507087404
"22",1989,234.457132972819
"23",1990,281.449583156695
"24",1991,283.769968003211
"25",1992,207.977669827934
"26",1993,96.753080197163
"27",1994,52.1583497370458
"28",1995,64.7198065833426
"29",1996,126.119518891274
"30",1997,152.258252592983
"31",1998,58.5089800072277
"32",1999,180.406605041096
"33",2000,43.8187649765698
"34",2001,29.949344912298
"35",2002,158.131512219099
"36",2003,74.5585772365213
"37",2004,29.896816435454
"38",2005,19.9957597484155
"39",2006,78.3661552246407
"40",2007,73.9536561271005
"41",2008,149.13665580561
"42",2009,238.467416841541
"43",2010,138.098105480103
"44",2011,182.165256850578
"45",2012,319.188576088892
"46",2013,209.209697202363
"47",2014,152.61269591475
"48",2015,95.9812559742924
"49",2016,89.5318968275646
"50",2017,90.0341746807301
"51",2018,204.602871791914
"52",2019,150.42774996943
"53",2020,115.920658796032
"54",2021,308.019234975766
"55",2022,63.6371673797703
"56",2024,146.795696753047
"57",2025,168.174665394156
