"","YEAR","strat.biomass"
"1",1968,30.8390944375891
"2",1969,29.4759615115911
"3",1970,23.0535792580087
"4",1971,20.0098235338526
"5",1972,13.7972688381843
"6",1973,109.069370492202
"7",1974,26.4015941643515
"8",1975,10.704734033578
"9",1976,18.2259757465959
"10",1977,8.24808819412214
"11",1978,20.8930432932857
"12",1979,12.9090291837254
"13",1980,13.0131508469906
"14",1981,28.3136149836822
"15",1982,13.4727337784526
"16",1983,26.8634904772138
"17",1984,13.497344567912
"18",1985,12.8853818802312
"19",1986,34.3489857957417
"20",1987,25.2675029618869
"21",1988,23.9812867178766
"22",1989,9.09340970983817
"23",1990,11.9153387568853
"24",1991,24.0605321095973
"25",1992,18.5202065768111
"26",1993,26.6231662743043
"27",1994,25.5829746276235
"28",1995,28.1009335448872
"29",1996,54.0784932558104
"30",1997,32.7695888598708
"31",1998,28.7438919084891
"32",1999,66.3743077834283
"33",2000,16.1382766771463
"34",2001,34.6365433257346
"35",2002,40.2871520839278
"36",2003,20.1245536343252
"37",2004,15.0779198484675
"38",2005,19.5588191067025
"39",2006,49.4238866098316
"40",2007,16.6671383466809
"41",2008,58.4506684978595
"42",2009,53.3639584902243
"43",2010,10.5893264893341
"44",2011,24.7018726803346
"45",2012,18.8340747940817
"46",2013,7.80331332111339
"47",2014,17.49240952424
"48",2015,7.33530249832101
"49",2016,22.1992202522218
"50",2017,12.2731976553505
"51",2018,21.5724079871556
"52",2019,17.4916973111799
"53",2020,5.76870523379995
"54",2021,44.6344164637272
"55",2022,33.7778472023401
"56",2024,20.988215002149
"57",2025,11.2910694243985
