"","YEAR","strat.biomass"
"1",1963,4.13503822918719
"2",1964,13.2817695999132
"3",1965,5.44878190607649
"4",1966,6.3591301776607
"5",1967,6.78130814436304
"6",1968,22.3722188885024
"7",1969,30.553583985849
"8",1970,7.34087998493808
"9",1971,15.4874723115724
"10",1972,14.4778010772164
"11",1973,44.5432031462774
"12",1974,22.8618130297852
"13",1975,24.8964866233174
"14",1976,28.7480728227829
"15",1977,21.3563042951574
"16",1978,19.8540751843265
"17",1979,29.5443294430961
"18",1980,36.6844525988262
"19",1981,44.1875736463014
"20",1982,39.3454125246689
"21",1983,49.9100076088556
"22",1984,71.6787270362757
"23",1985,72.0876599512351
"24",1986,35.327868057353
"25",1987,15.0513703126499
"26",1988,44.1216565111516
"27",1989,48.259904189392
"28",1990,36.1024794385547
"29",1991,19.3254513901666
"30",1992,16.0128589223247
"31",1993,40.900433939337
"32",1994,59.8914458648648
"33",1995,20.3566509285743
"34",1996,22.3413240125226
"35",1997,26.4769531663318
"36",1998,10.3700500842779
"37",1999,36.3089991613222
"38",2000,36.6360173944598
"39",2001,28.4034864723639
"40",2002,25.3968612225033
"41",2003,20.1985708687749
"42",2004,19.9494023670075
"43",2005,14.8343642409739
"44",2006,46.3700273629629
"45",2007,18.1126943305974
"46",2008,23.238441456231
"47",2009,39.7611950346815
"48",2010,50.6738618441188
"49",2011,28.3851527823938
"50",2012,44.0333961812727
"51",2013,42.4312789888694
"52",2014,54.4622809919586
"53",2015,52.6551783119668
"54",2016,42.8377146612589
"55",2018,52.9410819900768
"56",2019,35.4467179823087
"57",2021,63.2425426779984
"58",2022,90.516628641983
"59",2023,86.0375709693984
"60",2024,65.9328858360776
