"","YEAR","strat.biomass"
"1",1963,0.77129977015914
"2",1964,1.11101539750841
"3",1965,0.0303822697814247
"4",1966,0.0141134370099759
"5",1968,0.261287520120253
"6",1969,0.384287033092097
"7",1970,0.184552379010424
"8",1971,0.0486116316502796
"9",1972,0.320799345414101
"10",1973,0.595976775149118
"11",1974,1.98800322549896
"12",1975,1.61722154877022
"13",1976,0.654153572776318
"14",1977,0.81774076509513
"15",1978,0.463493212077525
"16",1979,0.452188039451517
"17",1980,0.285959780925597
"18",1981,0.251806598935057
"19",1982,0.909472174431604
"20",1983,0.287843236447805
"21",1984,0.335899800837427
"22",1985,0.820536910061826
"23",1986,0.190820746357621
"24",1987,0.24862956159672
"25",1988,0.102470293586822
"26",1990,0.110084808677812
"27",1991,0.0778730817925272
"28",1992,0.177829306325697
"29",1994,0.411415536319232
"30",1995,0.920951933521464
"31",1996,0.529625876881245
"32",1997,0.961993089439508
"33",1998,0.765253927563704
"34",1999,1.33000913801209
"35",2000,1.79354281492304
"36",2001,1.29866883892334
"37",2002,1.60717053090203
"38",2003,1.95581863363076
"39",2004,2.6982858454189
"40",2005,0.204927105384851
"41",2006,1.76988561305839
"42",2007,1.01758468041069
"43",2008,1.94595824346154
"44",2009,2.99081507375788
"45",2010,1.63432825224484
"46",2011,1.71290018915653
"47",2012,2.74703449211835
"48",2013,1.40418446348452
"49",2014,2.58631642568013
"50",2015,1.59702775351242
"51",2016,1.72072690421957
"52",2018,1.20091339362568
"53",2019,1.12007580989177
"54",2021,1.39732040519809
"55",2022,2.09892875245959
"56",2023,2.07935060459904
"57",2024,0.888505931107338
