"","YEAR","strat.biomass"
"1",1963,205.190874542311
"2",1964,378.002025462192
"3",1965,216.126816845364
"4",1966,224.460242408202
"5",1967,217.015194361591
"6",1968,163.633386836501
"7",1969,440.466456029698
"8",1970,105.922867332612
"9",1971,73.2835117851188
"10",1972,154.780367728626
"11",1973,88.0512734404197
"12",1974,54.5893369924981
"13",1975,120.725580464643
"14",1976,71.0763549374275
"15",1977,104.998909512396
"16",1978,60.1928077931527
"17",1979,142.949766899772
"18",1980,104.121169532194
"19",1981,243.326005488723
"20",1982,88.472645163071
"21",1983,109.058528315925
"22",1984,172.440941181105
"23",1985,146.754876180152
"24",1986,57.3016658713489
"25",1987,56.1908638613603
"26",1988,117.730471518471
"27",1989,142.985325903554
"28",1990,64.485766549811
"29",1991,46.5905423895342
"30",1992,43.9807603664759
"31",1993,54.2948289539346
"32",1994,74.3511910563222
"33",1995,45.5864591906333
"34",1996,72.5164289344363
"35",1997,74.6431841826278
"36",1998,138.429807233164
"37",1999,91.1607466771098
"38",2000,88.9152822392537
"39",2001,89.5167454491859
"40",2002,116.206832272769
"41",2003,154.710885815361
"42",2004,145.452977685359
"43",2005,115.952645225843
"44",2006,156.510842848171
"45",2007,56.5193579921525
"46",2008,58.0376827290404
"47",2009,116.3676179499
"48",2010,141.765051058848
"49",2011,207.231019583103
"50",2012,215.18613973073
"51",2013,188.409917091209
"52",2014,92.7008467415383
"53",2015,203.91746637495
"54",2016,99.9187138420892
"55",2018,98.9289567537972
"56",2019,76.7307548320033
"57",2021,88.244270699612
"58",2022,144.533070734544
"59",2023,115.00785373477
"60",2024,107.291791759759
