"","YEAR","strat.biomass"
"1",1968,236.973393618479
"2",1969,157.889303291551
"3",1970,115.477504506855
"4",1971,178.430594539032
"5",1972,257.202867961448
"6",1973,240.906935246048
"7",1974,244.929036986973
"8",1975,142.545124562114
"9",1976,133.341812170778
"10",1977,130.932101153129
"11",1978,121.550428702705
"12",1979,66.3818680808435
"13",1980,198.559217011813
"14",1981,207.321965715356
"15",1982,241.930550361661
"16",1983,123.249212977273
"17",1984,111.782747179771
"18",1985,442.341830899408
"19",1986,168.249116971814
"20",1987,423.1608456392
"21",1988,365.836667646561
"22",1989,254.420259341428
"23",1990,306.425460229429
"24",1991,316.826847870909
"25",1992,232.049589149622
"26",1993,129.251351609124
"27",1994,83.1212813164382
"28",1995,102.805380784057
"29",1996,188.592944444657
"30",1997,196.023956375768
"31",1998,96.663817729046
"32",1999,261.460401474349
"33",2000,70.9206500503276
"34",2001,78.6116360201026
"35",2002,234.574714699433
"36",2003,105.709578971055
"37",2004,50.1630931301046
"38",2005,43.192583347916
"39",2006,139.922861137801
"40",2007,94.6232130720628
"41",2008,217.364164402527
"42",2009,302.684720391112
"43",2010,164.968303749765
"44",2011,216.286064666536
"45",2012,358.793966330773
"46",2013,226.205167337347
"47",2014,255.113431799351
"48",2015,112.854228343768
"49",2016,166.95878992117
"50",2017,120.138864626149
"51",2018,236.444399676142
"52",2019,184.189098581956
"53",2020,129.047269737217
"54",2021,366.719945379219
"55",2022,108.114265204367
"56",2024,181.614484174418
"57",2025,192.574392323589
